Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-09-27;BBVACOL;200.00;;200.00;;;;10,602.00;2,120,400.00
2024-09-30;BBVACOL;200.00;;;;;;;
2024-10-01;BBVACOL;200.00;;;;;;;
2024-10-02;BBVACOL;200.00;;;;;;;
2024-10-03;BBVACOL;200.00;;;;;;;
2024-10-04;BBVACOL;200.00;;200.00;;;;9,262.00;1,852,400.00
2024-10-07;BBVACOL;200.00;;172.00;;;;33,008.00;5,677,376.00
2024-10-08;BBVACOL;200.00;;;;;;;
2024-10-09;BBVACOL;200.00;;;;;;;
2024-10-10;BBVACOL;200.00;;;;;;;
2024-10-11;BBVACOL;200.00;;;;;;;
2024-10-15;BBVACOL;200.00;;;;;;;
2024-10-16;BBVACOL;200.00;;;;;;;
2024-10-17;BBVACOL;200.00;;;;;;;
2024-10-18;BBVACOL;200.00;;;;;;;
2024-10-21;BBVACOL;200.00;;;;;;;
2024-10-22;BBVACOL;200.00;;;;;;;
2024-10-23;BBVACOL;200.00;;219.00;;;;5,000.00;1,095,000.00
2024-10-24;BBVACOL;200.00;;;;;;;
2024-10-25;BBVACOL;200.00;;;;;;;
2024-10-28;BBVACOL;200.00;;198.83;;;;31,363.00;6,235,799.00
2024-10-29;BBVACOL;200.00;;;;;;;
2024-10-30;BBVACOL;174.00;174.00;173.18;173.00;-26.00;-13.00;649,264.00;112,441,936.00
2024-10-31;BBVACOL;174.00;;;;;;;
2024-11-01;BBVACOL;174.00;;;;;;;
2024-11-05;BBVACOL;174.00;;;;;;;
2024-11-06;BBVACOL;174.00;;;;;;;
2024-11-07;BBVACOL;174.00;;;;;;;
2024-11-08;BBVACOL;174.00;;;;;;;
2024-11-12;BBVACOL;174.00;;;;;;;
2024-11-13;BBVACOL;180.00;180.00;181.04;180.00;6.00;3.45;100,000.00;18,104,168.00
2024-11-14;BBVACOL;180.00;;;;;;;
2024-11-15;BBVACOL;180.00;;;;;;;
2024-11-18;BBVACOL;187.00;187.00;187.00;187.00;7.00;3.89;98,500.00;18,419,500.00
2024-11-19;BBVACOL;184.00;184.00;184.00;184.00;-3.00;-1.60;273,000.00;50,232,000.00
2024-11-20;BBVACOL;178.00;178.00;178.00;178.00;-6.00;-3.26;87,426.00;15,561,828.00
2024-11-21;BBVACOL;178.00;;;;;;;
2024-11-22;BBVACOL;178.00;;;;;;;
2024-11-25;BBVACOL;178.00;;;;;;;
2024-11-26;BBVACOL;178.00;;;;;;;
2024-11-27;BBVACOL;178.00;;;;;;;
2024-11-28;BBVACOL;178.00;;;;;;;
2024-11-29;BBVACOL;178.00;;;;;;;
2024-12-02;BBVACOL;178.00;;;;;;;
2024-12-03;BBVACOL;178.00;;;;;;;
2024-12-04;BBVACOL;178.00;;;;;;;
2024-12-05;BBVACOL;178.00;;;;;;;
2024-12-06;BBVACOL;178.00;;;;;;;
2024-12-09;BBVACOL;178.00;;174.00;;;;28,020.00;4,875,480.00
2024-12-10;BBVACOL;178.00;;180.00;;;;42,261.00;7,606,980.00
2024-12-11;BBVACOL;178.00;;;;;;;
2024-12-12;BBVACOL;178.00;;195.38;;;;18,210.00;3,557,800.00
2024-12-13;BBVACOL;178.00;;;;;;;
2024-12-16;BBVACOL;178.00;;180.00;;;;1,190.00;214,200.00
2024-12-17;BBVACOL;178.00;;;;;;;
2024-12-18;BBVACOL;178.00;;181.00;;;;38,600.00;6,986,600.00
2024-12-19;BBVACOL;178.00;;180.00;;;;4,310.00;775,800.00
2024-12-20;BBVACOL;178.00;;;;;;;
2024-12-23;BBVACOL;180.00;180.00;180.00;180.00;2.00;1.12;74,000.00;13,320,000.00
2024-12-24;BBVACOL;180.00;;;;;;;
2024-12-26;BBVACOL;180.00;;;;;;;
2024-12-27;BBVACOL;180.00;;;;;;;
2024-12-30;BBVACOL;180.00;;;;;;;
2025-01-02;BBVACOL;180.00;;;;;;;
2025-01-03;BBVACOL;180.00;;174.00;;;;41,183.00;7,165,842.00
2025-01-07;BBVACOL;180.00;;;;;;;
2025-01-08;BBVACOL;180.00;;;;;;;
2025-01-09;BBVACOL;180.00;;200.00;;;;9,965.00;1,993,000.00
2025-01-10;BBVACOL;180.00;;;;;;;
2025-01-13;BBVACOL;180.00;;;;;;;
2025-01-14;BBVACOL;180.00;;;;;;;
2025-01-15;BBVACOL;180.00;;;;;;;
2025-01-16;BBVACOL;180.00;;;;;;;
2025-01-17;BBVACOL;180.00;;;;;;;
2025-01-20;BBVACOL;180.00;;;;;;;
2025-01-21;BBVACOL;180.00;;;;;;;
2025-01-22;BBVACOL;180.00;;;;;;;
2025-01-23;BBVACOL;180.00;;;;;;;
2025-01-24;BBVACOL;180.00;;;;;;;
2025-01-27;BBVACOL;180.00;;;;;;;
2025-01-28;BBVACOL;180.00;;;;;;;
2025-01-29;BBVACOL;180.00;;;;;;;
2025-01-30;BBVACOL;180.00;180.00;180.00;180.00;0.00;;116,485.00;20,967,300.00
2025-01-31;BBVACOL;180.00;;180.00;;;;36,181.00;6,512,580.00
2025-02-03;BBVACOL;180.00;;;;;;;
2025-02-04;BBVACOL;180.00;;;;;;;
2025-02-05;BBVACOL;180.00;;;;;;;
2025-02-06;BBVACOL;180.00;;;;;;;
2025-02-07;BBVACOL;180.00;;190.00;;;;10,000.00;1,900,000.00
2025-02-10;BBVACOL;180.00;;171.00;;;;23,332.00;3,989,772.00
2025-02-11;BBVACOL;180.00;;;;;;;
2025-02-12;BBVACOL;178.00;180.00;177.88;175.00;-2.00;-1.11;1,619,944.00;288,153,946.00
2025-02-13;BBVACOL;178.00;;170.00;;;;54,073.00;9,192,410.00
2025-02-14;BBVACOL;;;;;;;;
2025-02-17;BBVACOL;178.00;;;;;;;
2025-02-18;BBVACOL;178.00;;;;;;;
2025-02-19;BBVACOL;178.00;;;;;;;
2025-02-20;BBVACOL;178.00;;;;;;;
2025-02-21;BBVACOL;178.00;;;;;;;
2025-02-24;BBVACOL;178.00;;;;;;;
2025-02-25;BBVACOL;178.00;;;;;;;
2025-02-26;BBVACOL;178.00;;178.00;;;;10,400.00;1,851,200.00
2025-02-27;BBVACOL;178.00;;;;;;;
2025-02-28;BBVACOL;178.00;;;;;;;
2025-03-03;BBVACOL;178.00;;;;;;;
2025-03-04;BBVACOL;178.00;;;;;;;
2025-03-05;BBVACOL;178.00;;;;;;;
2025-03-06;BBVACOL;178.00;;;;;;;
2025-03-07;BBVACOL;178.00;;;;;;;
2025-03-10;BBVACOL;178.00;;;;;;;
2025-03-11;BBVACOL;178.00;;;;;;;
2025-03-12;BBVACOL;178.00;;;;;;;
2025-03-13;BBVACOL;178.00;;;;;;;
2025-03-14;BBVACOL;178.00;;;;;;;
2025-03-17;BBVACOL;178.00;;;;;;;
2025-03-18;BBVACOL;178.00;;;;;;;
2025-03-19;BBVACOL;178.00;;;;;;;
