Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-08-26;BCOLOMBIA;27,000.00;27,340.00;27,024.26;26,640.00;200.00;0.75;227,346.00;6,143,858,180.00
2020-08-27;BCOLOMBIA;26,720.00;27,180.00;26,872.34;26,680.00;-280.00;-1.04;103,460.00;2,780,212,640.00
2020-08-28;BCOLOMBIA;26,700.00;27,120.00;26,939.22;26,700.00;-20.00;-0.07;100,006.00;2,694,083,500.00
2020-08-31;BCOLOMBIA;26,000.00;26,760.00;26,074.43;26,000.00;-700.00;-2.62;154,102.00;4,018,121,220.00
2020-09-01;BCOLOMBIA;27,400.00;27,400.00;27,120.04;26,000.00;1,400.00;5.38;1,065,473.00;28,895,669,680.00
2020-09-02;BCOLOMBIA;27,700.00;28,000.00;27,759.08;27,500.00;300.00;1.09;268,548.00;7,454,646,360.00
2020-09-03;BCOLOMBIA;27,300.00;27,540.00;27,248.81;26,980.00;-400.00;-1.44;125,193.00;3,411,360,600.00
2020-09-04;BCOLOMBIA;27,260.00;27,680.00;27,394.48;27,100.00;-40.00;-0.15;88,645.00;2,428,383,240.00
2020-09-07;BCOLOMBIA;27,460.00;27,460.00;27,456.90;27,360.00;200.00;0.73;73,917.00;2,029,532,040.00
2020-09-08;BCOLOMBIA;27,040.00;27,380.00;27,149.53;27,000.00;-420.00;-1.53;29,780.00;808,513,040.00
2020-09-09;BCOLOMBIA;27,140.00;27,440.00;27,214.78;27,120.00;100.00;0.37;172,023.00;4,681,568,200.00
2020-09-10;BCOLOMBIA;26,520.00;27,180.00;26,762.33;26,320.00;-620.00;-2.28;159,670.00;4,273,141,260.00
2020-09-11;BCOLOMBIA;26,160.00;27,160.00;26,152.38;25,900.00;-360.00;-1.36;153,101.00;4,003,956,220.00
2020-09-14;BCOLOMBIA;25,600.00;26,580.00;25,746.73;25,600.00;-560.00;-2.14;148,160.00;3,814,635,200.00
2020-09-15;BCOLOMBIA;25,340.00;25,700.00;25,511.64;25,340.00;-260.00;-1.02;205,317.00;5,237,974,300.00
2020-09-16;BCOLOMBIA;25,360.00;25,900.00;25,538.21;25,300.00;20.00;0.08;160,898.00;4,109,047,680.00
2020-09-17;BCOLOMBIA;25,700.00;25,700.00;25,293.53;25,000.00;340.00;1.34;156,274.00;3,952,721,700.00
2020-09-18;BCOLOMBIA;26,200.00;26,200.00;26,091.37;25,300.00;500.00;1.95;539,258.00;14,069,978,760.00
2020-09-21;BCOLOMBIA;25,340.00;25,500.00;25,252.96;25,100.00;-860.00;-3.28;142,791.00;3,605,894,740.00
2020-09-22;BCOLOMBIA;24,800.00;25,360.00;24,938.97;24,800.00;-540.00;-2.13;238,440.00;5,946,448,340.00
2020-09-23;BCOLOMBIA;25,000.00;25,240.00;24,943.35;24,700.00;200.00;0.81;72,338.00;1,804,352,220.00
2020-09-24;BCOLOMBIA;24,980.00;25,240.00;25,033.12;24,780.00;-20.00;-0.08;165,136.00;4,133,868,560.00
2020-09-25;BCOLOMBIA;25,200.00;25,200.00;25,117.04;24,960.00;220.00;0.88;54,201.00;1,361,368,860.00
2020-09-28;BCOLOMBIA;24,900.00;25,200.00;24,923.66;24,820.00;-300.00;-1.19;82,835.00;2,064,551,000.00
2020-09-29;BCOLOMBIA;24,460.00;25,000.00;24,586.04;24,400.00;-440.00;-1.77;456,153.00;11,214,995,000.00
2020-09-30;BCOLOMBIA;24,280.00;24,800.00;24,387.81;23,960.00;-180.00;-0.74;194,705.00;4,748,427,660.00
2020-10-01;BCOLOMBIA;24,160.00;24,700.00;24,359.44;24,000.00;-120.00;-0.49;233,300.00;5,683,058,040.00
2020-10-02;BCOLOMBIA;24,500.00;24,560.00;24,424.05;24,000.00;340.00;1.41;41,137.00;1,004,731,980.00
2020-10-05;BCOLOMBIA;24,170.00;24,780.00;24,264.22;24,130.00;-330.00;-1.35;163,901.00;3,976,930,280.00
2020-10-06;BCOLOMBIA;25,120.00;25,160.00;24,768.55;24,300.00;950.00;3.93;443,817.00;10,992,704,760.00
2020-10-07;BCOLOMBIA;24,660.00;24,810.00;24,659.02;24,560.00;-460.00;-1.83;66,540.00;1,640,811,400.00
2020-10-08;BCOLOMBIA;25,460.00;25,460.00;25,313.53;24,800.00;800.00;3.24;76,196.00;1,928,789,830.00
2020-10-09;BCOLOMBIA;25,980.00;25,980.00;25,920.39;25,140.00;520.00;2.04;55,307.00;1,433,578,960.00
2020-10-13;BCOLOMBIA;24,600.00;24,980.00;24,570.70;24,350.00;-1,380.00;-5.31;140,360.00;3,448,743,420.00
2020-10-14;BCOLOMBIA;24,980.00;24,980.00;24,590.18;24,050.00;380.00;1.54;281,829.00;6,930,225,370.00
2020-10-15;BCOLOMBIA;24,300.00;24,500.00;24,384.90;24,300.00;-680.00;-2.72;217,165.00;5,295,547,140.00
2020-10-16;BCOLOMBIA;24,330.00;24,470.00;24,228.94;24,160.00;30.00;0.12;530,340.00;12,849,577,690.00
2020-10-19;BCOLOMBIA;25,170.00;25,170.00;24,965.79;24,320.00;840.00;3.45;181,597.00;4,533,712,890.00
2020-10-20;BCOLOMBIA;25,800.00;25,800.00;25,672.13;25,300.00;630.00;2.50;179,652.00;4,612,050,350.00
2020-10-21;BCOLOMBIA;25,660.00;25,790.00;25,663.71;25,500.00;-140.00;-0.54;57,785.00;1,482,977,450.00
2020-10-22;BCOLOMBIA;25,090.00;25,660.00;25,246.58;24,900.00;-570.00;-2.22;275,855.00;6,964,396,610.00
2020-10-23;BCOLOMBIA;24,990.00;25,150.00;25,020.31;24,900.00;-100.00;-0.40;78,072.00;1,953,385,790.00
2020-10-26;BCOLOMBIA;25,900.00;25,900.00;25,590.37;24,740.00;910.00;3.64;215,982.00;5,527,058,750.00
2020-10-27;BCOLOMBIA;25,690.00;25,690.00;25,579.10;25,240.00;-210.00;-0.81;268,561.00;6,869,547,390.00
2020-10-28;BCOLOMBIA;24,030.00;25,120.00;24,415.29;24,030.00;-1,660.00;-6.46;362,575.00;8,852,373,900.00
2020-10-29;BCOLOMBIA;23,980.00;24,100.00;23,837.55;23,320.00;-50.00;-0.21;191,184.00;4,557,357,530.00
2020-10-30;BCOLOMBIA;24,500.00;24,600.00;24,429.20;23,900.00;520.00;2.17;462,129.00;11,289,443,210.00
2020-11-03;BCOLOMBIA;24,800.00;25,060.00;24,847.91;24,750.00;300.00;1.22;48,098.00;1,195,134,900.00
2020-11-04;BCOLOMBIA;24,990.00;25,140.00;25,018.43;24,900.00;190.00;0.77;71,359.00;1,785,290,440.00
2020-11-05;BCOLOMBIA;25,180.00;25,300.00;25,181.23;25,130.00;190.00;0.76;87,538.00;2,204,314,230.00
2020-11-06;BCOLOMBIA;25,500.00;25,500.00;25,342.92;24,900.00;320.00;1.27;193,210.00;4,896,505,560.00
2020-11-09;BCOLOMBIA;26,780.00;26,780.00;26,520.51;25,570.00;1,280.00;5.02;395,671.00;10,493,398,070.00
2020-11-10;BCOLOMBIA;26,500.00;26,700.00;26,509.98;26,000.00;-280.00;-1.05;114,148.00;3,026,060,810.00
2020-11-11;BCOLOMBIA;26,780.00;26,780.00;26,680.53;26,450.00;280.00;1.06;77,874.00;2,077,719,700.00
2020-11-12;BCOLOMBIA;25,940.00;26,500.00;26,107.11;25,940.00;-840.00;-3.14;265,401.00;6,928,853,380.00
2020-11-13;BCOLOMBIA;26,330.00;26,500.00;26,332.87;26,000.00;390.00;1.50;126,630.00;3,334,531,160.00
2020-11-17;BCOLOMBIA;26,750.00;27,300.00;26,859.47;26,550.00;420.00;1.60;274,781.00;7,380,471,320.00
2020-11-18;BCOLOMBIA;27,000.00;27,360.00;27,172.67;26,690.00;250.00;0.93;663,348.00;18,024,935,590.00
2020-11-19;BCOLOMBIA;27,100.00;27,280.00;27,039.30;26,720.00;100.00;0.37;122,873.00;3,322,400,090.00
2020-11-20;BCOLOMBIA;27,680.00;27,680.00;27,343.60;26,760.00;580.00;2.14;360,220.00;9,849,712,370.00
2020-11-23;BCOLOMBIA;28,200.00;28,200.00;27,774.79;27,500.00;520.00;1.88;459,511.00;12,762,819,260.00
2020-11-24;BCOLOMBIA;28,300.00;28,470.00;28,321.82;28,200.00;100.00;0.35;241,949.00;6,852,435,020.00
2020-11-25;BCOLOMBIA;27,700.00;28,500.00;27,943.46;27,700.00;-600.00;-2.12;338,170.00;9,449,639,440.00
2020-11-26;BCOLOMBIA;27,590.00;27,740.00;27,513.33;27,400.00;-110.00;-0.40;111,347.00;3,063,527,150.00
2020-11-27;BCOLOMBIA;27,500.00;27,790.00;27,503.79;27,400.00;-90.00;-0.33;208,289.00;5,728,736,350.00
2020-11-30;BCOLOMBIA;27,680.00;27,900.00;27,680.08;27,410.00;180.00;0.65;1,155,934.00;31,996,347,910.00
2020-12-01;BCOLOMBIA;28,200.00;28,340.00;28,202.78;28,000.00;520.00;1.88;102,020.00;2,877,247,590.00
2020-12-02;BCOLOMBIA;28,800.00;28,800.00;28,676.66;28,110.00;600.00;2.13;211,956.00;6,078,189,370.00
2020-12-03;BCOLOMBIA;29,400.00;29,400.00;29,085.33;28,680.00;600.00;2.08;165,588.00;4,816,181,780.00
