Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-09-29;CIBEST;60,300.00;60,500.00;60,334.70;60,080.00;300.00;0.50;157,686.00;9,513,937,320.00
2025-09-30;CIBEST;60,500.00;61,500.00;60,440.86;59,980.00;200.00;0.33;105,572.00;6,380,862,920.00
2025-10-01;CIBEST;60,400.00;61,000.00;60,353.32;60,200.00;-100.00;-0.17;63,281.00;3,819,218,560.00
2025-10-02;CIBEST;59,540.00;60,340.00;59,689.69;59,420.00;-860.00;-1.42;58,829.00;3,511,484,620.00
2025-10-03;CIBEST;59,780.00;59,840.00;59,753.77;59,600.00;240.00;0.40;136,853.00;8,177,482,720.00
2025-10-06;CIBEST;59,980.00;59,980.00;59,685.76;59,500.00;200.00;0.33;47,819.00;2,854,113,440.00
2025-10-07;CIBEST;60,100.00;60,120.00;59,919.28;59,800.00;120.00;0.20;170,984.00;10,245,238,420.00
2025-10-08;CIBEST;61,500.00;61,500.00;60,443.66;60,100.00;1,400.00;2.33;184,529.00;11,153,608,480.00
2025-10-09;CIBEST;61,880.00;62,000.00;61,605.94;60,900.00;380.00;0.62;138,359.00;8,523,736,360.00
2025-10-10;CIBEST;61,800.00;61,940.00;61,612.72;60,760.00;-80.00;-0.13;156,370.00;9,634,380,740.00
2025-10-14;CIBEST;62,000.00;62,920.00;62,294.48;62,000.00;200.00;0.32;66,806.00;4,161,644,900.00
2025-10-15;CIBEST;61,320.00;62,300.00;61,684.99;60,000.00;-680.00;-1.10;235,765.00;14,543,161,440.00
2025-10-16;CIBEST;61,400.00;61,920.00;61,560.55;61,380.00;80.00;0.13;260,835.00;16,057,146,680.00
2025-10-17;CIBEST;62,900.00;62,900.00;61,995.72;61,440.00;1,500.00;2.44;134,579.00;8,343,322,440.00
2025-10-18;CIBEST;;64,000.00;;63,000.00;100.00;0.16;970.00;61,331,200.00
2025-10-20;CIBEST;61,140.00;62,300.00;61,830.33;61,140.00;-1,760.00;-2.80;48,840.00;3,019,793,080.00
2025-10-21;CIBEST;60,340.00;61,660.00;60,870.90;60,340.00;-800.00;-1.31;53,352.00;3,247,584,460.00
2025-10-22;CIBEST;61,000.00;61,000.00;60,458.23;60,180.00;660.00;1.09;167,589.00;10,132,133,880.00
2025-10-23;CIBEST;60,700.00;61,100.00;60,628.27;60,500.00;-300.00;-0.49;289,452.00;17,548,974,800.00
2025-10-24;CIBEST;60,800.00;61,100.00;60,757.94;60,600.00;100.00;0.16;159,436.00;9,687,003,300.00
2025-10-27;CIBEST;61,020.00;61,300.00;60,969.71;60,780.00;220.00;0.36;120,340.00;7,337,094,560.00
2025-10-28;CIBEST;62,480.00;62,480.00;61,879.26;61,160.00;1,460.00;2.39;166,471.00;10,301,102,060.00
2025-10-29;CIBEST;63,280.00;63,280.00;62,847.61;62,500.00;800.00;1.28;117,089.00;7,358,764,180.00
2025-10-30;CIBEST;62,700.00;63,900.00;63,135.85;62,220.00;-580.00;-0.92;98,970.00;6,248,555,100.00
2025-10-31;CIBEST;62,500.00;63,280.00;62,503.39;61,160.00;-200.00;-0.32;206,003.00;12,875,885,760.00
2025-11-04;CIBEST;65,380.00;65,380.00;63,594.01;62,040.00;2,880.00;4.61;219,227.00;13,941,523,160.00
2025-11-05;CIBEST;64,000.00;65,800.00;64,937.74;63,800.00;-1,380.00;-2.11;154,090.00;10,006,257,060.00
2025-11-06;CIBEST;65,000.00;65,000.00;64,591.40;64,160.00;1,000.00;1.56;133,276.00;8,608,483,600.00
2025-11-07;CIBEST;66,300.00;66,880.00;65,947.99;64,800.00;1,300.00;2.00;138,652.00;9,143,820,300.00
2025-11-08;CIBEST;66,300.00;66,300.00;;66,300.00;0.00;;;
