Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-03-17;BHI;312.00;312.00;310.77;310.00;-1.00;-0.32;193,480.00;60,127,729.00
2025-03-18;BHI;311.00;312.00;311.03;310.00;-1.00;-0.32;401,575.00;124,900,407.00
2025-03-19;BHI;311.00;311.00;311.98;311.00;0.00;;63,595.00;19,840,292.00
2025-03-20;BHI;311.00;;310.17;;;;75,462.00;23,405,880.00
2025-03-21;BHI;311.00;;311.39;;;;90,265.00;28,107,980.00
2025-03-25;BHI;318.00;318.00;316.31;313.00;7.00;2.25;735,176.00;232,543,585.00
2025-03-26;BHI;320.00;320.00;319.20;318.00;2.00;0.63;122,070.00;38,964,483.00
2025-03-27;BHI;320.00;320.00;319.92;320.00;0.00;;722,448.00;231,123,518.00
2025-03-28;BHI;320.00;322.00;319.87;320.00;0.00;0.00;704,951.00;225,490,653.00
2025-03-31;BHI;323.00;325.00;322.40;320.00;3.00;0.94;2,679,397.00;863,834,016.00
2025-04-01;BHI;321.00;324.00;321.15;319.00;-2.00;-0.62;1,102,155.00;353,960,672.00
2025-04-02;BHI;323.00;325.00;323.51;322.00;2.00;0.62;2,606,946.00;843,375,298.00
2025-04-03;BHI;318.00;323.00;319.97;317.00;-5.00;-1.55;2,022,947.00;647,281,170.00
2025-04-04;BHI;318.00;318.00;318.42;318.00;0.00;;178,622.00;56,877,499.00
2025-04-07;BHI;314.00;318.00;315.92;314.00;-4.00;-1.26;633,168.00;200,028,687.00
2025-04-08;BHI;313.00;314.00;313.06;312.00;-1.00;-0.32;733,891.00;229,752,466.00
2025-04-09;BHI;312.00;312.00;311.79;311.00;-1.00;-0.32;430,752.00;134,305,594.00
2025-04-10;BHI;305.00;315.00;309.97;305.00;-7.00;-2.24;364,262.00;112,908,905.00
2025-04-11;BHI;311.00;311.00;311.28;311.00;6.00;1.97;98,806.00;30,756,683.00
2025-04-14;BHI;310.00;312.00;311.00;310.00;-1.00;-0.32;94,556.00;29,407,368.00
