Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-09-27;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-28;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-29;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-30;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-01;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-04;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-05;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-06;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-07;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-08;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-11;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-12;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-13;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-14;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-15;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-19;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-20;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-21;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-22;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-25;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-26;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-27;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-28;BMC;1,610.00;0.00;2,000.00;0.00;0.00;0.00;1,665.00;3,330,000.00
2021-10-29;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-02;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-03;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-04;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-05;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-08;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-11-09;BMC;1,610.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
