Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-08-26;BOGOTA;68,940.00;69,000.00;68,897.35;68,040.00;340.00;0.50;11,253.00;775,301,920.00
2020-08-27;BOGOTA;69,900.00;69,960.00;69,274.79;68,900.00;960.00;1.39;16,907.00;1,171,228,940.00
2020-08-28;BOGOTA;69,500.00;69,880.00;69,811.44;69,500.00;-400.00;-0.57;4,936.00;344,589,280.00
2020-08-31;BOGOTA;69,000.00;69,000.00;68,552.16;68,300.00;-500.00;-0.72;14,871.00;1,019,439,240.00
2020-09-01;BOGOTA;69,500.00;69,500.00;68,871.70;68,500.00;500.00;0.72;15,094.00;1,039,549,400.00
2020-09-02;BOGOTA;72,000.00;72,000.00;70,925.90;69,500.00;2,500.00;3.60;5,897.00;418,250,020.00
2020-09-03;BOGOTA;69,540.00;71,980.00;70,756.01;69,540.00;-2,460.00;-3.42;12,034.00;851,477,860.00
2020-09-04;BOGOTA;69,540.00;69,560.00;69,570.11;69,540.00;0.00;0.00;957.00;66,578,600.00
2020-09-07;BOGOTA;69,540.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-09-08;BOGOTA;68,980.00;69,000.00;68,990.17;68,980.00;-560.00;-0.81;1,446.00;99,759,780.00
2020-09-09;BOGOTA;70,000.00;70,000.00;70,000.99;70,000.00;1,020.00;1.48;5,236.00;366,525,200.00
2020-09-10;BOGOTA;69,000.00;70,100.00;69,759.69;68,680.00;-1,000.00;-1.43;8,528.00;594,910,660.00
2020-09-11;BOGOTA;68,980.00;69,100.00;68,604.63;68,340.00;-20.00;-0.03;13,361.00;916,626,420.00
2020-09-14;BOGOTA;68,340.00;69,000.00;68,609.44;68,340.00;-640.00;-0.93;7,756.00;532,134,840.00
2020-09-15;BOGOTA;67,020.00;68,800.00;67,648.01;66,560.00;-1,320.00;-1.93;7,668.00;518,724,940.00
2020-09-16;BOGOTA;67,480.00;68,000.00;67,482.31;67,000.00;460.00;0.69;21,950.00;1,481,236,720.00
2020-09-17;BOGOTA;67,500.00;67,500.00;67,484.24;67,480.00;20.00;0.03;6,345.00;428,187,500.00
2020-09-18;BOGOTA;67,980.00;67,980.00;67,977.59;67,480.00;480.00;0.71;24,498.00;1,665,315,040.00
2020-09-21;BOGOTA;68,300.00;68,300.00;68,033.24;67,980.00;320.00;0.47;4,332.00;294,719,980.00
2020-09-22;BOGOTA;68,480.00;68,500.00;68,160.06;67,000.00;180.00;0.26;3,415.00;232,766,600.00
2020-09-23;BOGOTA;69,500.00;69,500.00;68,814.70;68,000.00;1,020.00;1.49;8,444.00;581,071,360.00
2020-09-24;BOGOTA;69,900.00;69,900.00;69,501.67;69,200.00;400.00;0.58;4,201.00;291,976,500.00
2020-09-25;BOGOTA;68,000.00;69,140.00;68,811.07;68,000.00;-1,900.00;-2.72;5,688.00;391,397,360.00
