Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-09-06;BVC;10,200.00;10,200.00;9,957.60;9,650.00;-480.00;-4.49;5,011.00;49,897,520.00
2024-09-09;BVC;10,200.00;;9,527.49;;;;4,034.00;38,433,910.00
2024-09-10;BVC;10,200.00;;9,506.70;;;;600.00;5,704,020.00
2024-09-11;BVC;10,200.00;;9,804.05;;;;37.00;362,750.00
2024-09-12;BVC;10,200.00;;9,516.75;;;;2,305.00;21,936,100.00
2024-09-13;BVC;10,200.00;;9,502.76;;;;1,827.00;17,361,550.00
2024-09-16;BVC;10,200.00;;9,455.28;;;;2,949.00;27,883,610.00
2024-09-17;BVC;10,200.00;;9,512.72;;;;786.00;7,477,000.00
2024-09-18;BVC;10,200.00;;9,437.95;;;;1,418.00;13,383,020.00
2024-09-19;BVC;10,200.00;;9,433.24;;;;883.00;8,329,550.00
2024-09-20;BVC;10,200.00;;9,547.51;;;;497.00;4,745,110.00
2024-09-23;BVC;10,200.00;;9,407.69;;;;186.00;1,749,830.00
2024-09-24;BVC;10,200.00;;9,660.81;;;;628.00;6,066,990.00
2024-09-25;BVC;9,710.00;9,710.00;9,468.88;9,400.00;-490.00;-4.80;5,366.00;50,810,020.00
2024-09-26;BVC;9,710.00;;9,750.00;;;;205.00;1,998,750.00
2024-09-27;BVC;9,710.00;;9,401.44;;;;1,373.00;12,908,180.00
2024-09-30;BVC;9,710.00;;9,336.15;;;;1,563.00;14,592,400.00
2024-10-01;BVC;9,710.00;;9,378.03;;;;351.00;3,291,690.00
2024-10-02;BVC;9,710.00;;9,342.29;;;;1,348.00;12,593,410.00
2024-10-03;BVC;9,710.00;;9,375.00;;;;10.00;93,750.00
2024-10-04;BVC;9,710.00;;9,304.67;;;;1,070.00;9,956,000.00
2024-10-07;BVC;9,710.00;;9,216.60;;;;626.00;5,769,590.00
2024-10-08;BVC;9,710.00;;9,326.35;;;;1,506.00;14,045,480.00
2024-10-09;BVC;9,710.00;;9,401.51;;;;564.00;5,302,450.00
2024-10-10;BVC;9,710.00;;9,332.52;;;;743.00;6,934,060.00
