Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-09-06;CELSIA;4,000.00;4,000.00;4,002.03;4,000.00;0.00;;159,259.00;637,358,770.00
2024-09-09;CELSIA;3,915.00;4,000.00;3,975.26;3,915.00;-85.00;-2.12;105,849.00;420,777,425.00
2024-09-10;CELSIA;3,920.00;3,960.00;3,943.27;3,920.00;5.00;0.13;103,872.00;409,594,840.00
2024-09-11;CELSIA;3,920.00;3,950.00;3,941.04;3,920.00;0.00;0.00;84,144.00;331,614,855.00
2024-09-12;CELSIA;3,955.00;3,955.00;3,945.05;3,915.00;35.00;0.89;143,462.00;565,965,055.00
2024-09-13;CELSIA;3,920.00;3,950.00;3,931.63;3,920.00;-35.00;-0.88;289,821.00;1,139,468,275.00
2024-09-16;CELSIA;3,890.00;3,920.00;3,900.32;3,890.00;-30.00;-0.77;140,218.00;546,895,255.00
2024-09-17;CELSIA;3,885.00;3,900.00;3,883.28;3,850.00;-5.00;-0.13;126,460.00;491,078,970.00
2024-09-18;CELSIA;3,850.00;3,850.00;3,839.80;3,800.00;-35.00;-0.90;119,911.00;460,433,930.00
2024-09-19;CELSIA;3,845.00;3,850.00;3,825.84;3,770.00;-5.00;-0.13;470,074.00;1,798,427,745.00
2024-09-20;CELSIA;3,980.00;3,980.00;3,888.31;3,800.00;135.00;3.51;3,518,634.00;13,681,534,320.00
2024-09-23;CELSIA;3,950.00;3,950.00;3,942.24;3,925.00;-30.00;-0.75;94,593.00;372,908,690.00
2024-09-24;CELSIA;3,950.00;3,950.00;3,949.61;3,945.00;0.00;0.00;97,303.00;384,309,145.00
2024-09-25;CELSIA;3,945.00;3,950.00;3,946.44;3,945.00;-5.00;-0.13;86,365.00;340,834,445.00
2024-09-26;CELSIA;3,950.00;3,950.00;3,950.17;3,950.00;5.00;0.13;62,494.00;246,861,720.00
2024-09-27;CELSIA;3,900.00;3,950.00;3,932.47;3,880.00;-50.00;-1.27;144,818.00;569,492,740.00
2024-09-30;CELSIA;3,915.00;3,945.00;3,917.82;3,900.00;15.00;0.38;114,757.00;449,597,035.00
2024-10-01;CELSIA;3,960.00;3,960.00;3,952.40;3,945.00;45.00;1.15;95,603.00;377,861,600.00
2024-10-02;CELSIA;3,950.00;3,965.00;3,949.45;3,935.00;-10.00;-0.25;71,968.00;284,234,055.00
2024-10-03;CELSIA;3,950.00;3,950.00;3,946.04;3,905.00;0.00;0.00;141,102.00;556,794,590.00
2024-10-04;CELSIA;3,940.00;3,950.00;3,940.76;3,910.00;-10.00;-0.25;93,844.00;369,816,720.00
2024-10-07;CELSIA;3,920.00;3,960.00;3,948.51;3,920.00;-20.00;-0.51;88,847.00;350,813,700.00
2024-10-08;CELSIA;3,960.00;3,960.00;3,934.93;3,905.00;40.00;1.02;85,793.00;337,589,870.00
2024-10-09;CELSIA;3,995.00;3,995.00;3,961.98;3,950.00;35.00;0.88;59,900.00;237,322,490.00
2024-10-10;CELSIA;3,965.00;4,000.00;3,989.40;3,965.00;-30.00;-0.75;75,984.00;303,130,520.00
2024-10-11;CELSIA;3,985.00;3,985.00;3,968.17;3,965.00;20.00;0.50;93,609.00;371,456,075.00
2024-10-15;CELSIA;3,950.00;3,970.00;3,951.22;3,935.00;-35.00;-0.88;100,601.00;397,496,450.00
2024-10-16;CELSIA;3,980.00;4,000.00;3,990.52;3,950.00;30.00;0.76;216,022.00;862,039,645.00
2024-10-17;CELSIA;4,000.00;4,015.00;4,004.58;3,980.00;20.00;0.50;174,965.00;700,661,410.00
2024-10-18;CELSIA;3,965.00;4,010.00;3,975.94;3,950.00;-35.00;-0.88;145,416.00;578,164,735.00
2024-10-21;CELSIA;3,915.00;3,950.00;3,929.70;3,915.00;-50.00;-1.26;47,393.00;186,240,310.00
2024-10-22;CELSIA;3,825.00;3,910.00;3,826.30;3,700.00;-90.00;-2.30;139,705.00;534,553,525.00
2024-10-23;CELSIA;3,785.00;3,850.00;3,805.85;3,780.00;-40.00;-1.05;119,585.00;455,122,785.00
2024-10-24;CELSIA;3,785.00;;3,831.59;;;;12,224.00;46,837,335.00
2024-10-25;CELSIA;3,810.00;3,865.00;3,836.68;3,810.00;25.00;0.66;31,955.00;122,601,055.00
2024-10-28;CELSIA;3,850.00;3,850.00;3,828.71;3,810.00;40.00;1.05;36,200.00;138,599,245.00
2024-10-29;CELSIA;3,780.00;3,805.00;3,794.01;3,780.00;-70.00;-1.82;38,554.00;146,274,205.00
2024-10-30;CELSIA;3,785.00;3,790.00;3,789.25;3,785.00;5.00;0.13;259,642.00;983,849,270.00
2024-10-31;CELSIA;3,780.00;3,800.00;3,731.98;3,700.00;-5.00;-0.13;143,943.00;537,192,540.00
2024-11-01;CELSIA;3,750.00;3,775.00;3,764.84;3,750.00;-30.00;-0.79;51,383.00;193,448,575.00
2024-11-05;CELSIA;3,795.00;3,800.00;3,789.59;3,760.00;45.00;1.20;95,851.00;363,235,685.00
2024-11-06;CELSIA;3,725.00;3,770.00;3,752.07;3,700.00;-70.00;-1.84;170,937.00;641,368,435.00
2024-11-07;CELSIA;3,740.00;3,745.00;3,728.40;3,705.00;15.00;0.40;170,044.00;633,991,730.00
2024-11-08;CELSIA;3,715.00;3,740.00;3,720.44;3,700.00;-25.00;-0.67;117,613.00;437,572,520.00
2024-11-12;CELSIA;3,660.00;3,715.00;3,687.03;3,660.00;-55.00;-1.48;126,963.00;468,116,070.00
2024-11-13;CELSIA;3,635.00;3,685.00;3,662.86;3,600.00;-25.00;-0.68;110,756.00;405,683,480.00
2024-11-14;CELSIA;3,605.00;3,645.00;3,624.04;3,600.00;-30.00;-0.83;129,139.00;468,005,370.00
2024-11-15;CELSIA;3,565.00;3,635.00;3,597.12;3,550.00;-40.00;-1.11;165,633.00;595,801,225.00
2024-11-18;CELSIA;3,565.00;3,580.00;3,568.98;3,560.00;0.00;0.00;315,526.00;1,126,107,055.00
2024-11-19;CELSIA;3,605.00;3,605.00;3,563.08;3,555.00;40.00;1.12;465,640.00;1,659,112,025.00
2024-11-20;CELSIA;3,620.00;3,650.00;3,608.95;3,590.00;15.00;0.42;313,613.00;1,131,814,345.00
2024-11-21;CELSIA;3,645.00;3,730.00;3,656.24;3,620.00;25.00;0.69;235,716.00;861,834,145.00
2024-11-22;CELSIA;3,645.00;3,645.00;3,641.72;3,610.00;0.00;0.00;350,704.00;1,277,165,605.00
2024-11-25;CELSIA;3,500.00;3,665.00;3,504.79;3,500.00;-145.00;-3.98;3,120,378.00;10,936,261,915.00
2024-11-26;CELSIA;3,585.00;3,600.00;3,591.09;3,580.00;85.00;2.43;821,207.00;2,949,024,850.00
2024-11-27;CELSIA;3,580.00;3,600.00;3,588.74;3,580.00;-5.00;-0.14;171,075.00;613,943,275.00
2024-11-28;CELSIA;3,590.00;3,600.00;3,594.23;3,580.00;10.00;0.28;264,591.00;951,000,585.00
2024-11-29;CELSIA;3,590.00;3,600.00;3,591.38;3,570.00;0.00;0.00;327,243.00;1,175,254,545.00
2024-12-02;CELSIA;3,550.00;3,585.00;3,534.59;3,500.00;-40.00;-1.11;369,136.00;1,304,743,180.00
2024-12-03;CELSIA;3,505.00;3,600.00;3,534.55;3,500.00;-45.00;-1.27;262,731.00;928,634,675.00
2024-12-04;CELSIA;3,505.00;3,540.00;3,506.89;3,480.00;0.00;0.00;466,144.00;1,634,713,815.00
2024-12-05;CELSIA;3,520.00;3,535.00;3,514.27;3,505.00;15.00;0.43;156,726.00;550,777,960.00
2024-12-06;CELSIA;3,520.00;3,520.00;3,515.15;3,500.00;0.00;0.00;111,610.00;392,326,240.00
2024-12-09;CELSIA;3,510.00;3,515.00;3,495.28;3,470.00;-10.00;-0.28;160,469.00;560,884,325.00
2024-12-10;CELSIA;3,475.00;3,515.00;3,497.56;3,465.00;-35.00;-1.00;247,406.00;865,317,040.00
2024-12-11;CELSIA;3,490.00;3,510.00;3,493.88;3,490.00;15.00;0.43;114,322.00;399,427,660.00
2024-12-12;CELSIA;3,500.00;3,500.00;3,491.33;3,490.00;10.00;0.29;87,332.00;304,904,600.00
2024-12-13;CELSIA;3,505.00;3,505.00;3,489.36;3,480.00;5.00;0.14;275,302.00;960,627,780.00
2024-12-16;CELSIA;3,505.00;3,505.00;3,499.89;3,500.00;0.00;0.00;104,672.00;366,340,830.00
2024-12-17;CELSIA;3,500.00;3,505.00;3,500.00;3,495.00;-5.00;-0.14;98,245.00;343,857,695.00
2024-12-18;CELSIA;3,500.00;3,535.00;3,506.48;3,495.00;0.00;0.00;193,178.00;677,375,570.00
2024-12-19;CELSIA;3,525.00;3,550.00;3,508.40;3,475.00;25.00;0.71;259,271.00;909,625,440.00
2024-12-20;CELSIA;3,520.00;3,520.00;3,506.77;3,485.00;-5.00;-0.14;255,196.00;894,914,025.00
2024-12-23;CELSIA;3,570.00;3,580.00;3,553.03;3,520.00;50.00;1.42;209,501.00;744,362,315.00
2024-12-24;CELSIA;3,620.00;3,620.00;3,597.86;3,570.00;50.00;1.40;121,032.00;435,456,010.00
2024-12-26;CELSIA;3,665.00;3,675.00;3,658.05;3,630.00;45.00;1.24;142,021.00;519,519,450.00
2024-12-27;CELSIA;3,685.00;3,700.00;3,683.08;3,680.00;20.00;0.55;142,174.00;523,638,600.00
2024-12-30;CELSIA;3,680.00;3,720.00;3,696.77;3,680.00;-5.00;-0.14;219,306.00;810,723,525.00
2025-01-02;CELSIA;3,730.00;3,730.00;3,717.54;3,700.00;50.00;1.36;124,091.00;461,313,685.00
2025-01-03;CELSIA;3,730.00;3,735.00;3,724.76;3,720.00;0.00;0.00;156,136.00;581,569,040.00
2025-01-07;CELSIA;3,740.00;3,795.00;3,739.96;3,720.00;10.00;0.27;327,845.00;1,226,127,035.00
2025-01-08;CELSIA;3,730.00;3,800.00;3,775.70;3,725.00;-10.00;-0.27;223,630.00;844,360,825.00
2025-01-09;CELSIA;3,750.00;3,760.00;3,752.83;3,750.00;20.00;0.54;98,769.00;370,662,780.00
2025-01-10;CELSIA;3,765.00;3,765.00;3,749.57;3,745.00;15.00;0.40;134,759.00;505,288,655.00
2025-01-13;CELSIA;3,815.00;3,815.00;3,787.18;3,770.00;50.00;1.33;305,846.00;1,158,293,230.00
2025-01-14;CELSIA;3,805.00;3,820.00;3,804.51;3,790.00;-10.00;-0.26;77,905.00;296,390,420.00
2025-01-15;CELSIA;3,775.00;3,790.00;3,782.52;3,760.00;-30.00;-0.79;138,065.00;522,233,210.00
2025-01-16;CELSIA;3,750.00;3,790.00;3,751.87;3,705.00;-25.00;-0.66;178,746.00;670,630,955.00
2025-01-17;CELSIA;3,680.00;3,690.00;3,683.30;3,675.00;-70.00;-1.87;77,962.00;287,157,310.00
2025-01-20;CELSIA;3,675.00;3,680.00;3,674.96;3,660.00;-5.00;-0.14;822,393.00;3,022,259,025.00
