Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-09-06;CEMARGOS;8,110.00;8,350.00;8,166.07;8,090.00;-230.00;-2.76;555,508.00;4,536,317,470.00
2024-09-09;CEMARGOS;8,030.00;8,170.00;8,054.07;8,030.00;-80.00;-0.99;987,345.00;7,952,149,310.00
2024-09-10;CEMARGOS;7,940.00;8,030.00;7,967.72;7,900.00;-90.00;-1.12;410,910.00;3,274,014,670.00
2024-09-11;CEMARGOS;7,870.00;7,920.00;7,894.32;7,870.00;-70.00;-0.88;1,172,467.00;9,255,830,100.00
2024-09-12;CEMARGOS;7,860.00;7,930.00;7,861.02;7,840.00;-10.00;-0.13;2,392,946.00;18,811,004,130.00
2024-09-13;CEMARGOS;7,900.00;8,000.00;7,934.65;7,890.00;40.00;0.51;627,656.00;4,980,231,010.00
2024-09-16;CEMARGOS;7,900.00;7,900.00;7,893.94;7,870.00;0.00;0.00;588,565.00;4,646,096,130.00
2024-09-17;CEMARGOS;7,880.00;7,900.00;7,881.11;7,820.00;-20.00;-0.25;342,910.00;2,702,511,280.00
2024-09-18;CEMARGOS;7,860.00;7,870.00;7,845.77;7,810.00;-20.00;-0.25;573,217.00;4,497,329,150.00
2024-09-19;CEMARGOS;7,850.00;7,880.00;7,848.61;7,820.00;-10.00;-0.13;284,960.00;2,236,540,750.00
2024-09-20;CEMARGOS;7,500.00;7,860.00;7,504.41;7,500.00;-350.00;-4.46;20,105,682.00;150,881,311,090.00
2024-09-23;CEMARGOS;7,300.00;7,650.00;7,477.13;7,300.00;-200.00;-2.67;1,047,259.00;7,830,495,580.00
2024-09-24;CEMARGOS;7,300.00;7,350.00;7,282.71;7,200.00;0.00;0.00;687,124.00;5,004,127,070.00
2024-09-25;CEMARGOS;7,400.00;7,400.00;7,306.12;7,270.00;100.00;1.37;869,014.00;6,349,122,170.00
2024-09-26;CEMARGOS;7,410.00;7,500.00;7,398.51;7,340.00;10.00;0.14;1,055,685.00;7,810,497,950.00
2024-09-27;CEMARGOS;7,530.00;7,530.00;7,478.96;7,450.00;120.00;1.62;1,588,857.00;11,882,991,680.00
2024-09-30;CEMARGOS;7,500.00;7,530.00;7,489.92;7,440.00;-30.00;-0.40;592,566.00;4,438,270,980.00
2024-10-01;CEMARGOS;7,530.00;7,530.00;7,490.17;7,400.00;30.00;0.40;431,253.00;3,230,158,410.00
2024-10-02;CEMARGOS;7,490.00;7,530.00;7,488.00;7,430.00;-40.00;-0.53;512,411.00;3,836,931,330.00
2024-10-03;CEMARGOS;7,490.00;7,650.00;7,544.86;7,440.00;0.00;0.00;648,546.00;4,893,190,000.00
2024-10-04;CEMARGOS;7,420.00;7,550.00;7,487.52;7,420.00;-70.00;-0.93;315,046.00;2,358,913,870.00
2024-10-07;CEMARGOS;7,450.00;7,460.00;7,395.19;7,340.00;30.00;0.40;87,187.00;644,764,590.00
2024-10-08;CEMARGOS;7,540.00;7,600.00;7,531.34;7,380.00;90.00;1.21;640,653.00;4,824,977,970.00
2024-10-09;CEMARGOS;7,400.00;7,550.00;7,503.22;7,400.00;-140.00;-1.86;586,321.00;4,399,293,550.00
2024-10-10;CEMARGOS;7,540.00;7,600.00;7,532.48;7,450.00;140.00;1.89;358,271.00;2,698,670,700.00
2024-10-11;CEMARGOS;7,550.00;7,600.00;7,582.75;7,550.00;10.00;0.13;437,616.00;3,318,333,020.00
2024-10-15;CEMARGOS;7,800.00;7,800.00;7,670.87;7,510.00;250.00;3.31;775,394.00;5,947,945,010.00
2024-10-16;CEMARGOS;7,640.00;7,820.00;7,751.81;7,640.00;-160.00;-2.05;1,827,627.00;14,167,420,950.00
2024-10-17;CEMARGOS;7,720.00;7,720.00;7,657.33;7,610.00;80.00;1.05;292,097.00;2,236,682,730.00
2024-10-18;CEMARGOS;7,880.00;7,900.00;7,804.86;7,670.00;160.00;2.07;431,698.00;3,369,342,600.00
2024-10-21;CEMARGOS;7,750.00;7,980.00;7,798.39;7,750.00;-130.00;-1.65;337,512.00;2,632,049,490.00
2024-10-22;CEMARGOS;7,730.00;7,760.00;7,740.62;7,710.00;-20.00;-0.26;321,259.00;2,486,743,830.00
2024-10-23;CEMARGOS;7,620.00;7,750.00;7,668.17;7,620.00;-110.00;-1.42;434,653.00;3,332,991,440.00
2024-10-24;CEMARGOS;7,960.00;8,100.00;7,821.65;7,580.00;340.00;4.46;1,202,219.00;9,403,333,750.00
2024-10-25;CEMARGOS;8,200.00;8,200.00;8,077.78;7,990.00;240.00;3.02;6,138,097.00;49,582,187,600.00
2024-10-28;CEMARGOS;8,390.00;8,390.00;8,307.97;8,190.00;190.00;2.32;1,224,041.00;10,169,297,100.00
2024-10-29;CEMARGOS;8,270.00;8,420.00;8,328.99;8,230.00;-120.00;-1.43;348,280.00;2,900,819,590.00
2024-10-30;CEMARGOS;8,400.00;8,400.00;8,356.04;8,300.00;130.00;1.57;1,333,190.00;11,140,185,940.00
2024-10-31;CEMARGOS;8,590.00;8,590.00;8,513.49;8,370.00;190.00;2.26;2,511,715.00;21,383,453,240.00
2024-11-01;CEMARGOS;8,540.00;8,620.00;8,536.96;8,480.00;-50.00;-0.58;380,947.00;3,252,128,900.00
2024-11-05;CEMARGOS;8,500.00;8,640.00;8,589.33;8,490.00;-40.00;-0.47;467,415.00;4,014,780,400.00
2024-11-06;CEMARGOS;8,400.00;8,600.00;8,483.50;8,400.00;-100.00;-1.18;275,045.00;2,333,343,750.00
2024-11-07;CEMARGOS;8,670.00;8,670.00;8,402.82;8,200.00;270.00;3.21;656,684.00;5,517,996,460.00
2024-11-08;CEMARGOS;8,370.00;8,600.00;8,460.44;8,360.00;-300.00;-3.46;589,190.00;4,984,806,830.00
2024-11-12;CEMARGOS;8,640.00;8,640.00;8,544.90;8,420.00;270.00;3.23;714,102.00;6,101,930,220.00
2024-11-13;CEMARGOS;8,410.00;8,600.00;8,504.39;8,400.00;-230.00;-2.66;379,458.00;3,227,060,000.00
2024-11-14;CEMARGOS;8,420.00;8,540.00;8,452.69;8,370.00;10.00;0.12;627,969.00;5,308,028,780.00
2024-11-15;CEMARGOS;8,350.00;8,490.00;8,349.06;8,200.00;-70.00;-0.83;415,226.00;3,466,745,490.00
2024-11-18;CEMARGOS;8,500.00;8,500.00;8,398.10;8,300.00;150.00;1.80;329,641.00;2,768,358,240.00
2024-11-19;CEMARGOS;8,520.00;8,560.00;8,514.32;8,480.00;20.00;0.24;699,355.00;5,954,535,360.00
2024-11-20;CEMARGOS;8,670.00;8,670.00;8,627.41;8,520.00;150.00;1.76;305,288.00;2,633,845,220.00
2024-11-21;CEMARGOS;9,300.00;9,300.00;9,021.47;8,670.00;630.00;7.27;2,639,640.00;23,813,442,660.00
2024-11-22;CEMARGOS;9,150.00;9,300.00;9,210.20;9,020.00;-150.00;-1.61;1,177,713.00;10,846,969,100.00
2024-11-25;CEMARGOS;9,740.00;9,740.00;9,557.32;9,200.00;590.00;6.45;5,475,939.00;52,335,298,470.00
2024-11-26;CEMARGOS;9,570.00;9,750.00;9,657.38;9,500.00;-170.00;-1.75;781,918.00;7,551,280,200.00
2024-11-27;CEMARGOS;9,530.00;9,620.00;9,578.68;9,520.00;-40.00;-0.42;630,772.00;6,041,964,660.00
2024-11-28;CEMARGOS;9,560.00;9,610.00;9,589.49;9,550.00;30.00;0.31;767,701.00;7,361,860,910.00
2024-11-29;CEMARGOS;9,620.00;9,620.00;9,552.29;9,530.00;60.00;0.63;5,869,139.00;56,063,728,590.00
2024-12-02;CEMARGOS;9,650.00;9,650.00;9,600.85;9,590.00;30.00;0.31;643,393.00;6,177,122,800.00
2024-12-03;CEMARGOS;9,600.00;9,650.00;9,609.77;9,600.00;-50.00;-0.52;389,412.00;3,742,159,220.00
2024-12-04;CEMARGOS;9,580.00;9,620.00;9,597.76;9,580.00;-20.00;-0.21;487,481.00;4,678,727,100.00
2024-12-05;CEMARGOS;9,670.00;9,670.00;9,618.17;9,600.00;90.00;0.94;355,045.00;3,414,882,750.00
2024-12-06;CEMARGOS;9,650.00;9,680.00;9,641.92;9,600.00;-20.00;-0.21;141,163.00;1,361,081,820.00
2024-12-09;CEMARGOS;9,870.00;9,870.00;9,710.11;9,610.00;220.00;2.28;1,016,511.00;9,870,438,060.00
2024-12-10;CEMARGOS;9,990.00;9,990.00;9,887.25;9,810.00;120.00;1.22;440,788.00;4,358,181,680.00
2024-12-11;CEMARGOS;9,960.00;10,000.00;9,942.80;9,900.00;-30.00;-0.30;272,525.00;2,709,662,180.00
2024-12-12;CEMARGOS;9,960.00;9,960.00;9,945.91;9,900.00;0.00;0.00;253,008.00;2,516,395,180.00
2024-12-13;CEMARGOS;10,000.00;10,000.00;9,949.22;9,900.00;40.00;0.40;393,920.00;3,919,195,730.00
