Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-08-20;CNEC;4,900.00;;4,892.08;;;;12,348.00;60,407,435.00
2025-08-21;CNEC;4,860.00;5,000.00;4,944.89;4,860.00;-40.00;-0.82;104,617.00;517,320,025.00
2025-08-22;CNEC;4,960.00;4,970.00;4,963.48;4,960.00;100.00;2.06;18,405.00;91,352,935.00
2025-08-25;CNEC;4,920.00;4,920.00;4,910.96;4,920.00;-40.00;-0.81;11,231.00;55,154,990.00
2025-08-26;CNEC;4,800.00;4,850.00;4,828.55;4,800.00;-120.00;-2.44;41,120.00;198,550,135.00
2025-08-27;CNEC;4,800.00;4,800.00;4,808.67;4,800.00;0.00;;10,202.00;49,058,070.00
2025-08-28;CNEC;6,600.00;7,300.00;6,168.19;4,760.00;1,800.00;37.50;897,054.00;5,533,201,245.00
2025-08-29;CNEC;7,900.00;8,600.00;7,790.89;6,600.00;1,300.00;19.70;1,061,195.00;8,267,651,900.00
2025-09-01;CNEC;8,700.00;9,420.00;8,900.49;7,900.00;800.00;10.13;572,973.00;5,099,739,460.00
2025-09-02;CNEC;6,700.00;8,700.00;7,631.87;6,460.00;-2,000.00;-22.99;739,196.00;5,641,446,440.00
2025-09-03;CNEC;6,700.00;7,300.00;7,045.62;6,500.00;0.00;0.00;207,211.00;1,459,929,330.00
2025-09-04;CNEC;7,780.00;8,020.00;7,619.08;7,220.00;1,080.00;16.12;601,512.00;4,582,969,620.00
2025-09-05;CNEC;7,900.00;8,300.00;7,977.15;7,710.00;120.00;1.54;250,889.00;2,001,380,260.00
2025-09-08;CNEC;8,200.00;8,290.00;8,024.60;7,860.00;300.00;3.80;240,102.00;1,926,721,670.00
2025-09-09;CNEC;7,990.00;8,290.00;8,038.75;7,900.00;-210.00;-2.56;151,737.00;1,219,775,450.00
2025-09-10;CNEC;7,940.00;8,000.00;7,933.72;7,900.00;-50.00;-0.63;87,625.00;695,192,610.00
2025-09-11;CNEC;7,650.00;7,990.00;7,763.71;7,650.00;-290.00;-3.65;94,008.00;729,851,270.00
2025-09-12;CNEC;7,720.00;7,740.00;7,648.57;7,500.00;70.00;0.92;65,851.00;503,665,790.00
2025-09-15;CNEC;7,570.00;7,730.00;7,606.12;7,560.00;-150.00;-1.94;60,648.00;461,296,000.00
2025-09-16;CNEC;8,000.00;8,000.00;7,611.47;7,410.00;430.00;5.68;166,640.00;1,268,375,130.00
2025-09-17;CNEC;8,000.00;8,000.00;7,980.69;8,000.00;0.00;;16,115.00;128,608,830.00
2025-09-18;CNEC;7,800.00;7,800.00;7,723.37;7,700.00;-200.00;-2.50;34,811.00;268,858,060.00
2025-09-19;CNEC;7,850.00;7,880.00;7,766.21;7,660.00;50.00;0.64;40,990.00;318,336,890.00
2025-09-22;CNEC;7,600.00;7,610.00;7,608.35;7,340.00;-250.00;-3.18;17,415.00;132,499,370.00
2025-09-23;CNEC;7,710.00;7,960.00;7,843.68;7,710.00;110.00;1.45;33,885.00;265,783,140.00
2025-09-24;CNEC;7,760.00;8,000.00;7,894.15;7,760.00;50.00;0.65;55,131.00;435,212,430.00
2025-09-25;CNEC;7,000.00;7,650.00;7,151.96;7,000.00;-760.00;-9.79;273,463.00;1,955,795,630.00
2025-09-26;CNEC;7,000.00;7,100.00;7,028.28;6,900.00;0.00;0.00;47,212.00;331,819,060.00
