Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2021/08/30;1,322.57;1,325.51;-2.94;-0.22%;8.76;-8.02
2021/08/31;1,319.96;1,322.57;-2.61;-0.20%;5.11;-8.20
2021/09/01;1,321.27;1,319.96;1.31;0.10%;5.01;-8.11
2021/09/02;1,331.90;1,321.27;10.63;0.80%;6.82;-7.37
2021/09/03;1,327.47;1,331.90;-4.43;-0.33%;7.03;-7.67
2021/09/06;1,327.09;1,327.47;-0.38;-0.03%;6.76;-7.70
2021/09/07;1,320.98;1,327.09;-6.11;-0.46%;7.19;-8.13
2021/09/08;1,320.39;1,320.98;-0.59;-0.04%;6.48;-8.17
2021/09/09;1,322.78;1,320.39;2.39;0.18%;8.45;-8.00
2021/09/10;1,320.52;1,322.78;-2.26;-0.17%;8.91;-8.16
2021/09/13;1,312.43;1,320.52;-8.09;-0.61%;9.40;-8.72
2021/09/14;1,310.22;1,312.43;-2.21;-0.17%;9.76;-8.87
2021/09/15;1,322.14;1,310.22;11.92;0.91%;10.55;-8.04
2021/09/16;1,323.37;1,322.14;1.23;0.09%;10.97;-7.96
2021/09/17;1,321.85;1,323.37;-1.52;-0.11%;9.55;-8.07
2021/09/20;1,306.62;1,321.85;-15.23;-1.15%;9.10;-9.12
2021/09/21;1,301.46;1,306.62;-5.16;-0.39%;9.57;-9.48
2021/09/22;1,310.25;1,301.46;8.79;0.68%;11.09;-8.87
2021/09/23;1,312.22;1,310.25;1.97;0.15%;11.15;-8.73
2021/09/24;1,309.38;1,312.22;-2.84;-0.22%;11.78;-8.93
2021/09/27;1,345.40;1,309.38;36.02;2.75%;14.34;-6.43
2021/09/28;1,350.53;1,345.40;5.13;0.38%;15.85;-6.07
2021/09/29;1,360.41;1,350.53;9.88;0.73%;16.08;-5.38
2021/09/30;1,361.95;1,360.41;1.54;0.11%;17.17;-5.28
2021/10/01;1,370.25;1,361.95;8.30;0.61%;17.61;-4.70
2021/10/04;1,381.76;1,370.25;11.51;0.84%;18.29;-3.90
2021/10/05;1,383.22;1,381.76;1.46;0.11%;18.33;-3.80
2021/10/06;1,381.86;1,383.22;-1.36;-0.10%;17.65;-3.89
2021/10/07;1,393.50;1,381.86;11.64;0.84%;17.45;-3.08
2021/10/08;1,401.00;1,393.50;7.50;0.54%;17.73;-2.56
2021/10/11;1,406.25;1,401.00;5.25;0.37%;20.11;-2.20
2021/10/12;1,386.45;1,406.25;-19.80;-1.41%;18.42;-3.57
2021/10/13;1,394.22;1,386.45;7.77;0.56%;19.02;-3.03
2021/10/14;1,416.68;1,394.22;22.46;1.61%;21.49;-1.47
2021/10/15;1,426.20;1,416.68;9.52;0.67%;21.71;-0.81
2021/10/19;1,416.49;1,426.20;-9.71;-0.68%;19.29;-1.48
2021/10/20;1,414.10;1,416.49;-2.39;-0.17%;20.05;-1.65
2021/10/21;1,410.20;1,414.10;-3.90;-0.28%;19.72;-1.92
2021/10/22;1,399.64;1,410.20;-10.56;-0.75%;19.08;-2.66
2021/10/25;1,402.04;1,399.64;2.40;0.17%;19.11;-2.49
2021/10/26;1,413.32;1,402.04;11.28;0.80%;21.56;-1.70
2021/10/27;1,404.09;1,413.32;-9.23;-0.65%;25.32;-2.35
2021/10/28;1,407.92;1,404.09;3.83;0.27%;24.45;-2.08
2021/10/29;1,394.04;1,407.92;-13.88;-0.99%;22.63;-3.04
2021/11/02;1,390.50;1,394.04;-3.54;-0.25%;20.76;-3.29
2021/11/03;1,404.52;1,390.50;14.02;1.01%;21.45;-2.32
2021/11/04;1,392.19;1,404.52;-12.33;-0.88%;19.70;-3.17
2021/11/05;1,388.56;1,392.19;-3.63;-0.26%;18.44;-3.43
2021/11/08;1,394.23;1,388.56;5.67;0.41%;14.87;-3.03
2021/11/09;1,384.59;1,394.23;-9.64;-0.69%;14.10;-3.70
2021/11/10;1,365.65;1,384.59;-18.94;-1.37%;11.93;-5.02
2021/11/11;1,365.84;1,365.65;0.19;0.01%;13.14;-5.01
2021/11/12;1,356.48;1,365.84;-9.36;-0.69%;12.11;-5.66
2021/11/16;1,333.47;1,356.48;-23.01;-1.70%;8.34;-7.26
2021/11/17;1,330.57;1,333.47;-2.90;-0.22%;7.77;-7.46
2021/11/18;1,337.52;1,330.57;6.95;0.52%;8.66;-6.98
2021/11/19;1,298.64;1,337.52;-38.88;-2.91%;4.75;-9.68
2021/11/22;1,312.18;1,298.64;13.54;1.04%;5.14;-8.74
2021/11/23;1,316.43;1,312.18;4.25;0.32%;3.60;-8.44
2021/11/24;1,330.18;1,316.43;13.75;1.04%;5.26;-7.49
2021/11/25;1,338.85;1,330.18;8.67;0.65%;6.00;-6.88
2021/11/26;1,318.31;1,338.85;-20.54;-1.53%;4.48;-8.31
2021/11/29;1,347.45;1,318.31;29.14;2.21%;7.11;-6.28
2021/11/30;1,373.84;1,347.45;26.39;1.96%;6.90;-4.45
2021/12/01;1,418.24;1,373.84;44.40;3.23%;10.06;-1.36
2021/12/02;1,440.89;1,418.24;22.65;1.60%;10.99;0.20
2021/12/03;1,431.94;1,440.89;-8.95;-0.62%;6.76;-0.41
2021/12/06;1,430.66;1,431.94;-1.28;-0.09%;4.90;-0.50
2021/12/07;1,409.94;1,430.66;-20.72;-1.45%;1.90;-1.94
2021/12/09;1,399.15;1,409.94;-10.79;-0.77%;2.24;-2.69
2021/12/10;1,389.16;1,399.15;-9.99;-0.71%;0.83;-3.38
2021/12/13;1,353.91;1,389.16;-35.25;-2.54%;-2.54;-5.84
2021/12/14;1,358.80;1,353.91;4.89;0.36%;-3.49;-5.50
2021/12/15;1,375.20;1,358.80;16.40;1.21%;-3.25;-4.35
2021/12/16;1,407.88;1,375.20;32.68;2.38%;-2.47;-2.08
2021/12/17;1,395.00;1,407.88;-12.88;-0.91%;-2.20;-2.98
2021/12/20;1,380.89;1,395.00;-14.11;-1.01%;0.25;-3.96
2021/12/21;1,378.82;1,380.89;-2.07;-0.15%;-1.57;-4.10
2021/12/22;1,394.49;1,378.82;15.67;1.14%;-1.56;-3.01
2021/12/23;1,395.46;1,394.49;0.97;0.07%;-1.88;-2.95
2021/12/24;1,401.66;1,395.46;6.20;0.44%;-2.05;-2.51
2021/12/27;1,404.62;1,401.66;2.96;0.21%;-1.84;-2.31
2021/12/28;1,408.20;1,404.62;3.58;0.25%;-2.93;-2.06
2021/12/29;1,415.79;1,408.20;7.59;0.54%;-1.53;-1.53
2021/12/30;1,410.97;1,415.79;-4.82;-0.34%;-0.49;-1.87
2022/01/03;1,415.06;1,410.97;4.09;0.29%;-0.20;0.28
2022/01/04;1,423.88;1,415.06;8.82;0.62%;-0.54;0.91
2022/01/05;1,402.40;1,423.88;-21.48;-1.51%;-2.34;-0.60
2022/01/06;1,381.74;1,402.40;-20.66;-1.47%;-3.76;-2.07
2022/01/07;1,394.22;1,381.74;12.48;0.90%;-4.05;-1.18
2022/01/11;1,422.57;1,394.22;28.35;2.03%;-2.67;0.82
2022/01/12;1,450.75;1,422.57;28.18;1.98%;-0.36;2.81
2022/01/13;1,466.67;1,450.75;15.92;1.10%;-0.03;3.94
2022/01/14;1,431.84;1,466.67;-34.83;-2.37%;-1.42;1.47
2022/01/17;1,522.21;1,431.84;90.37;6.31%;4.65;7.88
2022/01/18;1,585.23;1,522.21;63.02;4.14%;8.62;12.35
2022/01/19;1,582.84;1,585.23;-2.39;-0.15%;8.42;12.18
2022/01/20;1,547.47;1,582.84;-35.37;-2.23%;7.00;9.67
2022/01/21;1,523.56;1,547.47;-23.91;-1.55%;7.37;7.97
2022/01/24;1,522.12;1,523.56;-1.44;-0.09%;8.90;7.87
2022/01/25;1,527.48;1,522.12;5.36;0.35%;8.93;8.25
2022/01/26;1,522.26;1,527.48;-5.22;-0.34%;10.72;7.88
2022/01/27;1,520.63;1,522.26;-1.63;-0.11%;11.22;7.77
2022/01/28;1,529.85;1,520.63;9.22;0.61%;13.48;8.42
2022/01/31;1,536.92;1,529.85;7.07;0.46%;13.24;8.92
2022/02/01;1,538.02;1,536.92;1.10;0.07%;12.40;9.00
2022/02/02;1,529.53;1,538.02;-8.49;-0.55%;12.54;8.40
2022/02/03;1,516.27;1,529.53;-13.26;-0.87%;11.52;7.46
2022/02/04;1,522.41;1,516.27;6.14;0.40%;11.08;7.89
2022/02/07;1,533.51;1,522.41;11.10;0.73%;10.85;8.68
2022/02/08;1,523.73;1,533.51;-9.78;-0.64%;10.39;7.99
2022/02/09;1,508.71;1,523.73;-15.02;-0.99%;9.78;6.92
2022/02/10;1,475.28;1,508.71;-33.43;-2.22%;7.85;4.55
2022/02/11;1,492.80;1,475.28;17.52;1.19%;9.28;5.79
2022/02/14;1,480.77;1,492.80;-12.03;-0.81%;8.13;4.94
2022/02/15;1,487.19;1,480.77;6.42;0.43%;9.09;5.40
2022/02/16;1,502.69;1,487.19;15.50;1.04%;9.98;6.50
2022/02/17;1,503.00;1,502.69;0.31;0.02%;11.03;6.52
2022/02/18;1,493.88;1,503.00;-9.12;-0.61%;10.44;5.87
2022/02/21;1,495.04;1,493.88;1.16;0.08%;10.56;5.95
2022/02/22;1,492.49;1,495.04;-2.55;-0.17%;10.12;5.77
2022/02/23;1,510.20;1,492.49;17.71;1.19%;10.17;7.03
2022/02/24;1,509.55;1,510.20;-0.65;-0.04%;13.00;6.98
2022/02/25;1,516.24;1,509.55;6.69;0.44%;11.53;7.46
2022/02/28;1,527.75;1,516.24;11.51;0.76%;12.69;8.27
