Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2024/09/06;1,328.47;1,341.65;-13.18;-0.98%;24.25;11.15
2024/09/09;1,321.67;1,328.47;-6.80;-0.51%;24.33;10.58
2024/09/10;1,313.66;1,321.67;-8.01;-0.61%;21.21;9.91
2024/09/11;1,309.92;1,313.66;-3.74;-0.28%;21.53;9.59
2024/09/12;1,320.28;1,309.92;10.36;0.79%;21.94;10.46
2024/09/13;1,311.68;1,320.28;-8.60;-0.65%;19.38;9.74
2024/09/16;1,317.98;1,311.68;6.30;0.48%;19.81;10.27
2024/09/17;1,313.35;1,317.98;-4.63;-0.35%;18.88;9.88
2024/09/18;1,307.24;1,313.35;-6.11;-0.47%;17.88;9.37
2024/09/19;1,320.58;1,307.24;13.34;1.02%;20.54;10.49
2024/09/20;1,320.84;1,320.58;0.26;0.02%;21.11;10.51
2024/09/23;1,322.17;1,320.84;1.33;0.10%;20.16;10.62
2024/09/24;1,334.90;1,322.17;12.73;0.96%;22.51;11.68
2024/09/25;1,321.19;1,334.90;-13.71;-1.03%;19.28;10.54
2024/09/26;1,331.64;1,321.19;10.45;0.79%;19.13;11.41
2024/09/27;1,320.81;1,331.64;-10.83;-0.81%;17.75;10.50
2024/09/30;1,307.59;1,320.81;-13.22;-1.00%;17.50;9.40
2024/10/01;1,307.14;1,307.59;-0.45;-0.03%;18.56;9.36
2024/10/02;1,301.36;1,307.14;-5.78;-0.44%;18.59;8.88
2024/10/03;1,303.27;1,301.36;1.91;0.15%;19.30;9.04
2024/10/04;1,303.86;1,303.27;0.59;0.05%;18.32;9.09
2024/10/07;1,309.35;1,303.86;5.49;0.42%;17.08;9.55
2024/10/08;1,300.01;1,309.35;-9.34;-0.71%;16.61;8.76
2024/10/09;1,301.41;1,300.01;1.40;0.11%;16.80;8.88
2024/10/10;1,310.13;1,301.41;8.72;0.67%;17.80;9.61
2024/10/11;1,326.48;1,310.13;16.35;1.25%;18.82;10.98
2024/10/15;1,328.87;1,326.48;2.39;0.18%;18.73;11.18
2024/10/16;1,337.26;1,328.87;8.39;0.63%;17.87;11.88
2024/10/17;1,346.29;1,337.26;9.03;0.68%;19.60;12.64
2024/10/18;1,362.07;1,346.29;15.78;1.17%;21.89;13.96
2024/10/21;1,356.34;1,362.07;-5.73;-0.42%;22.34;13.48
2024/10/22;1,344.26;1,356.34;-12.08;-0.89%;21.56;12.47
2024/10/23;1,321.55;1,344.26;-22.71;-1.69%;19.68;10.57
2024/10/24;1,337.60;1,321.55;16.05;1.21%;23.40;11.91
2024/10/25;1,334.49;1,337.60;-3.11;-0.23%;22.00;11.65
2024/10/28;1,339.48;1,334.49;4.99;0.37%;23.03;12.07
2024/10/29;1,339.40;1,339.48;-0.08;-0.01%;23.08;12.06
2024/10/30;1,356.41;1,339.40;17.01;1.27%;24.62;13.48
2024/10/31;1,358.46;1,356.41;2.05;0.15%;23.77;13.65
2024/11/01;1,352.80;1,358.46;-5.66;-0.42%;23.12;13.18
2024/11/05;1,359.65;1,352.80;6.85;0.51%;24.31;13.75
2024/11/06;1,364.37;1,359.65;4.72;0.35%;24.18;14.15
2024/11/07;1,359.04;1,364.37;-5.33;-0.39%;23.05;13.70
2024/11/08;1,335.33;1,359.04;-23.71;-1.74%;21.07;11.72
2024/11/12;1,345.38;1,335.33;10.05;0.75%;21.48;12.56
2024/11/13;1,337.79;1,345.38;-7.59;-0.56%;20.51;11.93
2024/11/14;1,347.68;1,337.79;9.89;0.74%;21.57;12.75
2024/11/15;1,346.11;1,347.68;-1.57;-0.12%;19.63;12.62
2024/11/18;1,362.37;1,346.11;16.26;1.21%;21.08;13.98
2024/11/19;1,370.03;1,362.37;7.66;0.56%;21.39;14.62
2024/11/20;1,386.24;1,370.03;16.21;1.18%;22.46;15.98
2024/11/21;1,388.22;1,386.24;1.98;0.14%;23.08;16.14
2024/11/22;1,391.95;1,388.22;3.73;0.27%;22.58;16.46
2024/11/25;1,398.53;1,391.95;6.58;0.47%;24.01;17.01
2024/11/26;1,391.20;1,398.53;-7.33;-0.52%;23.35;16.39
2024/11/27;1,397.49;1,391.20;6.29;0.45%;22.72;16.92
2024/11/28;1,397.58;1,397.49;0.09;0.01%;21.86;16.93
2024/11/29;1,392.13;1,397.58;-5.45;-0.39%;20.86;16.47
2024/12/02;1,398.62;1,392.13;6.49;0.47%;20.95;17.01
2024/12/03;1,391.54;1,398.62;-7.08;-0.51%;20.99;16.42
2024/12/04;1,383.75;1,391.54;-7.79;-0.56%;22.00;15.77
2024/12/05;1,394.57;1,383.75;10.82;0.78%;21.76;16.68
2024/12/06;1,377.04;1,394.57;-17.53;-1.26%;20.64;15.21
2024/12/09;1,379.45;1,377.04;2.41;0.18%;20.85;15.41
2024/12/10;1,383.99;1,379.45;4.54;0.33%;20.42;15.79
2024/12/11;1,383.41;1,383.99;-0.58;-0.04%;18.66;15.74
2024/12/12;1,385.09;1,383.41;1.68;0.12%;17.91;15.88
2024/12/13;1,380.07;1,385.09;-5.02;-0.36%;18.70;15.46
2024/12/16;1,370.59;1,380.07;-9.48;-0.69%;17.81;14.67
2024/12/17;1,367.66;1,370.59;-2.93;-0.21%;16.96;14.42
2024/12/18;1,360.40;1,367.66;-7.26;-0.53%;17.00;13.82
2024/12/19;1,373.29;1,360.40;12.89;0.95%;17.77;14.90
2024/12/20;1,368.21;1,373.29;-5.08;-0.37%;16.90;14.47
2024/12/23;1,389.23;1,368.21;21.02;1.54%;17.34;16.23
2024/12/24;1,383.76;1,389.23;-5.47;-0.39%;16.88;15.77
2024/12/26;1,386.59;1,383.76;2.83;0.20%;16.01;16.01
2024/12/27;1,381.93;1,386.59;-4.66;-0.34%;13.04;15.62
2024/12/30;1,379.58;1,381.93;-2.35;-0.17%;12.84;15.42
2025/01/02;1,399.58;1,379.58;20.00;1.45%;10.44;1.44
2025/01/03;1,396.23;1,399.58;-3.35;-0.24%;7.83;1.20
2025/01/07;1,419.10;1,396.23;22.87;1.64%;9.63;2.86
2025/01/08;1,409.54;1,419.10;-9.56;-0.67%;9.37;2.17
2025/01/09;1,407.35;1,409.54;-2.19;-0.16%;9.67;2.01
2025/01/10;1,404.94;1,407.35;-2.41;-0.17%;8.83;1.83
2025/01/13;1,406.76;1,404.94;1.82;0.13%;8.43;1.97
2025/01/14;1,398.71;1,406.76;-8.05;-0.57%;8.18;1.38
2025/01/15;1,397.58;1,398.71;-1.13;-0.08%;8.85;1.30
2025/01/16;1,394.44;1,397.58;-3.14;-0.22%;9.27;1.07
2025/01/17;1,391.22;1,394.44;-3.22;-0.23%;9.15;0.84
2025/01/20;1,387.59;1,391.22;-3.63;-0.26%;9.16;0.58
2025/01/21;1,392.19;1,387.59;4.60;0.33%;10.21;0.91
2025/01/22;1,381.90;1,392.19;-10.29;-0.74%;9.57;0.16
2025/01/23;1,397.33;1,381.90;15.43;1.12%;10.12;1.28
2025/01/24;1,415.45;1,397.33;18.12;1.30%;10.37;2.60
2025/01/27;1,432.41;1,415.45;16.96;1.20%;11.92;3.82
2025/01/28;1,474.00;1,432.41;41.59;2.90%;15.14;6.84
2025/01/29;1,509.82;1,474.00;35.82;2.43%;18.27;9.44
2025/01/30;1,543.02;1,509.82;33.20;2.20%;20.77;11.84
2025/01/31;1,521.74;1,543.02;-21.28;-1.38%;19.09;10.30
2025/02/03;1,504.83;1,521.74;-16.91;-1.11%;18.26;9.07
2025/02/04;1,523.08;1,504.83;18.25;1.21%;19.29;10.40
2025/02/05;1,510.21;1,523.08;-12.87;-0.84%;18.05;9.46
2025/02/06;1,525.14;1,510.21;14.93;0.99%;20.93;10.55
2025/02/07;1,515.99;1,525.14;-9.15;-0.60%;21.45;9.88
2025/02/10;1,525.64;1,515.99;9.65;0.64%;22.22;10.58
2025/02/11;1,534.93;1,525.64;9.29;0.61%;24.19;11.26
2025/02/12;1,531.33;1,534.93;-3.60;-0.23%;23.77;10.99
2025/02/13;1,535.55;1,531.33;4.22;0.28%;23.20;11.30
2025/02/14;1,547.37;1,535.55;11.82;0.77%;23.10;12.16
2025/02/17;1,567.89;1,548.81;19.08;1.23%;28.48;13.64
2025/02/18;1,576.63;1,567.89;8.74;0.56%;26.58;14.28
2025/02/19;1,599.95;1,576.63;23.32;1.48%;26.10;15.97
2025/02/20;1,634.61;1,599.95;34.66;2.17%;27.79;18.48
2025/02/21;1,630.62;1,634.61;-3.99;-0.24%;26.37;18.19
2025/02/24;1,651.39;1,630.62;20.77;1.27%;27.87;19.70
2025/02/25;1,648.85;1,651.39;-2.54;-0.15%;28.16;19.51
2025/02/26;1,646.13;1,648.85;-2.72;-0.16%;28.05;19.32
2025/02/27;1,627.96;1,646.13;-18.17;-1.10%;27.77;18.00
2025/02/28;1,607.57;1,627.96;-20.39;-1.25%;24.96;16.52
2025/03/03;1,575.61;1,607.57;-31.96;-1.99%;22.27;14.20
2025/03/04;1,564.52;1,575.61;-11.09;-0.70%;20.26;13.40
2025/03/05;1,589.02;1,564.52;24.50;1.57%;21.56;15.18
2025/03/06;1,603.01;1,589.02;13.99;0.88%;22.04;16.19
