Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-03-18;CONCONCRET;485.00;493.00;485.22;480.00;-10.00;-2.02;1,192,844.00;578,795,968.00
2025-03-19;CONCONCRET;502.00;509.00;493.34;485.00;17.00;3.51;695,584.00;343,158,780.00
2025-03-20;CONCONCRET;500.00;508.00;500.39;500.00;-2.00;-0.40;1,034,585.00;517,697,908.00
2025-03-21;CONCONCRET;498.00;498.00;492.70;487.00;-2.00;-0.40;228,510.00;112,586,184.00
2025-03-25;CONCONCRET;489.00;494.00;488.86;485.00;-9.00;-1.81;910,258.00;444,989,521.00
2025-03-26;CONCONCRET;494.00;494.00;488.05;494.00;5.00;1.02;58,394.00;28,498,974.00
2025-03-27;CONCONCRET;494.00;494.00;489.78;494.00;0.00;;94,355.00;46,213,004.00
2025-03-28;CONCONCRET;480.00;480.00;478.32;472.00;-14.00;-2.83;870,639.00;416,444,135.00
2025-03-31;CONCONCRET;471.00;479.00;470.47;465.00;-9.00;-1.87;722,360.00;339,845,185.00
2025-04-01;CONCONCRET;475.00;475.00;472.14;470.00;4.00;0.85;186,321.00;87,969,609.00
2025-04-02;CONCONCRET;465.00;470.00;461.99;457.00;-10.00;-2.11;672,359.00;310,625,638.00
2025-04-03;CONCONCRET;470.00;470.00;453.70;450.00;5.00;1.08;1,396,018.00;633,367,041.00
2025-04-04;CONCONCRET;444.00;450.00;447.49;444.00;-26.00;-5.53;809,494.00;362,239,136.00
2025-04-07;CONCONCRET;449.00;449.00;444.69;440.00;5.00;1.13;437,000.00;194,329,526.00
2025-04-08;CONCONCRET;449.00;455.00;450.00;449.00;0.00;0.00;255,075.00;114,784,158.00
2025-04-09;CONCONCRET;451.00;451.00;446.69;428.00;2.00;0.45;1,345,957.00;601,228,288.00
2025-04-10;CONCONCRET;442.00;451.00;435.67;425.00;-9.00;-2.00;601,747.00;262,162,536.00
2025-04-11;CONCONCRET;441.00;447.00;440.46;426.00;-1.00;-0.23;521,448.00;229,677,675.00
2025-04-14;CONCONCRET;453.00;453.00;447.08;443.00;12.00;2.72;214,780.00;96,023,923.00
