Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-08-20;CORFICOLCF;18,140.00;18,880.00;18,552.74;18,140.00;-440.00;-2.37;203,797.00;3,780,992,080.00
2025-08-21;CORFICOLCF;18,120.00;18,420.00;18,156.28;18,000.00;-20.00;-0.11;60,299.00;1,094,805,500.00
2025-08-22;CORFICOLCF;18,320.00;18,320.00;18,216.59;18,000.00;200.00;1.10;20,273.00;369,304,840.00
2025-08-25;CORFICOLCF;18,400.00;18,400.00;18,346.13;18,300.00;80.00;0.44;15,971.00;293,006,040.00
2025-08-26;CORFICOLCF;18,500.00;18,500.00;18,413.23;18,200.00;100.00;0.54;71,823.00;1,322,493,380.00
2025-08-27;CORFICOLCF;18,320.00;18,500.00;18,373.12;18,240.00;-180.00;-0.97;26,962.00;495,376,140.00
2025-08-28;CORFICOLCF;18,380.00;18,380.00;18,327.07;18,160.00;60.00;0.33;29,889.00;547,777,780.00
2025-08-29;CORFICOLCF;18,280.00;18,300.00;18,162.12;18,100.00;-100.00;-0.54;28,653.00;520,399,300.00
2025-09-01;CORFICOLCF;18,220.00;18,260.00;18,211.27;18,100.00;-60.00;-0.33;7,799.00;142,029,680.00
2025-09-02;CORFICOLCF;17,920.00;18,200.00;18,171.90;17,920.00;-300.00;-1.65;185,203.00;3,365,491,240.00
2025-09-03;CORFICOLCF;17,920.00;18,140.00;17,968.78;17,820.00;0.00;0.00;25,253.00;453,765,540.00
2025-09-04;CORFICOLCF;18,200.00;18,200.00;18,111.58;17,920.00;280.00;1.56;11,894.00;215,419,120.00
2025-09-05;CORFICOLCF;18,020.00;18,200.00;18,073.20;17,980.00;-180.00;-0.99;34,389.00;621,519,180.00
2025-09-08;CORFICOLCF;17,960.00;18,200.00;18,106.69;17,960.00;-60.00;-0.33;38,419.00;695,640,840.00
2025-09-09;CORFICOLCF;18,000.00;18,060.00;17,861.49;17,800.00;40.00;0.22;132,613.00;2,368,666,220.00
2025-09-10;CORFICOLCF;17,720.00;17,900.00;17,740.23;17,700.00;-280.00;-1.56;100,666.00;1,785,838,100.00
2025-09-11;CORFICOLCF;17,860.00;17,920.00;17,864.94;17,820.00;140.00;0.79;32,727.00;584,665,740.00
2025-09-12;CORFICOLCF;17,840.00;17,840.00;17,786.43;17,700.00;-20.00;-0.11;10,584.00;188,251,600.00
2025-09-15;CORFICOLCF;17,780.00;17,780.00;17,484.06;17,300.00;-60.00;-0.34;37,799.00;660,879,880.00
2025-09-16;CORFICOLCF;17,500.00;17,500.00;17,416.46;17,400.00;-280.00;-1.57;49,478.00;861,731,380.00
2025-09-17;CORFICOLCF;17,060.00;17,500.00;17,016.83;17,000.00;-440.00;-2.51;732,135.00;12,458,615,080.00
2025-09-18;CORFICOLCF;17,000.00;17,100.00;17,029.71;17,000.00;-60.00;-0.35;67,584.00;1,150,935,760.00
2025-09-19;CORFICOLCF;17,000.00;17,000.00;16,996.75;16,860.00;0.00;0.00;446,783.00;7,593,860,580.00
2025-09-22;CORFICOLCF;17,320.00;17,420.00;17,239.11;17,020.00;320.00;1.88;32,347.00;557,633,640.00
2025-09-23;CORFICOLCF;17,320.00;17,580.00;17,500.04;17,320.00;0.00;0.00;253,899.00;4,443,243,040.00
2025-09-24;CORFICOLCF;17,400.00;17,540.00;17,373.32;17,080.00;80.00;0.46;47,759.00;829,732,240.00
2025-09-25;CORFICOLCF;17,200.00;17,480.00;17,234.11;17,200.00;-200.00;-1.15;11,327.00;195,210,720.00
2025-09-26;CORFICOLCF;17,220.00;17,500.00;17,231.42;17,200.00;20.00;0.12;21,585.00;371,940,260.00
