Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2023-09-04;ECOPETROL;2,370.00;2,404.00;2,378.50;2,360.00;-15.00;-0.63;264,509.00;629,134,504.00
2023-09-05;ECOPETROL;2,416.00;2,443.00;2,426.67;2,400.00;46.00;1.94;3,513,747.00;8,526,709,472.00
2023-09-06;ECOPETROL;2,421.00;2,460.00;2,427.70;2,410.00;5.00;0.21;4,406,266.00;10,697,111,307.00
2023-09-07;ECOPETROL;2,385.00;2,424.00;2,395.14;2,380.00;-36.00;-1.49;3,539,191.00;8,476,852,707.00
2023-09-08;ECOPETROL;2,429.00;2,440.00;2,423.55;2,372.00;44.00;1.84;3,378,947.00;8,189,061,061.00
2023-09-11;ECOPETROL;2,396.00;2,439.00;2,399.91;2,393.00;-33.00;-1.36;2,430,673.00;5,833,391,011.00
2023-09-12;ECOPETROL;2,453.00;2,458.00;2,445.99;2,410.00;57.00;2.38;5,899,237.00;14,429,470,193.00
2023-09-13;ECOPETROL;2,409.00;2,421.00;2,408.42;2,398.00;-44.00;-1.79;2,775,262.00;6,683,988,766.00
2023-09-14;ECOPETROL;2,456.00;2,461.00;2,438.06;2,415.00;47.00;1.95;4,456,154.00;10,864,390,069.00
2023-09-15;ECOPETROL;2,411.00;2,477.00;2,441.00;2,411.00;-45.00;-1.83;8,248,170.00;20,133,754,096.00
2023-09-18;ECOPETROL;2,442.00;2,465.00;2,444.69;2,427.00;31.00;1.29;2,094,746.00;5,120,997,058.00
2023-09-19;ECOPETROL;2,489.00;2,490.00;2,459.41;2,437.00;47.00;1.92;5,320,123.00;13,084,368,616.00
2023-09-20;ECOPETROL;2,513.00;2,539.00;2,520.53;2,485.00;24.00;0.96;7,651,789.00;19,286,574,246.00
2023-09-21;ECOPETROL;2,468.00;2,540.00;2,492.88;2,400.00;-45.00;-1.79;6,845,300.00;17,064,534,452.00
2023-09-22;ECOPETROL;2,330.00;2,400.00;2,333.49;2,300.00;-138.00;-5.59;12,185,823.00;28,435,437,230.00
2023-09-25;ECOPETROL;2,364.00;2,405.00;2,381.72;2,320.00;34.00;1.46;9,026,013.00;21,497,458,181.00
2023-09-26;ECOPETROL;2,307.00;2,345.00;2,319.57;2,276.00;-57.00;-2.41;15,081,201.00;34,981,927,398.00
2023-09-27;ECOPETROL;2,350.00;2,365.00;2,346.17;2,307.00;43.00;1.86;13,683,348.00;32,103,508,005.00
2023-09-28;ECOPETROL;2,333.00;2,377.00;2,357.51;2,333.00;-17.00;-0.72;6,752,718.00;15,919,610,188.00
2023-09-29;ECOPETROL;2,365.00;2,365.00;2,355.07;2,336.00;32.00;1.37;5,947,252.00;14,006,202,998.00
2023-10-02;ECOPETROL;2,322.00;2,379.00;2,328.09;2,315.00;-43.00;-1.82;7,263,625.00;16,910,383,232.00
2023-10-03;ECOPETROL;2,375.00;2,397.00;2,368.69;2,328.00;53.00;2.28;3,929,995.00;9,308,947,058.00
2023-10-04;ECOPETROL;2,312.00;2,330.00;2,316.56;2,309.00;-63.00;-2.65;6,808,446.00;15,772,157,853.00
2023-10-05;ECOPETROL;2,321.00;2,367.00;2,342.31;2,320.00;9.00;0.39;2,323,044.00;5,441,287,002.00
2023-10-06;ECOPETROL;2,359.00;2,368.00;2,350.59;2,327.00;38.00;1.64;5,006,039.00;11,767,139,423.00
2023-10-09;ECOPETROL;2,480.00;2,481.00;2,464.21;2,375.00;121.00;5.13;9,458,486.00;23,307,728,423.00
2023-10-10;ECOPETROL;2,483.00;2,484.00;2,467.34;2,435.00;3.00;0.12;1,472,519.00;3,633,203,822.00
2023-10-11;ECOPETROL;2,507.00;2,507.00;2,487.27;2,460.00;24.00;0.97;4,191,759.00;10,426,018,057.00
2023-10-12;ECOPETROL;2,540.00;2,540.00;2,515.84;2,492.00;33.00;1.32;8,764,499.00;22,050,087,797.00
2023-10-13;ECOPETROL;2,585.00;2,610.00;2,588.33;2,540.00;45.00;1.77;6,325,395.00;16,372,218,128.00
2023-10-17;ECOPETROL;2,606.00;2,632.00;2,613.97;2,585.00;21.00;0.81;1,474,056.00;3,853,144,289.00
2023-10-18;ECOPETROL;2,645.00;2,645.00;2,633.76;2,614.00;39.00;1.50;3,205,582.00;8,442,723,684.00
2023-10-19;ECOPETROL;2,619.00;2,649.00;2,622.93;2,590.00;-26.00;-0.98;5,958,099.00;15,627,649,929.00
2023-10-20;ECOPETROL;2,575.00;2,629.00;2,580.59;2,570.00;-44.00;-1.68;7,005,109.00;18,077,291,049.00
2023-10-23;ECOPETROL;2,525.00;2,570.00;2,541.59;2,525.00;-50.00;-1.94;2,671,569.00;6,790,037,927.00
2023-10-24;ECOPETROL;2,520.00;2,560.00;2,539.12;2,504.00;-5.00;-0.20;2,457,161.00;6,239,035,861.00
2023-10-25;ECOPETROL;2,542.00;2,552.00;2,547.96;2,526.00;22.00;0.87;1,636,778.00;4,170,444,822.00
2023-10-26;ECOPETROL;2,475.00;2,520.00;2,491.90;2,475.00;-67.00;-2.64;3,692,565.00;9,201,520,646.00
2023-10-27;ECOPETROL;2,470.00;2,498.00;2,477.90;2,452.00;-5.00;-0.20;1,191,949.00;2,953,531,964.00
2023-10-30;ECOPETROL;2,395.00;2,462.00;2,406.59;2,378.00;-75.00;-3.04;2,829,265.00;6,808,875,599.00
2023-10-31;ECOPETROL;2,423.00;2,460.00;2,430.08;2,407.00;28.00;1.17;5,020,434.00;12,200,057,741.00
2023-11-01;ECOPETROL;2,480.00;2,480.00;2,466.02;2,447.00;57.00;2.35;6,001,824.00;14,800,614,899.00
2023-11-02;ECOPETROL;2,480.00;2,515.00;2,488.42;2,480.00;0.00;0.00;1,228,867.00;3,057,938,272.00
2023-11-03;ECOPETROL;2,460.00;2,485.00;2,451.42;2,430.00;-20.00;-0.81;2,410,303.00;5,908,674,837.00
2023-11-07;ECOPETROL;2,340.00;2,540.00;2,366.87;2,340.00;-120.00;-4.88;7,028,953.00;16,636,587,244.00
2023-11-08;ECOPETROL;2,335.00;2,385.00;2,345.85;2,325.00;-5.00;-0.21;3,140,392.00;7,366,881,225.00
2023-11-09;ECOPETROL;2,350.00;2,425.00;2,382.10;2,350.00;15.00;0.64;3,248,223.00;7,737,605,945.00
2023-11-10;ECOPETROL;2,350.00;2,365.00;2,349.09;2,320.00;0.00;0.00;2,714,615.00;6,376,885,920.00
2023-11-14;ECOPETROL;2,370.00;2,390.00;2,372.75;2,360.00;20.00;0.85;2,136,750.00;5,069,975,100.00
2023-11-15;ECOPETROL;2,395.00;2,405.00;2,390.91;2,380.00;25.00;1.05;5,642,606.00;13,490,938,835.00
2023-11-16;ECOPETROL;2,395.00;2,405.00;2,391.89;2,360.00;0.00;0.00;7,083,452.00;16,942,866,145.00
2023-11-17;ECOPETROL;2,480.00;2,535.00;2,493.44;2,420.00;85.00;3.55;15,778,986.00;39,344,030,405.00
2023-11-20;ECOPETROL;2,500.00;2,550.00;2,519.94;2,480.00;20.00;0.81;4,925,112.00;12,411,001,400.00
2023-11-21;ECOPETROL;2,545.00;2,550.00;2,528.19;2,500.00;45.00;1.80;3,394,906.00;8,582,967,645.00
2023-11-22;ECOPETROL;2,515.00;2,520.00;2,497.96;2,480.00;-30.00;-1.18;3,351,513.00;8,371,934,185.00
2023-11-23;ECOPETROL;2,500.00;2,520.00;2,498.73;2,480.00;-15.00;-0.60;685,504.00;1,712,892,315.00
2023-11-24;ECOPETROL;2,575.00;2,575.00;2,559.90;2,520.00;75.00;3.00;6,234,950.00;15,960,861,635.00
