Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-06-17;ENKA;18.20;18.20;18.27;18.20;0.20;1.11;2,008,741.00;36,706,199.20
2025-06-18;ENKA;18.70;18.70;18.43;18.70;0.50;2.75;2,070,968.00;38,165,627.10
2025-06-19;ENKA;18.60;18.60;18.22;18.00;-0.10;-0.53;6,373,623.00;116,131,081.60
2025-06-20;ENKA;18.60;;18.33;;;;578,888.00;10,608,949.40
2025-06-24;ENKA;18.70;18.70;18.22;18.10;0.10;0.54;7,838,650.00;142,785,803.10
2025-06-25;ENKA;18.70;18.70;18.35;18.10;0.00;0.00;5,551,935.00;101,853,447.50
2025-06-26;ENKA;18.70;;18.38;;;;1,520,960.00;27,962,778.80
2025-06-27;ENKA;18.70;18.70;18.16;18.00;0.00;0.00;6,516,761.00;118,333,653.80
2025-07-01;ENKA;18.70;;18.28;;;;2,639,023.00;48,232,997.70
2025-07-02;ENKA;18.70;;18.16;;;;2,098,380.00;38,115,369.00
2025-07-03;ENKA;18.70;;18.20;;;;1,079,464.00;19,649,189.30
2025-07-04;ENKA;18.70;;18.29;;;;1,268,514.00;23,198,687.90
2025-07-07;ENKA;18.70;;18.07;;;;942,026.00;17,021,452.40
2025-07-08;ENKA;18.30;18.30;18.10;18.00;-0.40;-2.14;6,220,004.00;112,576,291.40
2025-07-09;ENKA;18.30;;18.25;;;;564,885.00;10,307,860.30
2025-07-10;ENKA;18.30;18.30;18.24;18.30;0.00;;1,459,779.00;26,622,250.50
2025-07-11;ENKA;18.30;;17.97;;;;1,512,760.00;27,186,573.40
2025-07-14;ENKA;18.30;;18.17;;;;1,207,585.00;21,936,258.00
2025-07-15;ENKA;18.30;;18.21;;;;540,907.00;9,849,337.20
2025-07-16;ENKA;18.30;;18.30;;;;473,093.00;8,655,965.60
2025-07-17;ENKA;18.00;18.00;18.13;18.00;-0.30;-1.64;2,047,362.00;37,125,056.90
2025-07-18;ENKA;18.00;18.00;18.06;18.00;0.00;;1,463,408.00;26,428,566.50
2025-07-21;ENKA;18.00;18.00;18.05;18.00;0.00;;1,051,639.00;18,982,214.60
2025-07-22;ENKA;18.30;18.50;18.19;18.30;0.30;1.67;2,729,667.00;49,641,163.00
2025-07-23;ENKA;18.60;18.70;18.53;18.20;0.30;1.64;3,711,178.00;68,767,825.90
2025-07-24;ENKA;18.60;;18.51;;;;1,196,768.00;22,146,876.50
2025-07-25;ENKA;18.60;18.60;18.26;18.10;0.00;0.00;7,324,946.00;133,773,800.20
2025-07-28;ENKA;18.80;18.80;18.53;18.40;0.20;1.08;3,449,508.00;63,928,961.50
2025-07-29;ENKA;19.70;19.70;19.24;19.70;0.90;4.79;3,440,397.00;66,205,866.20
2025-07-30;ENKA;19.20;19.20;18.68;18.40;-0.50;-2.54;3,766,109.00;70,365,272.20
2025-07-31;ENKA;19.20;;18.68;;;;211,655.00;3,953,306.40
2025-08-01;ENKA;19.20;;19.00;;;;838,474.00;15,933,032.00
2025-08-04;ENKA;19.20;;18.77;;;;230,842.00;4,332,358.60
2025-08-05;ENKA;19.20;;18.46;;;;312,757.00;5,772,331.50
2025-08-06;ENKA;18.40;18.40;18.43;18.40;-0.80;-4.17;3,785,157.00;69,748,697.40
2025-08-08;ENKA;18.40;;18.61;;;;563,576.00;10,488,346.20
2025-08-11;ENKA;18.40;;18.84;;;;406,848.00;7,666,317.90
2025-08-12;ENKA;18.40;;18.37;;;;480,621.00;8,829,726.00
2025-08-13;ENKA;18.40;;18.24;;;;488,704.00;8,914,486.40
2025-08-14;ENKA;19.40;19.40;19.14;18.90;1.00;5.43;10,082,963.00;193,004,440.90
2025-08-15;ENKA;19.30;19.30;19.50;19.30;-0.10;-0.52;1,613,991.00;31,466,382.20
2025-08-19;ENKA;20.00;20.00;19.84;19.70;0.70;3.63;7,266,337.00;144,159,364.00
