Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-03-05;ETB;95.00;;89.60;;;;139,682.00;12,516,189.00
2024-03-06;ETB;95.00;;89.52;;;;359,986.00;32,227,636.00
2024-03-07;ETB;95.00;;84.45;;;;131,123.00;11,073,530.00
2024-03-08;ETB;95.00;;88.78;;;;33,665.00;2,988,914.50
2024-03-11;ETB;95.00;;92.60;;;;290,000.00;26,855,000.00
2024-03-12;ETB;95.00;;85.10;;;;11,221.00;954,890.00
2024-03-13;ETB;95.00;;87.01;;;;5,098.00;443,580.00
2024-03-14;ETB;95.00;;88.50;;;;23,605.00;2,089,078.00
2024-03-15;ETB;95.00;;86.32;;;;55,455.00;4,786,821.00
2024-03-18;ETB;95.00;;86.00;;;;57,488.00;4,943,968.00
2024-03-19;ETB;95.00;;85.94;;;;20,820.00;1,789,271.00
2024-03-20;ETB;95.00;;83.68;;;;56,156.00;4,699,250.50
2024-03-21;ETB;95.00;;84.05;;;;8,954.00;752,543.00
2024-03-22;ETB;95.00;;82.16;;;;56,100.00;4,609,350.00
2024-03-26;ETB;95.00;;83.17;;;;59,229.00;4,925,995.50
2024-03-27;ETB;95.00;;82.00;;;;6,560.00;537,920.00
2024-04-01;ETB;95.00;;81.54;;;;32,150.00;2,621,439.50
2024-04-02;ETB;95.00;;88.25;;;;284,408.00;25,098,145.50
2024-04-03;ETB;95.00;;84.22;;;;47,103.00;3,966,882.00
2024-04-04;ETB;95.00;;83.81;;;;34,854.00;2,921,020.50
2024-04-05;ETB;95.00;;83.50;;;;5,605.00;468,017.50
2024-04-08;ETB;95.00;;86.75;;;;40,726.00;3,533,026.00
2024-04-09;ETB;95.00;;89.65;;;;229,777.00;20,598,360.50
2024-04-10;ETB;100.00;100.00;99.12;100.00;5.00;5.26;404,348.00;40,079,261.50
2024-04-11;ETB;100.00;100.00;99.56;100.00;0.00;;1,642,896.00;163,569,146.00
2024-04-12;ETB;100.00;;93.94;;;;114,285.00;10,736,190.00
2024-04-15;ETB;100.00;;104.88;;;;84,764.00;8,890,198.00
2024-04-16;ETB;100.00;;105.92;;;;31,123.00;3,296,661.00
2024-04-17;ETB;100.00;;94.07;;;;12,045.00;1,133,044.00
2024-04-18;ETB;100.00;;96.08;;;;57,083.00;5,484,552.00
2024-04-19;ETB;100.00;;;;;;;
2024-04-22;ETB;100.00;;95.77;;;;87,844.00;8,413,070.00
2024-04-23;ETB;100.00;;98.60;;;;11,062.00;1,090,661.00
2024-04-24;ETB;100.00;;99.00;;;;10,100.00;999,900.00
2024-04-25;ETB;100.00;;95.50;;;;3,176.00;303,308.00
2024-04-26;ETB;100.00;;95.00;;;;1,131.00;107,445.00
2024-04-29;ETB;100.00;;95.79;;;;97,298.00;9,320,348.00
2024-04-30;ETB;100.00;;98.48;;;;46,851.00;4,614,096.00
2024-05-02;ETB;100.00;;96.44;;;;6,135.00;591,679.50
2024-05-03;ETB;100.00;;;;;;;
2024-05-06;ETB;100.00;;98.00;;;;3,907.00;382,886.00
2024-05-07;ETB;100.00;;98.53;;;;18,722.00;1,844,727.50
2024-05-08;ETB;100.00;;95.37;;;;115,066.00;10,973,832.00
2024-05-09;ETB;100.00;;92.00;;;;4,070.00;374,440.00
2024-05-10;ETB;100.00;;98.00;;;;2,521.00;247,058.00
