Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2023-09-04;EXITO;2,994.00;;3,006.39;;;;8,283.00;24,901,911.00
2023-09-05;EXITO;2,800.00;2,910.00;2,856.78;2,800.00;-194.00;-6.48;387,546.00;1,107,132,016.00
2023-09-06;EXITO;2,690.00;2,740.00;2,705.13;2,690.00;-110.00;-3.93;611,681.00;1,654,675,074.00
2023-09-07;EXITO;2,700.00;2,700.00;2,645.28;2,625.00;10.00;0.37;440,873.00;1,166,233,005.00
2023-09-08;EXITO;2,700.00;2,735.00;2,657.76;2,609.00;0.00;0.00;1,361,328.00;3,618,083,130.00
2023-09-11;EXITO;2,810.00;2,830.00;2,800.96;2,745.00;110.00;4.07;557,893.00;1,562,638,456.00
2023-09-12;EXITO;2,830.00;2,860.00;2,836.46;2,800.00;20.00;0.71;481,123.00;1,364,688,068.00
2023-09-13;EXITO;2,830.00;2,830.00;2,812.30;2,810.00;0.00;0.00;574,955.00;1,616,946,882.00
2023-09-14;EXITO;2,787.00;2,850.00;2,815.05;2,782.00;-43.00;-1.52;678,858.00;1,911,020,865.00
2023-09-15;EXITO;2,750.00;2,793.00;2,752.05;2,729.00;-37.00;-1.33;1,147,899.00;3,159,073,977.00
2023-09-18;EXITO;2,750.00;2,750.00;2,737.73;2,710.00;0.00;0.00;582,382.00;1,594,403,448.00
2023-09-19;EXITO;2,810.00;2,820.00;2,788.59;2,765.00;60.00;2.18;1,058,637.00;2,952,105,346.00
2023-09-20;EXITO;2,788.00;2,796.00;2,767.56;2,750.00;-22.00;-0.78;479,430.00;1,326,850,231.00
2023-09-21;EXITO;2,700.00;2,747.00;2,728.48;2,700.00;-88.00;-3.16;463,368.00;1,264,288,741.00
2023-09-22;EXITO;2,750.00;2,750.00;2,721.95;2,620.00;50.00;1.85;455,263.00;1,239,205,396.00
2023-09-25;EXITO;2,738.00;2,738.00;2,733.60;2,725.00;-12.00;-0.44;447,443.00;1,223,128,707.00
2023-09-26;EXITO;2,698.00;2,787.00;2,689.64;2,655.00;-40.00;-1.46;973,228.00;2,617,636,775.00
2023-09-27;EXITO;2,619.00;2,680.00;2,608.21;2,570.00;-79.00;-2.93;1,736,362.00;4,528,791,562.00
2023-09-28;EXITO;2,692.00;2,692.00;2,667.06;2,600.00;73.00;2.79;1,233,004.00;3,288,494,091.00
2023-09-29;EXITO;2,830.00;2,830.00;2,792.12;2,750.00;138.00;5.13;1,211,771.00;3,383,407,908.00
2023-10-02;EXITO;2,900.00;2,900.00;2,875.83;2,829.00;70.00;2.47;1,096,634.00;3,153,731,976.00
2023-10-03;EXITO;2,872.00;2,897.00;2,834.83;2,800.00;-28.00;-0.97;500,429.00;1,418,633,479.00
2023-10-04;EXITO;2,765.00;2,820.00;2,783.54;2,760.00;-107.00;-3.73;361,877.00;1,007,300,292.00
2023-10-05;EXITO;2,740.00;2,754.00;2,747.71;2,740.00;-25.00;-0.90;128,167.00;352,165,577.00
2023-10-06;EXITO;2,700.00;2,731.00;2,681.68;2,660.00;-40.00;-1.46;991,108.00;2,657,834,227.00
2023-10-09;EXITO;2,720.00;2,730.00;2,696.78;2,651.00;20.00;0.74;509,493.00;1,373,992,976.00
2023-10-10;EXITO;2,715.00;2,740.00;2,711.20;2,663.00;-5.00;-0.18;1,091,891.00;2,960,338,784.00
