Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-08-30;FABRICATO;6.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-08-31;FABRICATO;6.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-01;FABRICATO;6.05;0.00;5.90;0.00;0.00;0.00;700,000.00;4,130,000.00
2021-09-02;FABRICATO;6.05;0.00;5.81;0.00;0.00;0.00;445,768.00;2,589,912.08
2021-09-03;FABRICATO;6.01;6.01;6.01;6.01;-0.04;-0.66;2,500,000.00;15,025,000.00
2021-09-06;FABRICATO;6.01;0.00;5.81;0.00;0.00;0.00;1,624,632.00;9,439,111.92
2021-09-07;FABRICATO;6.01;0.00;5.95;0.00;0.00;0.00;1,000,000.00;5,950,000.00
2021-09-08;FABRICATO;6.05;6.05;6.05;6.05;0.04;0.67;50,208,135.00;303,759,216.75
2021-09-09;FABRICATO;6.05;0.00;5.82;0.00;0.00;0.00;460,000.00;2,677,200.00
2021-09-10;FABRICATO;6.05;0.00;6.05;0.00;0.00;0.00;600,000.00;3,630,000.00
2021-09-13;FABRICATO;6.05;0.00;6.10;0.00;0.00;0.00;300,000.00;1,830,000.00
2021-09-14;FABRICATO;6.05;0.00;5.85;0.00;0.00;0.00;105,327.00;616,162.95
2021-09-15;FABRICATO;6.05;6.05;6.05;6.05;0.00;0.00;2,623,194.00;15,870,323.70
2021-09-16;FABRICATO;6.05;0.00;6.10;0.00;0.00;0.00;300,000.00;1,830,000.00
2021-09-17;FABRICATO;6.05;0.00;6.00;0.00;0.00;0.00;1,015,628.00;6,093,768.00
2021-09-20;FABRICATO;6.05;0.00;6.00;0.00;0.00;0.00;500,000.00;3,000,000.00
2021-09-21;FABRICATO;6.05;0.00;5.85;0.00;0.00;0.00;3,159,200.00;18,481,320.00
2021-09-22;FABRICATO;6.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-23;FABRICATO;6.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-24;FABRICATO;6.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-09-27;FABRICATO;6.05;0.00;6.00;0.00;0.00;0.00;260,000.00;1,560,000.00
2021-09-28;FABRICATO;6.20;6.20;6.19;6.15;0.15;2.48;20,809,062.00;128,745,789.85
2021-09-29;FABRICATO;6.20;0.00;6.16;0.00;0.00;0.00;358,990.00;2,210,155.54
2021-09-30;FABRICATO;6.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-10-01;FABRICATO;6.48;6.48;6.30;6.20;0.28;4.52;9,978,255.00;62,896,980.00
2021-10-04;FABRICATO;6.48;0.00;6.70;0.00;0.00;0.00;200,000.00;1,340,000.00
2021-10-05;FABRICATO;6.25;6.25;6.29;6.25;-0.23;-3.55;3,620,000.00;22,756,731.95
2021-10-06;FABRICATO;6.25;6.25;6.22;6.25;0.00;0.00;6,158,652.00;38,298,775.00
2021-10-07;FABRICATO;6.25;6.25;6.22;6.25;0.00;0.00;3,342,372.00;20,779,156.40
