Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-05-19;GEB;2,900.00;2,900.00;2,895.61;2,870.00;5.00;0.17;202,509.00;586,386,330.00
2025-05-20;GEB;2,900.00;2,910.00;2,899.93;2,890.00;0.00;0.00;256,834.00;744,799,860.00
2025-05-21;GEB;2,925.00;2,930.00;2,920.12;2,900.00;25.00;0.86;1,678,326.00;4,900,910,215.00
2025-05-22;GEB;2,970.00;2,970.00;2,935.75;2,900.00;45.00;1.54;325,605.00;955,894,040.00
2025-05-23;GEB;2,970.00;2,970.00;2,959.12;2,930.00;0.00;0.00;397,508.00;1,176,272,635.00
2025-05-26;GEB;2,945.00;2,975.00;2,954.24;2,945.00;-25.00;-0.84;101,462.00;299,743,170.00
2025-05-27;GEB;2,915.00;2,945.00;2,906.68;2,875.00;-30.00;-1.02;839,402.00;2,439,869,005.00
2025-05-28;GEB;2,950.00;2,960.00;2,938.19;2,910.00;35.00;1.20;567,346.00;1,666,970,715.00
2025-05-29;GEB;2,985.00;2,985.00;2,968.43;2,940.00;35.00;1.19;301,715.00;895,619,525.00
2025-05-30;GEB;2,900.00;2,965.00;2,907.23;2,900.00;-85.00;-2.85;1,877,455.00;5,458,188,970.00
2025-06-03;GEB;2,975.00;2,975.00;2,952.51;2,940.00;75.00;2.59;361,404.00;1,067,049,910.00
2025-06-04;GEB;2,975.00;2,980.00;2,975.61;2,965.00;0.00;0.00;264,290.00;786,424,860.00
2025-06-05;GEB;2,970.00;2,985.00;2,975.04;2,970.00;-5.00;-0.17;412,052.00;1,225,871,575.00
2025-06-06;GEB;2,985.00;2,990.00;2,982.58;2,970.00;15.00;0.51;119,611.00;356,749,475.00
2025-06-09;GEB;2,930.00;2,985.00;2,955.73;2,930.00;-55.00;-1.84;282,388.00;834,663,455.00
2025-06-10;GEB;2,940.00;2,965.00;2,946.69;2,940.00;10.00;0.34;238,980.00;704,199,630.00
2025-06-11;GEB;2,920.00;2,955.00;2,916.88;2,900.00;-20.00;-0.68;806,254.00;2,351,744,065.00
2025-06-12;GEB;2,920.00;2,935.00;2,910.19;2,860.00;0.00;0.00;286,471.00;833,684,670.00
2025-06-13;GEB;2,910.00;2,940.00;2,917.96;2,910.00;-10.00;-0.34;493,044.00;1,438,682,005.00
2025-06-16;GEB;2,895.00;2,915.00;2,899.61;2,895.00;-15.00;-0.52;337,539.00;978,731,450.00
