Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2022-03-01;GRUBOLIVAR;80,000.00;80,010.00;80,030.89;80,000.00;-10.00;-0.01;3,759.00;300,836,130.00
2022-03-02;GRUBOLIVAR;80,010.00;80,010.00;80,013.57;80,000.00;10.00;0.01;1,854.00;148,345,150.00
2022-03-03;GRUBOLIVAR;80,000.00;80,010.00;80,002.10;80,000.00;-10.00;-0.01;8,060.00;644,816,910.00
2022-03-04;GRUBOLIVAR;79,990.00;79,990.00;79,177.64;79,000.00;-10.00;-0.01;1,328.00;105,147,900.00
2022-03-07;GRUBOLIVAR;79,000.00;79,000.00;78,719.67;78,200.00;-990.00;-1.24;1,909.00;150,275,850.00
2022-03-08;GRUBOLIVAR;75,100.00;78,000.00;76,161.85;75,100.00;-3,900.00;-4.94;8,364.00;637,017,680.00
2022-03-09;GRUBOLIVAR;75,100.00;75,100.00;75,345.36;75,100.00;0.00;0.00;1,475.00;111,134,400.00
2022-03-10;GRUBOLIVAR;106,000.00;111,000.00;96,372.53;79,900.00;30,900.00;41.15;136,383.00;13,143,574,290.00
2022-03-11;GRUBOLIVAR;100,500.00;108,000.00;101,561.22;96,000.00;-5,500.00;-5.19;36,176.00;3,674,078,550.00
2022-03-14;GRUBOLIVAR;101,800.00;101,800.00;99,905.20;95,500.00;1,300.00;1.29;16,202.00;1,618,664,000.00
2022-03-15;GRUBOLIVAR;106,000.00;106,000.00;103,438.36;98,430.00;4,200.00;4.13;7,699.00;796,371,950.00
2022-03-16;GRUBOLIVAR;103,900.00;104,900.00;102,297.96;101,000.00;-2,100.00;-1.98;9,184.00;939,504,510.00
2022-03-17;GRUBOLIVAR;103,900.00;104,500.00;104,077.95;103,000.00;0.00;0.00;6,158.00;640,912,030.00
2022-03-18;GRUBOLIVAR;101,900.00;102,800.00;100,045.94;99,110.00;-2,000.00;-1.92;5,985.00;598,774,980.00
2022-03-22;GRUBOLIVAR;98,000.00;98,000.00;96,913.93;96,000.00;-3,900.00;-3.83;3,702.00;358,775,370.00
2022-03-23;GRUBOLIVAR;96,000.00;96,000.00;95,928.73;95,000.00;-2,000.00;-2.04;7,584.00;727,523,480.00
2022-03-24;GRUBOLIVAR;96,000.00;96,000.00;95,996.27;95,990.00;0.00;0.00;17,242.00;1,655,167,690.00
2022-03-25;GRUBOLIVAR;87,000.00;96,000.00;91,627.59;86,580.00;-9,000.00;-9.37;7,003.00;641,668,040.00
2022-03-28;GRUBOLIVAR;85,000.00;88,100.00;86,797.31;84,000.00;-2,000.00;-2.30;2,761.00;239,647,360.00
2022-03-29;GRUBOLIVAR;85,000.00;86,990.00;85,204.91;85,000.00;0.00;0.00;1,459.00;124,313,960.00
2022-03-30;GRUBOLIVAR;84,000.00;86,430.00;84,985.12;84,000.00;-1,000.00;-1.18;19,922.00;1,693,073,500.00
2022-03-31;GRUBOLIVAR;85,000.00;85,000.00;84,804.83;84,000.00;1,000.00;1.19;2,549.00;216,167,500.00
2022-04-01;GRUBOLIVAR;86,500.00;87,000.00;86,250.01;85,000.00;1,500.00;1.76;7,638.00;658,777,600.00
2022-04-04;GRUBOLIVAR;89,500.00;89,500.00;89,246.54;88,380.00;3,000.00;3.47;20,262.00;1,808,313,420.00
2022-04-05;GRUBOLIVAR;89,860.00;89,990.00;89,550.65;89,400.00;360.00;0.40;39,763.00;3,560,802,630.00
2022-04-06;GRUBOLIVAR;90,600.00;91,900.00;89,938.67;89,310.00;740.00;0.82;38,528.00;3,465,157,120.00
2022-04-07;GRUBOLIVAR;91,000.00;91,500.00;90,574.08;90,480.00;400.00;0.44;9,010.00;816,072,480.00
2022-04-08;GRUBOLIVAR;94,000.00;94,000.00;92,721.82;90,000.00;3,000.00;3.30;104,395.00;9,679,694,290.00
2022-04-11;GRUBOLIVAR;93,000.00;93,000.00;92,963.15;92,680.00;-1,000.00;-1.06;35,077.00;3,260,868,320.00
2022-04-12;GRUBOLIVAR;92,000.00;93,400.00;92,759.99;92,000.00;-1,000.00;-1.08;3,399.00;315,291,200.00
2022-04-13;GRUBOLIVAR;93,000.00;93,000.00;92,952.36;92,000.00;1,000.00;1.09;21,637.00;2,011,210,210.00
2022-04-18;GRUBOLIVAR;93,000.00;93,000.00;92,958.19;92,500.00;0.00;0.00;13,067.00;1,214,684,610.00
2022-04-19;GRUBOLIVAR;92,030.00;93,000.00;92,985.41;92,030.00;-970.00;-1.04;26,633.00;2,476,480,470.00
2022-04-20;GRUBOLIVAR;93,270.00;93,270.00;93,066.31;92,330.00;1,240.00;1.35;9,566.00;890,272,300.00
2022-04-21;GRUBOLIVAR;93,220.00;93,220.00;93,177.62;92,500.00;-50.00;-0.05;9,403.00;876,149,150.00
2022-04-22;GRUBOLIVAR;93,000.00;93,010.00;93,001.21;93,000.00;-220.00;-0.24;11,910.00;1,107,644,360.00
2022-04-25;GRUBOLIVAR;94,990.00;95,000.00;94,886.86;94,450.00;1,990.00;2.14;3,350.00;317,870,980.00
2022-04-26;GRUBOLIVAR;95,000.00;95,090.00;94,986.15;93,500.00;10.00;0.01;87,108.00;8,274,053,640.00
2022-04-27;GRUBOLIVAR;92,900.00;93,100.00;93,041.24;92,900.00;-2,100.00;-2.21;17,982.00;1,673,067,540.00
2022-04-28;GRUBOLIVAR;93,000.00;93,000.00;92,459.50;90,380.00;100.00;0.11;4,269.00;394,709,590.00
2022-04-29;GRUBOLIVAR;93,000.00;;92,569.63;;;;246.00;22,772,130.00
2022-05-02;GRUBOLIVAR;92,000.00;92,000.00;91,984.42;92,000.00;-1,000.00;-1.08;172.00;15,821,320.00
2022-05-03;GRUBOLIVAR;91,000.00;92,000.00;90,938.49;90,660.00;-1,000.00;-1.09;2,717.00;247,079,870.00
2022-05-04;GRUBOLIVAR;90,000.00;90,000.00;90,029.23;90,000.00;-1,000.00;-1.10;958.00;86,248,000.00
2022-05-05;GRUBOLIVAR;90,010.00;90,010.00;90,030.21;90,010.00;10.00;0.01;605.00;54,468,280.00
2022-05-06;GRUBOLIVAR;90,000.00;90,010.00;90,033.25;90,000.00;-10.00;-0.01;975.00;87,782,420.00
2022-05-09;GRUBOLIVAR;85,000.00;89,810.00;87,206.93;85,000.00;-5,000.00;-5.56;7,132.00;621,959,840.00
2022-05-10;GRUBOLIVAR;88,900.00;88,900.00;85,055.03;83,000.00;3,900.00;4.59;4,787.00;407,158,430.00
2022-05-11;GRUBOLIVAR;88,900.00;;86,634.58;;;;24.00;2,079,230.00
2022-05-12;GRUBOLIVAR;88,900.00;;88,883.09;;;;68.00;6,044,050.00
2022-05-13;GRUBOLIVAR;88,900.00;;81,100.00;;;;1.00;81,100.00
2022-05-16;GRUBOLIVAR;88,800.00;88,800.00;85,047.80;84,900.00;-100.00;-0.11;2,507.00;213,214,840.00
2022-05-17;GRUBOLIVAR;86,000.00;87,500.00;86,597.08;86,000.00;-2,800.00;-3.15;524.00;45,376,870.00
2022-05-18;GRUBOLIVAR;82,990.00;85,000.00;84,245.50;82,010.00;-3,010.00;-3.50;8,359.00;704,208,160.00
2022-05-19;GRUBOLIVAR;82,600.00;82,600.00;82,551.24;82,600.00;-390.00;-0.47;4,101.00;338,542,620.00
2022-05-20;GRUBOLIVAR;81,000.00;83,500.00;81,992.86;81,000.00;-1,600.00;-1.94;5,866.00;480,970,120.00
2022-05-23;GRUBOLIVAR;83,000.00;83,000.00;81,104.81;78,900.00;2,000.00;2.47;5,798.00;470,245,670.00
2022-05-24;GRUBOLIVAR;83,780.00;83,780.00;82,422.13;79,020.00;780.00;0.94;572.00;47,145,460.00
2022-05-25;GRUBOLIVAR;82,480.00;83,000.00;81,067.14;79,600.00;-1,300.00;-1.55;1,358.00;110,089,170.00
2022-05-26;GRUBOLIVAR;82,470.00;82,480.00;81,127.11;80,000.00;-10.00;-0.01;2,039.00;165,418,180.00
2022-05-27;GRUBOLIVAR;82,300.00;82,300.00;80,396.71;79,600.00;-170.00;-0.21;496.00;39,876,770.00
2022-05-31;GRUBOLIVAR;88,060.00;88,060.00;85,700.58;82,300.00;5,760.00;7.00;11,944.00;1,023,607,680.00
2022-06-01;GRUBOLIVAR;85,000.00;87,200.00;84,786.78;84,000.00;-3,060.00;-3.47;1,581.00;134,047,900.00
2022-06-02;GRUBOLIVAR;85,990.00;86,500.00;85,482.93;85,000.00;990.00;1.16;1,990.00;170,111,040.00
2022-06-03;GRUBOLIVAR;85,890.00;85,890.00;84,107.88;80,160.00;-100.00;-0.12;5,614.00;472,181,640.00
2022-06-06;GRUBOLIVAR;83,000.00;83,020.00;82,492.65;82,000.00;-2,890.00;-3.36;2,840.00;234,279,130.00
2022-06-07;GRUBOLIVAR;83,000.00;83,000.00;80,790.44;80,220.00;0.00;0.00;2,800.00;226,213,240.00
2022-06-08;GRUBOLIVAR;83,000.00;83,000.00;82,981.97;83,000.00;0.00;;2,542.00;210,940,170.00
2022-06-09;GRUBOLIVAR;80,220.00;80,230.00;80,248.24;80,220.00;-2,780.00;-3.35;2,086.00;167,397,820.00
2022-06-10;GRUBOLIVAR;83,980.00;83,980.00;80,949.18;80,300.00;3,760.00;4.69;926.00;74,958,940.00
2022-06-13;GRUBOLIVAR;76,020.00;80,320.00;78,261.87;76,020.00;-7,960.00;-9.48;4,632.00;362,508,980.00
2022-06-14;GRUBOLIVAR;80,500.00;80,500.00;78,540.30;77,020.00;4,480.00;5.89;2,145.00;168,468,950.00
2022-06-15;GRUBOLIVAR;77,000.00;80,480.00;77,431.28;77,000.00;-3,500.00;-4.35;2,146.00;166,167,530.00
2022-06-16;GRUBOLIVAR;77,500.00;79,990.00;77,984.95;77,500.00;500.00;0.65;1,062.00;82,820,020.00
2022-06-17;GRUBOLIVAR;78,490.00;78,590.00;77,724.37;77,000.00;990.00;1.28;1,040.00;80,833,340.00
2022-06-21;GRUBOLIVAR;76,010.00;76,010.00;75,099.06;74,800.00;-2,480.00;-3.16;4,530.00;340,198,720.00
2022-06-22;GRUBOLIVAR;77,000.00;79,880.00;75,496.40;75,000.00;990.00;1.30;4,825.00;364,270,110.00
2022-06-23;GRUBOLIVAR;75,000.00;75,000.00;73,830.56;72,010.00;-2,000.00;-2.60;2,360.00;174,240,110.00
2022-06-24;GRUBOLIVAR;73,020.00;75,000.00;73,591.35;73,010.00;-1,980.00;-2.64;2,570.00;189,129,780.00
2022-06-28;GRUBOLIVAR;70,610.00;73,000.00;71,033.93;70,000.00;-2,410.00;-3.30;5,541.00;393,598,980.00
2022-06-29;GRUBOLIVAR;68,500.00;70,610.00;68,788.90;68,000.00;-2,110.00;-2.99;14,377.00;988,978,030.00
2022-06-30;GRUBOLIVAR;69,980.00;69,980.00;68,791.50;68,100.00;1,480.00;2.16;24,976.00;1,718,136,530.00
2022-07-01;GRUBOLIVAR;70,150.00;70,150.00;70,049.86;69,900.00;170.00;0.24;9,172.00;642,497,280.00
2022-07-05;GRUBOLIVAR;70,000.00;70,000.00;69,072.97;69,000.00;-150.00;-0.21;18,808.00;1,299,124,380.00
