Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-03-01;GRUPOARGOS;13,060.00;13,130.00;13,012.28;12,900.00;-240.00;-1.80;69,353.00;902,440,550.00
2021-03-02;GRUPOARGOS;13,000.00;13,000.00;12,877.73;12,700.00;-60.00;-0.46;93,941.00;1,209,747,260.00
2021-03-03;GRUPOARGOS;12,790.00;12,880.00;12,803.87;12,700.00;-210.00;-1.62;201,529.00;2,580,351,940.00
2021-03-04;GRUPOARGOS;12,500.00;12,790.00;12,579.45;12,450.00;-290.00;-2.27;43,204.00;543,482,440.00
2021-03-05;GRUPOARGOS;12,400.00;12,500.00;12,209.47;12,000.00;-100.00;-0.80;191,754.00;2,341,215,270.00
2021-03-08;GRUPOARGOS;12,430.00;12,450.00;12,310.74;12,200.00;30.00;0.24;56,008.00;689,499,980.00
2021-03-09;GRUPOARGOS;12,580.00;12,580.00;12,442.36;12,310.00;150.00;1.21;273,325.00;3,400,807,270.00
2021-03-10;GRUPOARGOS;12,780.00;12,780.00;12,689.15;12,450.00;200.00;1.59;46,778.00;593,573,250.00
2021-03-11;GRUPOARGOS;12,940.00;12,940.00;12,811.44;12,700.00;160.00;1.25;19,281.00;247,017,340.00
2021-03-12;GRUPOARGOS;12,840.00;12,980.00;12,850.96;12,700.00;-100.00;-0.77;29,351.00;377,188,490.00
2021-03-15;GRUPOARGOS;12,500.00;12,820.00;12,575.55;12,480.00;-340.00;-2.65;50,664.00;637,127,550.00
2021-03-16;GRUPOARGOS;12,400.00;12,760.00;12,465.41;12,250.00;-100.00;-0.80;96,304.00;1,200,468,820.00
2021-03-17;GRUPOARGOS;12,240.00;12,360.00;12,254.56;12,200.00;-160.00;-1.29;61,428.00;752,772,890.00
2021-03-18;GRUPOARGOS;11,900.00;12,600.00;11,994.91;11,900.00;-340.00;-2.78;92,096.00;1,104,683,450.00
2021-03-19;GRUPOARGOS;11,400.00;11,900.00;11,416.92;11,400.00;-500.00;-4.20;1,611,681.00;18,400,426,190.00
2021-03-23;GRUPOARGOS;11,490.00;11,900.00;11,505.82;11,350.00;90.00;0.79;120,925.00;1,391,341,010.00
2021-03-24;GRUPOARGOS;11,650.00;11,650.00;11,579.76;11,470.00;160.00;1.39;520,985.00;6,032,878,860.00
2021-03-25;GRUPOARGOS;11,600.00;11,770.00;11,568.66;11,490.00;-50.00;-0.43;89,372.00;1,033,913,950.00
2021-03-26;GRUPOARGOS;11,570.00;11,790.00;11,557.95;11,310.00;-30.00;-0.26;90,850.00;1,050,039,510.00
2021-03-29;GRUPOARGOS;11,590.00;11,590.00;11,525.17;11,450.00;20.00;0.17;36,023.00;415,171,330.00
2021-03-30;GRUPOARGOS;11,850.00;11,860.00;11,722.23;11,400.00;260.00;2.24;133,534.00;1,565,316,450.00
2021-03-31;GRUPOARGOS;11,780.00;11,980.00;11,779.25;11,610.00;-70.00;-0.59;146,807.00;1,729,276,410.00
2021-04-05;GRUPOARGOS;11,780.00;11,890.00;11,663.45;11,510.00;0.00;0.00;125,619.00;1,465,151,040.00
2021-04-06;GRUPOARGOS;12,010.00;12,090.00;11,939.11;11,700.00;230.00;1.95;168,309.00;2,009,459,370.00
2021-04-07;GRUPOARGOS;12,000.00;12,190.00;12,058.40;11,940.00;-10.00;-0.08;162,043.00;1,953,978,780.00
2021-04-08;GRUPOARGOS;11,880.00;12,000.00;11,922.38;11,850.00;-120.00;-1.00;59,533.00;709,774,910.00
2021-04-09;GRUPOARGOS;11,700.00;12,040.00;11,761.59;11,690.00;-180.00;-1.52;52,402.00;616,330,610.00
2021-04-12;GRUPOARGOS;11,570.00;11,700.00;11,565.79;11,520.00;-130.00;-1.11;81,966.00;948,001,240.00
2021-04-13;GRUPOARGOS;11,500.00;11,940.00;11,501.73;11,470.00;-70.00;-0.61;109,131.00;1,255,195,680.00
2021-04-14;GRUPOARGOS;11,500.00;11,640.00;11,475.13;11,400.00;0.00;0.00;122,359.00;1,404,085,240.00
2021-04-15;GRUPOARGOS;11,400.00;11,500.00;11,469.98;11,400.00;-100.00;-0.87;50,003.00;573,533,200.00
2021-04-16;GRUPOARGOS;11,520.00;11,550.00;11,500.93;11,430.00;120.00;1.05;71,147.00;818,256,690.00
2021-04-19;GRUPOARGOS;11,360.00;11,520.00;11,354.09;11,300.00;-160.00;-1.39;208,507.00;2,367,407,320.00
2021-04-20;GRUPOARGOS;11,430.00;11,500.00;11,363.49;11,300.00;70.00;0.62;558,333.00;6,344,613,460.00
2021-04-21;GRUPOARGOS;11,400.00;11,480.00;11,390.37;11,300.00;-30.00;-0.26;16,361.00;186,357,820.00
2021-04-22;GRUPOARGOS;11,350.00;11,400.00;11,356.62;11,310.00;-50.00;-0.44;175,101.00;1,988,555,620.00
2021-04-23;GRUPOARGOS;11,280.00;11,340.00;11,303.05;11,280.00;-70.00;-0.62;16,294.00;184,171,880.00
2021-04-26;GRUPOARGOS;11,000.00;11,330.00;11,181.44;11,000.00;-280.00;-2.48;223,593.00;2,500,091,330.00
2021-04-27;GRUPOARGOS;10,900.00;11,150.00;11,036.72;10,900.00;-100.00;-0.91;209,018.00;2,306,873,220.00
2021-04-28;GRUPOARGOS;11,040.00;11,090.00;10,836.18;10,750.00;140.00;1.28;483,625.00;5,240,645,760.00
2021-04-29;GRUPOARGOS;10,810.00;11,190.00;10,971.87;10,810.00;-230.00;-2.08;66,394.00;728,466,130.00
2021-04-30;GRUPOARGOS;10,590.00;10,970.00;10,655.52;10,500.00;-220.00;-2.04;190,866.00;2,033,776,560.00
2021-05-03;GRUPOARGOS;9,930.00;10,690.00;10,214.21;9,900.00;-660.00;-6.23;164,951.00;1,684,844,840.00
2021-05-04;GRUPOARGOS;10,020.00;10,200.00;9,954.62;9,700.00;90.00;0.91;199,624.00;1,987,181,625.00
2021-05-05;GRUPOARGOS;10,190.00;10,300.00;10,172.34;10,140.00;170.00;1.70;89,716.00;912,621,770.00
2021-05-06;GRUPOARGOS;10,600.00;10,800.00;10,404.97;10,120.00;410.00;4.02;242,992.00;2,528,325,290.00
2021-05-07;GRUPOARGOS;11,300.00;11,300.00;11,203.40;10,880.00;700.00;6.60;184,624.00;2,068,417,200.00
2021-05-10;GRUPOARGOS;11,800.00;11,800.00;11,594.29;11,380.00;500.00;4.42;304,144.00;3,526,334,620.00
2021-05-11;GRUPOARGOS;11,400.00;11,800.00;11,428.75;11,360.00;-400.00;-3.39;259,445.00;2,965,132,010.00
2021-05-12;GRUPOARGOS;11,160.00;11,330.00;11,152.32;11,050.00;-240.00;-2.11;239,447.00;2,670,389,260.00
2021-05-13;GRUPOARGOS;11,050.00;11,130.00;11,068.48;11,050.00;-110.00;-0.99;56,392.00;624,173,600.00
2021-05-14;GRUPOARGOS;11,280.00;11,360.00;11,260.44;11,200.00;230.00;2.08;89,233.00;1,004,803,250.00
2021-05-18;GRUPOARGOS;11,000.00;11,220.00;11,105.23;11,000.00;-280.00;-2.48;57,018.00;633,198,270.00
2021-05-19;GRUPOARGOS;10,700.00;10,900.00;10,776.78;10,660.00;-300.00;-2.73;52,754.00;568,518,160.00
2021-05-20;GRUPOARGOS;10,980.00;10,980.00;10,603.65;10,000.00;280.00;2.62;452,074.00;4,793,632,710.00
2021-05-21;GRUPOARGOS;10,780.00;11,010.00;10,847.06;10,720.00;-200.00;-1.82;337,560.00;3,661,534,240.00
2021-05-24;GRUPOARGOS;10,380.00;10,500.00;10,411.37;10,380.00;-400.00;-3.71;46,521.00;484,347,440.00
2021-05-25;GRUPOARGOS;9,915.00;10,380.00;10,071.42;9,900.00;-465.00;-4.48;188,749.00;1,900,971,170.00
2021-05-26;GRUPOARGOS;9,910.00;10,000.00;9,916.87;9,795.00;-5.00;-0.05;181,566.00;1,800,565,820.00
