Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-03-01;GRUPOAVAL;1,175.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-02;GRUPOAVAL;1,175.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-03;GRUPOAVAL;1,175.00;0.00;1,175.00;0.00;0.00;0.00;3,320.00;3,901,000.00
2021-03-04;GRUPOAVAL;1,175.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-05;GRUPOAVAL;1,175.00;0.00;1,165.72;0.00;0.00;0.00;4,013.00;4,678,053.00
2021-03-08;GRUPOAVAL;1,175.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-09;GRUPOAVAL;1,138.00;1,158.00;1,155.65;1,138.00;-37.00;-3.15;131,555.00;152,031,860.00
2021-03-10;GRUPOAVAL;1,160.00;1,165.00;1,148.26;1,137.00;22.00;1.93;135,210.00;155,256,059.00
2021-03-11;GRUPOAVAL;1,160.00;1,160.00;1,160.00;1,160.00;0.00;0.00;92,945.00;107,816,200.00
2021-03-12;GRUPOAVAL;1,165.00;1,165.00;1,165.00;1,165.00;5.00;0.43;13,022.00;15,170,635.00
2021-03-15;GRUPOAVAL;1,165.00;0.00;1,165.00;0.00;0.00;0.00;4,125.00;4,805,625.00
2021-03-16;GRUPOAVAL;1,165.00;0.00;1,170.00;0.00;0.00;0.00;486.00;568,620.00
2021-03-17;GRUPOAVAL;1,165.00;1,165.00;1,162.21;1,160.00;0.00;0.00;33,516.00;38,952,772.00
2021-03-18;GRUPOAVAL;1,127.00;1,127.00;1,127.17;1,127.00;-38.00;-3.26;22,041.00;24,843,981.00
2021-03-19;GRUPOAVAL;1,127.00;0.00;1,112.00;0.00;0.00;0.00;3,225.00;3,586,200.00
2021-03-23;GRUPOAVAL;1,127.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-24;GRUPOAVAL;1,146.00;1,148.00;1,128.70;1,127.00;19.00;1.69;569,444.00;642,734,273.00
2021-03-25;GRUPOAVAL;1,146.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-03-26;GRUPOAVAL;1,131.00;1,131.00;1,131.00;1,131.00;-15.00;-1.31;8,263.00;9,345,453.00
2021-03-29;GRUPOAVAL;1,158.00;1,158.00;1,151.13;1,132.00;27.00;2.39;63,983.00;73,653,044.00
2021-03-30;GRUPOAVAL;1,188.00;1,188.00;1,171.33;1,159.00;30.00;2.59;14,373.00;16,835,497.00
2021-03-31;GRUPOAVAL;1,188.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-05;GRUPOAVAL;1,188.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-06;GRUPOAVAL;1,160.00;1,160.00;1,150.63;1,133.00;-28.00;-2.36;51,552.00;59,317,338.00
2021-04-07;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-08;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-09;GRUPOAVAL;1,150.00;1,150.00;1,150.00;1,150.00;-10.00;-0.86;42,346.00;48,697,900.00
2021-04-12;GRUPOAVAL;1,133.00;1,133.00;1,133.00;1,133.00;-17.00;-1.48;17,690.00;20,042,770.00
2021-04-13;GRUPOAVAL;1,150.00;1,150.00;1,139.78;1,150.00;17.00;1.50;13,401.00;15,274,185.00
2021-04-14;GRUPOAVAL;1,150.00;0.00;1,150.76;0.00;0.00;0.00;16,294.00;18,750,532.00
2021-04-15;GRUPOAVAL;1,160.00;1,160.00;1,150.07;1,160.00;10.00;0.87;13,234.00;15,220,016.00
2021-04-16;GRUPOAVAL;1,172.00;1,172.00;1,172.00;1,172.00;12.00;1.03;8,008.00;9,385,376.00
2021-04-19;GRUPOAVAL;1,188.00;1,188.00;1,177.01;1,177.00;16.00;1.37;46,433.00;54,651,899.00
2021-04-20;GRUPOAVAL;1,182.00;1,182.00;1,182.00;1,182.00;-6.00;-0.51;8,888.00;10,505,616.00
2021-04-21;GRUPOAVAL;1,182.00;0.00;1,150.00;0.00;0.00;0.00;3,225.00;3,708,750.00
2021-04-22;GRUPOAVAL;1,182.00;0.00;1,128.00;0.00;0.00;0.00;3,044.00;3,433,632.00
2021-04-23;GRUPOAVAL;1,129.00;1,129.00;1,127.60;1,129.00;-53.00;-4.48;11,489.00;12,954,956.00
2021-04-26;GRUPOAVAL;1,129.00;1,129.00;1,130.32;1,129.00;0.00;0.00;15,876.00;17,945,004.00
2021-04-27;GRUPOAVAL;1,160.00;1,160.00;1,159.19;1,160.00;31.00;2.75;100,579.00;116,589,982.00
2021-04-28;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-04-29;GRUPOAVAL;1,160.00;0.00;1,118.00;0.00;0.00;0.00;1,013.00;1,132,534.00
2021-04-30;GRUPOAVAL;1,160.00;0.00;1,114.00;0.00;0.00;0.00;3,871.00;4,312,294.00
2021-05-03;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-04;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-05;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-06;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-07;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-10;GRUPOAVAL;1,160.00;0.00;1,095.51;0.00;0.00;0.00;8,070.00;8,840,748.00
2021-05-11;GRUPOAVAL;1,160.00;0.00;1,059.82;0.00;0.00;0.00;8,246.00;8,739,286.00
2021-05-12;GRUPOAVAL;1,160.00;0.00;1,110.49;0.00;0.00;0.00;21,381.00;23,743,477.00
2021-05-13;GRUPOAVAL;1,160.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-14;GRUPOAVAL;1,110.00;1,110.00;1,108.14;1,060.00;-50.00;-4.31;229,679.00;254,517,231.00
2021-05-18;GRUPOAVAL;1,110.00;0.00;1,093.19;0.00;0.00;0.00;8,422.00;9,206,876.00
2021-05-19;GRUPOAVAL;1,030.00;1,030.00;1,030.07;1,030.00;-80.00;-7.21;256,208.00;263,912,687.00
2021-05-20;GRUPOAVAL;1,030.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-05-21;GRUPOAVAL;1,035.00;1,035.00;1,035.09;1,035.00;5.00;0.49;41,105.00;42,547,225.00
2021-05-24;GRUPOAVAL;1,080.00;1,090.00;1,073.84;945.00;45.00;4.35;183,278.00;196,811,790.00
2021-05-25;GRUPOAVAL;1,080.00;0.00;1,038.00;0.00;0.00;0.00;3,305.00;3,430,590.00
2021-05-26;GRUPOAVAL;1,072.00;1,072.00;1,042.78;1,020.00;-8.00;-0.74;32,526.00;33,917,440.00
2021-05-27;GRUPOAVAL;1,022.00;1,022.00;1,001.07;966.00;-50.00;-4.66;28,628.00;28,658,616.00
2021-05-28;GRUPOAVAL;1,050.00;1,072.00;1,062.69;1,050.00;28.00;2.74;137,694.00;146,326,633.00
2021-05-31;GRUPOAVAL;1,040.00;1,040.00;1,044.46;1,040.00;-10.00;-0.95;10,998.00;11,487,020.00
2021-06-01;GRUPOAVAL;1,070.00;1,070.00;1,067.78;1,070.00;30.00;2.88;13,526.00;14,442,820.00
2021-06-02;GRUPOAVAL;1,079.00;1,079.00;1,076.13;1,072.00;9.00;0.84;72,875.00;78,423,125.00
2021-06-03;GRUPOAVAL;1,079.00;0.00;1,079.58;0.00;0.00;0.00;5,186.00;5,598,686.00
2021-06-04;GRUPOAVAL;1,061.00;1,061.00;1,044.01;1,030.00;-18.00;-1.67;29,905.00;31,221,255.00
2021-06-08;GRUPOAVAL;1,061.00;0.00;1,066.88;0.00;0.00;0.00;5,000.00;5,334,375.00
2021-06-09;GRUPOAVAL;1,050.00;1,050.00;1,076.95;1,050.00;-11.00;-1.04;37,910.00;40,827,118.00
2021-06-10;GRUPOAVAL;1,050.00;1,050.00;1,050.08;1,050.00;0.00;0.00;168,848.00;177,303,100.00
2021-06-11;GRUPOAVAL;1,050.00;0.00;1,050.00;0.00;0.00;0.00;5,557.00;5,834,850.00
2021-06-15;GRUPOAVAL;1,050.00;0.00;1,020.00;0.00;0.00;0.00;3,305.00;3,371,100.00
2021-06-16;GRUPOAVAL;1,061.00;1,061.00;1,061.13;1,061.00;11.00;1.05;27,480.00;29,159,725.00
2021-06-17;GRUPOAVAL;1,060.00;1,060.00;1,061.11;1,060.00;-1.00;-0.09;36,074.00;38,278,440.00
2021-06-18;GRUPOAVAL;1,050.00;1,050.00;1,050.00;1,050.00;-10.00;-0.94;24,802.00;26,042,100.00
2021-06-21;GRUPOAVAL;1,095.00;1,095.00;1,092.16;1,095.00;45.00;4.29;21,672.00;23,669,296.00
2021-06-22;GRUPOAVAL;1,095.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-23;GRUPOAVAL;1,095.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2021-06-24;GRUPOAVAL;1,100.00;1,100.00;1,093.16;1,090.00;5.00;0.46;24,151.00;26,400,820.00
2021-06-25;GRUPOAVAL;1,100.00;0.00;1,060.00;0.00;0.00;0.00;651.00;690,060.00
2021-06-28;GRUPOAVAL;1,100.00;0.00;1,060.00;0.00;0.00;0.00;1,013.00;1,073,780.00
2021-06-29;GRUPOAVAL;1,070.00;1,085.00;1,083.97;1,070.00;-30.00;-2.73;91,271.00;98,935,285.00
2021-06-30;GRUPOAVAL;1,139.00;1,139.00;1,139.00;1,139.00;69.00;6.45;7,000.00;7,973,000.00
2021-07-01;GRUPOAVAL;1,139.00;0.00;1,043.55;0.00;0.00;0.00;8,331.00;8,693,791.00
2021-07-02;GRUPOAVAL;1,030.00;1,030.00;1,030.00;1,030.00;-109.00;-9.57;16,528.00;17,023,840.00
