Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-03-11;GRUPOSURA;24,220.00;26,600.00;25,040.84;24,220.00;-2,540.00;-9.49;370,347.00;9,273,800,020.00
2020-03-12;GRUPOSURA;21,000.00;23,100.00;21,685.13;20,000.00;-3,220.00;-13.29;258,635.00;5,608,534,040.00
2020-03-13;GRUPOSURA;21,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-16;GRUPOSURA;17,600.00;20,500.00;17,561.31;17,000.00;-3,400.00;-16.19;329,073.00;5,778,952,880.00
2020-03-17;GRUPOSURA;17,540.00;18,740.00;17,947.42;17,600.00;-60.00;-0.34;674,519.00;12,060,470,700.00
2020-03-18;GRUPOSURA;15,400.00;17,060.00;15,900.70;15,400.00;-2,140.00;-12.20;339,101.00;5,391,943,820.00
2020-03-19;GRUPOSURA;15,000.00;16,300.00;15,343.56;14,900.00;-400.00;-2.60;370,829.00;5,689,837,320.00
2020-03-20;GRUPOSURA;16,220.00;16,360.00;16,188.83;15,540.00;1,220.00;8.13;645,127.00;10,443,851,040.00
2020-03-24;GRUPOSURA;16,000.00;16,700.00;16,074.74;15,900.00;-220.00;-1.36;432,155.00;6,946,778,120.00
2020-03-25;GRUPOSURA;20,000.00;20,000.00;18,195.66;16,000.00;4,000.00;25.00;173,950.00;3,165,134,620.00
2020-03-26;GRUPOSURA;22,920.00;24,000.00;22,594.73;20,120.00;2,920.00;14.60;370,879.00;8,379,910,500.00
2020-03-27;GRUPOSURA;22,000.00;22,920.00;21,589.08;19,500.00;-920.00;-4.01;348,303.00;7,519,539,720.00
2020-03-30;GRUPOSURA;21,400.00;22,000.00;21,530.97;21,000.00;-600.00;-2.73;89,652.00;1,930,294,860.00
2020-03-31;GRUPOSURA;20,020.00;22,380.00;21,106.12;20,020.00;-1,380.00;-6.45;212,727.00;4,489,840,680.00
2020-04-01;GRUPOSURA;18,500.00;20,000.00;19,040.47;18,500.00;-1,520.00;-7.59;265,014.00;5,045,991,120.00
2020-04-02;GRUPOSURA;19,600.00;19,600.00;19,160.99;18,500.00;1,100.00;5.95;222,581.00;4,264,871,360.00
