Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2024-03-18;GXTESCOL;50,000.00;;;;;;;
2024-03-19;GXTESCOL;50,000.00;;;;;;;
2024-03-20;GXTESCOL;50,450.00;50,450.00;50,560.47;50,450.00;450.00;0.90;1,505.00;76,093,500.00
2024-03-21;GXTESCOL;50,670.00;50,670.00;50,657.84;50,650.00;220.00;0.44;4,088.00;207,089,240.00
2024-03-22;GXTESCOL;50,900.00;50,900.00;50,820.31;50,800.00;230.00;0.45;12,328.00;626,512,800.00
2024-03-26;GXTESCOL;50,900.00;;50,823.15;;;;1,131.00;57,480,987.00
2024-03-27;GXTESCOL;50,750.00;50,750.00;50,759.33;50,750.00;-150.00;-0.29;1,305.00;66,240,928.00
2024-04-01;GXTESCOL;50,500.00;50,500.00;50,560.39;50,500.00;-250.00;-0.49;742.00;37,515,807.00
2024-04-02;GXTESCOL;50,500.00;;50,369.12;;;;217.00;10,930,100.00
2024-04-03;GXTESCOL;50,190.00;50,190.00;50,178.76;50,190.00;-310.00;-0.61;234.00;11,741,830.00
2024-04-04;GXTESCOL;50,580.00;50,580.00;50,504.98;50,580.00;390.00;0.78;640.00;32,323,185.00
2024-04-05;GXTESCOL;50,580.00;;50,509.70;;;;33.00;1,666,820.00
2024-04-08;GXTESCOL;50,330.00;50,330.00;50,327.39;50,330.00;-250.00;-0.49;283.00;14,242,650.00
2024-04-09;GXTESCOL;50,021.00;50,021.00;50,004.30;50,021.00;-309.00;-0.61;737.00;36,853,168.00
2024-04-10;GXTESCOL;49,350.00;49,720.00;49,458.17;49,350.00;-671.00;-1.34;3,300.00;163,211,950.00
2024-04-11;GXTESCOL;48,450.00;49,000.00;48,581.13;48,450.00;-900.00;-1.82;2,365.00;114,894,370.00
2024-04-12;GXTESCOL;48,450.00;;49,109.91;;;;228.00;11,197,060.00
2024-04-15;GXTESCOL;48,450.00;;48,680.05;;;;205.00;9,979,410.00
2024-04-16;GXTESCOL;48,450.00;;48,119.31;;;;216.00;10,393,771.00
2024-04-17;GXTESCOL;48,700.00;48,700.00;48,682.23;48,700.00;250.00;0.52;422.00;20,543,900.00
2024-04-18;GXTESCOL;48,900.00;48,900.00;48,821.35;48,600.00;200.00;0.41;829.00;40,472,900.00
2024-04-19;GXTESCOL;49,250.00;49,250.00;49,273.17;49,250.00;350.00;0.72;612.00;30,155,180.00
2024-04-22;GXTESCOL;49,700.00;49,700.00;49,699.90;49,700.00;450.00;0.91;1,001.00;49,749,600.00
2024-04-23;GXTESCOL;49,790.00;49,790.00;49,793.89;49,790.00;90.00;0.18;1,063.00;52,930,900.00
2024-04-24;GXTESCOL;49,400.00;49,400.00;49,408.25;49,394.00;-390.00;-0.78;492.00;24,308,860.00
2024-04-25;GXTESCOL;49,240.00;49,250.00;49,237.17;49,220.00;-160.00;-0.32;1,250.00;61,546,460.00
2024-04-26;GXTESCOL;49,240.00;;49,352.23;;;;103.00;5,083,280.00
2024-04-29;GXTESCOL;49,620.00;49,620.00;49,591.93;49,620.00;380.00;0.77;1,202.00;59,609,504.00
2024-04-30;GXTESCOL;49,620.00;;49,720.11;;;;175.00;8,701,020.00
2024-05-02;GXTESCOL;49,620.00;;49,677.14;;;;7.00;347,740.00
2024-05-03;GXTESCOL;49,700.00;49,800.00;49,753.64;49,700.00;80.00;0.16;1,663.00;82,740,298.00
2024-05-06;GXTESCOL;49,850.00;49,850.00;49,842.77;49,850.00;150.00;0.30;250.00;12,460,692.00
2024-05-07;GXTESCOL;49,850.00;;49,860.00;;;;101.00;5,035,860.00
2024-05-08;GXTESCOL;50,160.00;50,160.00;50,153.52;50,160.00;310.00;0.62;395.00;19,810,641.00
2024-05-09;GXTESCOL;50,160.00;;49,898.15;;;;54.00;2,694,500.00
2024-05-10;GXTESCOL;50,160.00;;49,400.00;;;;56.00;2,766,400.00
2024-05-14;GXTESCOL;50,000.00;50,000.00;49,992.82;50,000.00;-160.00;-0.32;3,075.00;153,727,920.00
2024-05-15;GXTESCOL;50,000.00;;;;;;;
2024-05-16;GXTESCOL;50,000.00;;49,950.00;;;;120.00;5,994,000.00
2024-05-17;GXTESCOL;50,000.00;;50,000.00;;;;3.00;150,000.00
2024-05-20;GXTESCOL;50,050.00;50,050.00;50,047.84;50,050.00;50.00;0.10;510.00;25,524,400.00
2024-05-21;GXTESCOL;50,050.00;;49,913.89;;;;36.00;1,796,900.00
2024-05-22;GXTESCOL;50,050.00;;49,907.00;;;;50.00;2,495,350.00
2024-05-23;GXTESCOL;50,050.00;;;;;;;
2024-05-24;GXTESCOL;50,050.00;;49,321.93;;;;57.00;2,811,350.00
2024-05-27;GXTESCOL;50,050.00;;49,642.86;;;;70.00;3,475,000.00
2024-05-28;GXTESCOL;50,050.00;;49,046.00;;;;50.00;2,452,300.00
2024-05-29;GXTESCOL;50,050.00;;49,133.85;;;;13.00;638,740.00
2024-05-30;GXTESCOL;50,050.00;;49,070.00;;;;9.00;441,630.00
2024-05-31;GXTESCOL;49,110.00;49,110.00;49,113.59;49,110.00;-940.00;-1.88;6,566.00;322,479,818.00
2024-06-04;GXTESCOL;49,110.00;;49,355.81;;;;31.00;1,530,030.00
2024-06-05;GXTESCOL;49,110.00;;49,266.47;;;;43.00;2,118,458.00
2024-06-06;GXTESCOL;49,110.00;;49,756.67;;;;3.00;149,270.00
2024-06-07;GXTESCOL;49,110.00;;49,381.47;;;;68.00;3,357,940.00
2024-06-11;GXTESCOL;50,000.00;50,000.00;49,981.25;50,000.00;890.00;1.81;224.00;11,195,800.00
2024-06-12;GXTESCOL;49,750.00;49,750.00;49,858.50;49,750.00;-250.00;-0.50;247.00;12,315,050.00
2024-06-13;GXTESCOL;49,750.00;;49,337.78;;;;54.00;2,664,240.00
2024-06-14;GXTESCOL;49,750.00;;49,236.09;;;;64.00;3,151,110.00
2024-06-17;GXTESCOL;49,750.00;;49,350.00;;;;37.00;1,825,950.00
2024-06-18;GXTESCOL;49,520.00;49,520.00;49,520.00;49,520.00;-230.00;-0.46;444.00;21,986,880.00
2024-06-19;GXTESCOL;49,520.00;;49,531.69;;;;65.00;3,219,560.00
2024-06-20;GXTESCOL;49,520.00;;49,500.00;;;;27.00;1,336,500.00
2024-06-21;GXTESCOL;49,520.00;;49,466.67;;;;6.00;296,800.00
2024-06-24;GXTESCOL;49,520.00;;49,554.08;;;;103.00;5,104,070.00
2024-06-25;GXTESCOL;49,520.00;;49,770.00;;;;67.00;3,334,590.00
2024-06-26;GXTESCOL;49,520.00;;49,604.00;;;;50.00;2,480,200.00
2024-06-27;GXTESCOL;49,520.00;;49,520.00;;;;2.00;99,040.00
2024-06-28;GXTESCOL;49,520.00;;49,930.45;;;;67.00;3,345,340.00
2024-07-02;GXTESCOL;49,520.00;;49,450.00;;;;10.00;494,500.00
2024-07-03;GXTESCOL;49,520.00;;49,912.90;;;;62.00;3,094,600.00
2024-07-04;GXTESCOL;49,520.00;;49,716.60;;;;47.00;2,336,680.00
2024-07-05;GXTESCOL;49,520.00;;49,981.90;;;;58.00;2,898,950.00
2024-07-08;GXTESCOL;50,150.00;50,150.00;50,151.79;50,150.00;630.00;1.27;1,006.00;50,452,700.00
2024-07-09;GXTESCOL;50,150.00;;50,000.00;;;;29.00;1,450,000.00
2024-07-10;GXTESCOL;50,150.00;;50,138.50;;;;40.00;2,005,540.00
