Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2022-03-01;HCOLSEL;14,533.00;14,540.00;14,536.78;14,533.00;315.50;2.22;7,482.00;108,764,199.50
2022-03-02;HCOLSEL;14,533.00;0.00;14,470.84;0.00;0.00;0.00;170.00;2,460,043.50
2022-03-03;HCOLSEL;14,528.00;14,528.00;14,528.33;14,528.00;-5.00;-0.03;7,920.00;115,064,371.00
2022-03-04;HCOLSEL;14,560.00;14,560.00;14,559.96;14,560.00;32.00;0.22;12,210.00;177,777,100.00
2022-03-07;HCOLSEL;14,560.00;0.00;14,591.75;0.00;0.00;0.00;2.00;29,183.50
2022-03-08;HCOLSEL;14,560.00;0.00;14,583.48;0.00;0.00;0.00;31.00;452,088.00
2022-03-09;HCOLSEL;14,560.00;14,560.00;14,561.90;14,560.00;0.00;0.00;12,512.00;182,198,446.00
2022-03-10;HCOLSEL;14,560.00;0.00;14,616.37;0.00;0.00;0.00;263.00;3,844,104.00
2022-03-11;HCOLSEL;14,573.00;14,573.00;14,570.37;14,570.00;13.00;0.09;127,281.00;1,854,531,417.00
2022-03-14;HCOLSEL;14,573.00;;14,524.32;;;;61.00;885,983.50
2022-03-15;HCOLSEL;14,573.00;;14,387.48;;0.00;0.00;422.00;6,071,518.50
2022-03-16;HCOLSEL;14,573.00;;14,502.19;;;;310.00;4,495,677.50
2022-03-17;HCOLSEL;14,744.00;14,744.00;14,743.70;14,744.00;171.00;1.17;10,009.00;147,569,731.00
2022-03-18;HCOLSEL;15,000.00;15,000.00;14,953.97;14,900.00;256.00;1.74;10,058.00;150,407,056.00
2022-03-22;HCOLSEL;15,000.00;;15,035.85;;;;10.00;150,358.50
2022-03-23;HCOLSEL;14,994.50;15,013.00;14,996.99;14,994.50;-5.50;-0.04;40,707.00;610,482,547.00
2022-03-24;HCOLSEL;15,080.00;15,200.00;15,113.88;15,080.00;85.50;0.57;28,394.00;429,143,532.00
2022-03-25;HCOLSEL;15,080.00;;15,127.68;;;;57.00;862,278.00
2022-03-28;HCOLSEL;15,080.00;;15,241.67;;;;21.00;320,075.00
2022-03-29;HCOLSEL;15,072.00;15,102.00;15,052.32;15,010.00;-8.00;-0.05;509,889.00;7,675,011,105.50
2022-03-30;HCOLSEL;15,073.00;15,217.50;15,145.76;15,073.00;1.00;0.01;265,532.00;4,021,685,146.50
2022-03-31;HCOLSEL;15,430.00;15,470.00;15,375.82;15,365.00;357.00;2.37;432,024.00;6,642,722,764.00
2022-04-01;HCOLSEL;15,505.00;16,541.50;15,648.68;15,505.00;75.00;0.49;500,319.00;7,829,332,379.00
2022-04-04;HCOLSEL;15,552.00;15,639.50;15,592.87;15,540.00;47.00;0.30;102,606.00;1,599,922,135.00
2022-04-05;HCOLSEL;15,680.50;15,700.00;15,665.87;15,651.50;128.50;0.83;375,140.00;5,876,894,944.50
2022-04-06;HCOLSEL;15,700.00;15,741.50;15,720.89;15,700.00;19.50;0.12;40,332.00;634,055,032.50
2022-04-07;HCOLSEL;15,700.00;;15,608.17;;;;759.00;11,846,597.50
2022-04-08;HCOLSEL;15,727.00;15,727.00;15,726.18;15,720.00;27.00;0.17;170,064.00;2,674,457,481.00
2022-04-11;HCOLSEL;15,621.50;15,621.50;15,619.42;15,617.00;-105.50;-0.67;40,087.00;626,135,868.00
2022-04-12;HCOLSEL;15,650.00;15,688.00;15,666.04;15,650.00;28.50;0.18;100,276.00;1,570,927,788.00
2022-04-13;HCOLSEL;15,650.00;;15,733.63;;;;181.00;2,847,787.00
2022-04-18;HCOLSEL;15,774.00;15,787.00;15,774.14;15,762.50;124.00;0.79;155,576.00;2,454,078,106.50
2022-04-19;HCOLSEL;15,630.00;15,736.00;15,657.69;15,600.00;-144.00;-0.91;71,010.00;1,111,852,741.50
2022-04-20;HCOLSEL;15,730.00;15,730.00;15,686.29;15,681.00;100.00;0.64;185,827.00;2,914,936,204.50
2022-04-21;HCOLSEL;15,754.00;15,754.00;15,753.43;15,754.00;24.00;0.15;20,235.00;318,770,756.00
2022-04-22;HCOLSEL;15,644.50;15,644.50;15,644.00;15,640.00;-109.50;-0.70;22,917.00;358,513,529.00
2022-04-25;HCOLSEL;15,471.00;15,471.00;15,451.59;15,450.00;-173.50;-1.11;21,621.00;334,078,789.00
2022-04-26;HCOLSEL;15,400.00;15,420.00;15,405.43;15,400.00;-71.00;-0.46;580,126.00;8,937,088,886.00
2022-04-27;HCOLSEL;15,430.00;15,430.00;15,429.99;15,430.00;30.00;0.19;300,059.00;4,629,908,040.00
2022-04-28;HCOLSEL;15,445.00;15,452.00;15,447.03;15,418.50;15.00;0.10;316,453.00;4,888,258,938.00
2022-04-29;HCOLSEL;15,445.00;;15,510.12;;;;1,244.00;19,294,589.50
2022-05-02;HCOLSEL;15,445.00;;15,142.95;;;;356.00;5,390,891.50
2022-05-03;HCOLSEL;15,357.00;15,357.00;15,251.17;15,237.50;-88.00;-0.57;12,688.00;193,506,813.00
2022-05-04;HCOLSEL;15,355.00;15,377.00;15,348.79;15,332.50;-2.00;-0.01;47,297.00;725,951,858.00
2022-05-05;HCOLSEL;15,355.00;;15,446.80;;;;248.00;3,830,807.50
2022-05-06;HCOLSEL;15,355.00;;15,335.20;;;;28.00;429,385.50
2022-05-09;HCOLSEL;14,690.00;14,690.00;14,695.49;14,690.00;-665.00;-4.33;10,139.00;148,997,544.50
2022-05-10;HCOLSEL;14,465.00;14,465.00;14,465.29;14,465.00;-225.00;-1.53;10,030.00;145,086,816.00
2022-05-11;HCOLSEL;14,465.00;;14,692.36;;;;130.00;1,910,006.50
2022-05-12;HCOLSEL;14,581.50;14,593.00;14,587.28;14,581.50;116.50;0.81;8,724.00;127,259,444.00
2022-05-13;HCOLSEL;14,660.00;14,660.00;14,660.17;14,660.00;78.50;0.54;20,108.00;294,786,613.00
2022-05-16;HCOLSEL;14,582.00;14,582.00;14,582.22;14,582.00;-78.00;-0.53;15,075.00;219,826,947.50
2022-05-17;HCOLSEL;14,453.00;14,453.00;14,373.06;14,340.00;-129.00;-0.88;65,660.00;943,735,258.50
2022-05-18;HCOLSEL;14,150.00;14,150.00;14,151.28;14,150.00;-303.00;-2.10;10,107.00;143,026,951.00
2022-05-19;HCOLSEL;13,726.00;13,833.50;13,781.09;13,710.00;-424.00;-3.00;90,205.00;1,243,123,580.00
2022-05-20;HCOLSEL;13,990.00;13,994.00;13,972.23;13,960.00;264.00;1.92;34,020.00;475,335,127.50
2022-05-23;HCOLSEL;14,275.50;14,275.50;14,275.54;14,275.50;285.50;2.04;19,249.00;274,789,845.50
2022-05-24;HCOLSEL;14,275.50;;14,302.28;;;;152.00;2,173,946.00
2022-05-25;HCOLSEL;14,323.00;14,323.00;14,321.41;14,319.00;47.50;0.33;40,202.00;575,749,408.50
2022-05-26;HCOLSEL;14,460.00;14,523.50;14,495.29;14,460.00;137.00;0.96;140,041.00;2,029,934,270.00
2022-05-27;HCOLSEL;14,511.50;14,511.50;14,511.49;14,511.50;51.50;0.36;20,087.00;291,492,361.00
2022-05-31;HCOLSEL;15,195.00;15,195.00;15,197.56;15,195.00;683.50;4.71;10,238.00;155,592,603.00
2022-06-01;HCOLSEL;15,280.00;15,280.00;15,220.78;15,193.50;85.00;0.56;37,891.00;576,730,625.00
2022-06-02;HCOLSEL;15,440.00;15,440.00;15,410.18;15,400.00;160.00;1.05;505,678.00;7,792,588,052.50
2022-06-03;HCOLSEL;15,511.50;15,540.00;15,538.58;15,511.50;71.50;0.46;620,238.00;9,637,617,684.50
2022-06-06;HCOLSEL;15,511.50;;15,627.70;;;;352.00;5,500,951.50
2022-06-07;HCOLSEL;15,230.00;15,550.00;15,292.11;15,230.00;-281.50;-1.81;39,163.00;598,884,991.50
2022-06-08;HCOLSEL;15,230.00;;15,016.98;;;;99.00;1,486,681.50
2022-06-09;HCOLSEL;14,545.00;14,545.00;14,517.70;14,475.00;-685.00;-4.50;80,104.00;1,162,926,094.50
2022-06-10;HCOLSEL;14,500.00;14,500.00;14,426.20;14,307.50;-45.00;-0.31;49,916.00;720,098,408.00
2022-06-13;HCOLSEL;14,235.00;14,352.00;14,297.13;14,235.00;-265.00;-1.83;3,665.00;52,398,969.00
2022-06-14;HCOLSEL;14,151.50;14,160.00;14,156.53;14,151.50;-83.50;-0.59;20,247.00;286,627,270.00
2022-06-15;HCOLSEL;14,319.50;14,360.00;14,338.90;14,319.50;168.00;1.19;27,726.00;397,560,324.50
2022-06-16;HCOLSEL;14,084.50;14,084.50;14,065.46;14,036.00;-235.00;-1.64;17,545.00;246,778,496.00
2022-06-17;HCOLSEL;14,120.00;14,120.00;14,120.53;14,120.00;35.50;0.25;10,062.00;142,080,737.00
2022-06-21;HCOLSEL;14,120.00;;13,487.62;;;;102.00;1,375,737.00
2022-06-22;HCOLSEL;14,120.00;;13,689.40;;;;25.00;342,235.00
2022-06-23;HCOLSEL;13,160.50;13,160.50;13,165.34;13,160.50;-959.50;-6.80;2,123.00;27,950,025.00
2022-06-24;HCOLSEL;13,352.00;13,430.00;13,407.39;13,352.00;191.50;1.46;23,376.00;313,411,259.00
2022-06-28;HCOLSEL;13,680.00;14,000.00;13,727.46;13,608.00;328.00;2.46;41,393.00;568,220,873.00
2022-06-29;HCOLSEL;13,577.00;13,960.00;13,811.32;13,500.00;-103.00;-0.75;38,317.00;529,208,409.50
2022-06-30;HCOLSEL;13,333.50;13,580.00;13,488.11;13,333.50;-243.50;-1.79;23,862.00;321,853,258.00
2022-07-01;HCOLSEL;13,333.50;;13,363.81;;;;814.00;10,878,137.50
2022-07-05;HCOLSEL;13,333.50;;13,351.28;;;;319.00;4,259,057.00
2022-07-06;HCOLSEL;13,285.00;13,285.00;13,268.66;13,240.00;-48.50;-0.36;1,894.00;25,130,838.50
2022-07-07;HCOLSEL;13,285.00;;13,516.83;;;;93.00;1,257,065.50
2022-07-08;HCOLSEL;13,285.00;;13,415.98;;;;397.00;5,326,143.00
2022-07-11;HCOLSEL;13,415.00;13,415.00;13,365.68;13,350.00;130.00;0.98;80,434.00;1,075,055,065.00
2022-07-12;HCOLSEL;13,410.00;13,410.00;13,410.83;13,410.00;-5.00;-0.04;10,165.00;136,321,066.00
2022-07-13;HCOLSEL;13,410.00;;13,334.70;;;;82.00;1,093,445.00
2022-07-14;HCOLSEL;12,817.50;12,840.00;12,792.45;12,720.00;-592.50;-4.42;30,333.00;388,033,535.50
2022-07-15;HCOLSEL;12,670.00;12,735.50;12,707.31;12,670.00;-147.50;-1.15;42,996.00;546,363,330.50
2022-07-18;HCOLSEL;12,670.00;;12,875.93;;;;218.00;2,806,953.00
2022-07-19;HCOLSEL;12,952.00;12,952.00;12,952.29;12,952.00;282.00;2.23;31,946.00;413,773,894.00
2022-07-21;HCOLSEL;12,830.00;12,920.00;12,890.23;12,830.00;-122.00;-0.94;30,116.00;388,202,264.00
2022-07-22;HCOLSEL;12,811.50;12,886.50;12,857.11;12,811.50;-18.50;-0.14;60,226.00;774,332,241.00
2022-07-25;HCOLSEL;12,506.50;12,506.50;12,457.34;12,380.00;-305.00;-2.38;37,549.00;467,760,670.00
2022-07-26;HCOLSEL;12,630.00;12,804.00;12,737.60;12,630.00;123.50;0.99;36,596.00;466,145,148.50
2022-07-27;HCOLSEL;12,699.00;12,699.00;12,700.31;12,699.00;69.00;0.55;20,219.00;256,787,557.00
2022-07-28;HCOLSEL;12,699.00;;12,877.00;;;;2.00;25,754.00
2022-07-29;HCOLSEL;12,699.00;;12,893.69;;;;127.00;1,637,499.00
2022-08-01;HCOLSEL;12,699.00;;12,520.51;;;;84.00;1,051,722.50
2022-08-02;HCOLSEL;12,699.00;;12,485.15;;;;33.00;412,010.00
2022-08-03;HCOLSEL;12,377.00;12,377.00;12,382.40;12,377.00;-322.00;-2.54;3,797.00;47,015,955.00
2022-08-04;HCOLSEL;12,377.00;;12,306.92;;;;571.00;7,027,254.00
2022-08-05;HCOLSEL;12,377.00;;12,447.21;;;;91.00;1,132,696.50
2022-08-08;HCOLSEL;12,680.00;12,900.00;12,789.45;12,680.00;303.00;2.45;40,610.00;519,379,684.00
2022-08-09;HCOLSEL;12,859.00;12,866.00;12,842.24;12,800.00;179.00;1.41;330,047.00;4,238,542,278.00
2022-08-10;HCOLSEL;12,859.00;;12,781.75;;;;356.00;4,550,304.00
2022-08-11;HCOLSEL;12,660.00;12,660.00;12,660.09;12,660.00;-199.00;-1.55;60,073.00;760,529,369.50
2022-08-12;HCOLSEL;12,660.00;;12,699.10;;;;168.00;2,133,448.00
2022-08-16;HCOLSEL;12,681.00;12,792.00;12,736.53;12,681.00;21.00;0.17;480,272.00;6,117,000,313.50
2022-08-17;HCOLSEL;12,606.00;12,618.00;12,612.01;12,606.00;-75.00;-0.59;700,112.00;8,829,819,569.50
2022-08-18;HCOLSEL;12,606.00;;12,722.31;;;;24.00;305,335.50
2022-08-19;HCOLSEL;12,608.50;12,608.50;12,604.49;12,600.00;2.50;0.02;10,004.00;126,095,269.50
2022-08-22;HCOLSEL;12,460.00;12,460.00;12,461.02;12,460.00;-148.50;-1.18;10,207.00;127,189,627.00
2022-08-23;HCOLSEL;12,402.50;12,555.00;12,433.11;12,402.50;-57.50;-0.46;84,402.00;1,049,379,020.00
2022-08-24;HCOLSEL;12,402.50;;12,402.00;;;;20.00;248,040.00
2022-08-25;HCOLSEL;12,420.00;12,432.00;12,430.00;12,420.00;17.50;0.14;480,057.00;5,967,106,502.00
2022-08-26;HCOLSEL;12,420.00;;12,417.50;;;;16.00;198,680.00
2022-08-29;HCOLSEL;12,330.00;12,330.00;12,329.60;12,241.50;-90.00;-0.72;201,482.00;2,484,191,594.00
2022-08-30;HCOLSEL;12,330.00;;12,198.97;;;;113.00;1,378,484.00
2022-08-31;HCOLSEL;11,960.00;11,960.00;11,960.01;11,960.00;-370.00;-3.00;400,028.00;4,784,338,251.00
2022-09-01;HCOLSEL;11,960.00;;11,768.55;;;;55.00;647,270.50
