,MSCI_COLCAP_Valor hoy
BCOLOMBIA_Precio cierre,0.7795791635791529
BHI_Precio cierre,0.8114718469562742
BOGOTA_Precio cierre,0.05623967475298076
BVC_Precio cierre,0.3647660793228768
CELSIA_Precio cierre,0.48221905581263697
CEMARGOS_Precio cierre,0.7231160574068346
CNEC_Precio cierre,-0.4301577138447997
CONCONCRETO_Precio cierre,0.46237079850208823
CORFICOL_Precio cierre,0.19822965779237134
ECOPETROL_Precio cierre,0.25542948328426945
ENKA_Precio cierre,0.2431405754894623
ETB_Precio cierre,-0.11385410147981596
EXITO_Precio cierre,0.04104011433582295
FABRICATO_Precio cierre,0.25653971245796303
GEB_Precio cierre,0.661279452204748
GRUBOLIVAR_Precio cierre,0.6224626582542665
GRUPOARGOS_Precio cierre,0.7725726235708041
GRUPOAVAL_Precio cierre,0.00665492390690759
GRUPOSURA_Precio cierre,0.364847527404927
GXTESCOL_Precio cierre,0.0794289813263069
HCOLSEL_Precio cierre,0.9270431753218463
ICOLCAP_Precio cierre,0.9941080584544022
ISA_Precio cierre,0.5218477842497572
MINEROS_Precio cierre,0.6226611461643555
NUTRESA_Precio cierre,0.4924222098724041
PEI_Precio cierre,0.6422706796930293
PFAVAL_Precio cierre,0.27290739714287726
PFBCOLOMBIA_Precio cierre,0.9235255101050744
PFCEMARGOS_Precio cierre,0.6280471528672177
PFCORFICOL_Precio cierre,0.25997470237971354
PFDAVVNDA_Precio cierre,0.2343397322350698
PFGRUPARG_Precio cierre,0.7206286155922204
PFGRUPOSURA_Precio cierre,0.8361388321044332
PROMIGAS_Precio cierre,0.4991485071423302
TERPEL_Precio cierre,0.8028020804591882
