Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-10-08;ICOLCAP;14,240.00;14,240.00;14,210.12;14,191.50;63.00;0.44;31,779.00;451,583,322.00
2021-10-11;ICOLCAP;14,273.00;14,384.50;14,288.80;14,273.00;33.00;0.23;285,018.00;4,072,563,947.50
2021-10-12;ICOLCAP;14,120.00;14,140.00;14,101.90;14,060.00;-153.00;-1.07;412,092.00;5,811,280,952.00
2021-10-13;ICOLCAP;14,092.00;14,114.00;14,087.52;14,047.00;-28.00;-0.20;58,313.00;821,485,423.00
2021-10-14;ICOLCAP;14,334.00;14,334.00;14,278.52;14,214.00;242.00;1.72;1,350,448.00;19,282,395,827.50
2021-10-15;ICOLCAP;14,489.50;14,489.50;14,472.57;14,430.00;155.50;1.08;62,223.00;900,526,507.00
2021-10-19;ICOLCAP;14,333.00;14,403.00;14,368.22;14,333.00;-156.50;-1.08;702,746.00;10,097,211,268.00
2021-10-20;ICOLCAP;14,330.00;14,382.00;14,330.90;14,200.00;-3.00;-0.02;524,529.00;7,516,973,372.00
2021-10-21;ICOLCAP;14,280.00;14,317.50;14,281.18;14,235.00;-50.00;-0.35;227,252.00;3,245,427,008.00
2021-10-22;ICOLCAP;14,258.00;14,300.00;14,297.73;14,258.00;-22.00;-0.15;12,885.00;184,226,311.00
2021-10-25;ICOLCAP;14,255.00;14,260.00;14,254.87;14,254.00;-3.00;-0.02;72,571.00;1,034,490,347.00
2021-10-26;ICOLCAP;14,360.00;14,360.00;14,356.58;14,330.00;105.00;0.74;346,179.00;4,969,946,031.00
2021-10-27;ICOLCAP;14,362.00;14,794.00;14,481.01;14,354.00;2.00;0.01;1,730.00;25,052,155.00
2021-10-28;ICOLCAP;14,314.00;14,314.00;14,301.79;14,291.00;-48.00;-0.33;830,060.00;11,871,342,913.00
2021-10-29;ICOLCAP;14,201.00;14,274.50;14,175.46;14,115.00;-113.00;-0.79;467,753.00;6,630,614,410.00
