Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-03-18;ISA;19,380.00;19,500.00;19,377.93;19,260.00;-120.00;-0.62;93,547.00;1,812,747,680.00
2025-03-19;ISA;18,900.00;19,380.00;19,092.34;18,900.00;-480.00;-2.48;115,536.00;2,205,852,180.00
2025-03-20;ISA;18,900.00;19,140.00;18,952.70;18,720.00;0.00;0.00;77,653.00;1,471,733,900.00
2025-03-21;ISA;18,400.00;18,960.00;18,498.83;18,400.00;-500.00;-2.65;1,776,318.00;32,859,801,960.00
2025-03-25;ISA;19,280.00;19,280.00;19,018.72;18,520.00;880.00;4.78;636,502.00;12,105,451,480.00
2025-03-26;ISA;19,000.00;19,340.00;19,124.38;19,000.00;-280.00;-1.45;175,828.00;3,362,601,160.00
2025-03-27;ISA;19,140.00;19,200.00;19,120.44;19,000.00;140.00;0.74;123,723.00;2,365,638,620.00
2025-03-28;ISA;19,380.00;19,380.00;19,279.93;18,920.00;240.00;1.25;909,629.00;17,537,581,480.00
2025-03-31;ISA;19,100.00;19,200.00;19,100.20;19,020.00;-280.00;-1.44;535,216.00;10,222,730,980.00
2025-04-01;ISA;20,000.00;20,000.00;19,793.57;19,200.00;900.00;4.71;383,177.00;7,584,441,960.00
2025-04-02;ISA;20,220.00;20,220.00;20,018.56;19,860.00;220.00;1.10;984,771.00;19,713,699,160.00
2025-04-03;ISA;20,500.00;20,500.00;20,252.77;20,000.00;280.00;1.38;263,654.00;5,339,724,540.00
2025-04-04;ISA;19,900.00;19,960.00;19,763.72;19,580.00;-600.00;-2.93;365,574.00;7,225,100,540.00
2025-04-07;ISA;19,900.00;20,200.00;19,838.82;19,500.00;0.00;0.00;358,509.00;7,112,395,980.00
2025-04-08;ISA;18,900.00;20,280.00;19,706.31;18,900.00;-1,000.00;-5.03;514,458.00;10,138,070,220.00
2025-04-09;ISA;19,380.00;19,560.00;19,142.19;18,820.00;480.00;2.54;180,966.00;3,464,086,380.00
2025-04-10;ISA;19,620.00;19,780.00;19,381.02;18,600.00;240.00;1.24;731,796.00;14,182,955,280.00
2025-04-11;ISA;19,200.00;19,620.00;19,275.59;19,200.00;-420.00;-2.14;119,267.00;2,298,941,400.00
2025-04-14;ISA;19,200.00;19,460.00;19,213.80;19,000.00;0.00;0.00;75,871.00;1,457,770,540.00
