Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-03-12;MINEROS;2,950.00;3,060.00;2,968.63;2,900.00;-195.00;-6.20;100,958.00;299,706,510.00
2020-03-13;MINEROS;2,950.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-16;MINEROS;2,800.00;2,850.00;2,802.36;2,795.00;-150.00;-5.08;61,539.00;172,454,275.00
2020-03-17;MINEROS;2,660.00;2,685.00;2,660.92;2,650.00;-140.00;-5.00;149,311.00;397,304,115.00
2020-03-18;MINEROS;2,410.00;2,500.00;2,440.65;2,400.00;-250.00;-9.40;113,077.00;275,981,810.00
2020-03-19;MINEROS;2,300.00;2,310.00;2,239.86;2,170.00;-110.00;-4.56;289,471.00;648,375,315.00
2020-03-20;MINEROS;2,300.00;2,330.00;2,313.64;2,300.00;0.00;0.00;41,335.00;95,634,270.00
2020-03-24;MINEROS;2,420.00;2,475.00;2,430.47;2,335.00;120.00;5.22;175,735.00;427,119,500.00
2020-03-25;MINEROS;2,870.00;2,920.00;2,653.93;2,405.00;450.00;18.60;358,668.00;951,878,100.00
2020-03-26;MINEROS;2,765.00;2,855.00;2,804.59;2,765.00;-105.00;-3.66;234,609.00;657,982,110.00
2020-03-27;MINEROS;2,700.00;2,800.00;2,618.27;2,560.00;-65.00;-2.35;175,525.00;459,572,435.00
2020-03-30;MINEROS;2,780.00;2,790.00;2,686.90;2,675.00;80.00;2.96;78,660.00;211,351,200.00
2020-03-31;MINEROS;2,700.00;2,755.00;2,701.57;2,680.00;-80.00;-2.88;271,576.00;733,682,205.00
2020-04-01;MINEROS;2,645.00;2,685.00;2,633.19;2,585.00;-55.00;-2.04;118,503.00;312,040,830.00
2020-04-02;MINEROS;2,620.00;2,690.00;2,624.76;2,605.00;-25.00;-0.95;180,227.00;473,052,680.00
2020-04-03;MINEROS;2,585.00;2,655.00;2,635.52;2,580.00;-35.00;-1.34;238,987.00;629,854,870.00
2020-04-06;MINEROS;2,695.00;2,695.00;2,600.80;2,520.00;110.00;4.26;321,745.00;836,795,055.00
2020-04-07;MINEROS;2,670.00;2,720.00;2,687.81;2,670.00;-25.00;-0.93;84,182.00;226,265,325.00
2020-04-08;MINEROS;2,695.00;2,695.00;2,679.22;2,665.00;25.00;0.94;36,515.00;97,831,805.00
2020-04-13;MINEROS;2,790.00;2,795.00;2,771.11;2,705.00;95.00;3.53;98,740.00;273,619,055.00
2020-04-14;MINEROS;2,840.00;2,865.00;2,835.93;2,780.00;50.00;1.79;233,856.00;663,200,180.00
2020-04-15;MINEROS;2,835.00;2,845.00;2,815.05;2,755.00;-5.00;-0.18;30,606.00;86,157,410.00
2020-04-16;MINEROS;2,820.00;2,830.00;2,825.71;2,820.00;-15.00;-0.53;33,162.00;93,706,060.00
2020-04-17;MINEROS;2,895.00;2,895.00;2,823.79;2,800.00;75.00;2.66;59,163.00;167,064,175.00
2020-04-20;MINEROS;2,880.00;2,890.00;2,870.85;2,820.00;-15.00;-0.52;115,429.00;331,379,470.00
2020-04-21;MINEROS;2,830.00;2,840.00;2,827.42;2,810.00;-50.00;-1.74;45,199.00;127,796,555.00
2020-04-22;MINEROS;2,840.00;2,845.00;2,841.60;2,840.00;10.00;0.35;28,589.00;81,238,440.00
2020-04-23;MINEROS;3,020.00;3,030.00;2,980.14;2,890.00;180.00;6.34;414,755.00;1,236,029,875.00
2020-04-24;MINEROS;3,080.00;3,080.00;3,058.72;3,035.00;60.00;1.99;124,894.00;382,015,245.00
2020-04-27;MINEROS;3,080.00;3,080.00;3,078.54;3,080.00;0.00;0.00;27,322.00;84,111,760.00
2020-04-28;MINEROS;3,045.00;3,070.00;3,056.24;3,045.00;-35.00;-1.14;27,062.00;82,708,050.00
2020-04-29;MINEROS;3,045.00;3,060.00;3,051.56;3,045.00;0.00;0.00;24,780.00;75,617,690.00
2020-04-30;MINEROS;3,070.00;3,070.00;3,054.10;3,045.00;25.00;0.82;40,724.00;124,375,020.00
2020-05-04;MINEROS;3,085.00;3,085.00;3,082.57;3,080.00;15.00;0.49;14,050.00;43,310,155.00
2020-05-05;MINEROS;3,095.00;3,095.00;3,090.74;3,085.00;10.00;0.32;16,187.00;50,029,800.00
2020-05-06;MINEROS;3,165.00;3,165.00;3,126.28;3,085.00;70.00;2.26;72,874.00;227,824,385.00
2020-05-07;MINEROS;3,200.00;3,200.00;3,187.63;3,170.00;35.00;1.11;119,824.00;381,954,785.00
2020-05-08;MINEROS;3,200.00;3,200.00;3,199.56;3,195.00;0.00;0.00;38,198.00;122,216,700.00
2020-05-11;MINEROS;3,175.00;3,200.00;3,177.71;3,155.00;-25.00;-0.78;47,560.00;151,132,100.00
2020-05-12;MINEROS;3,180.00;3,200.00;3,193.28;3,180.00;5.00;0.16;118,158.00;377,311,270.00
2020-05-13;MINEROS;3,170.00;3,200.00;3,176.63;3,150.00;-10.00;-0.31;158,248.00;502,696,050.00
2020-05-14;MINEROS;3,180.00;3,180.00;3,143.78;3,105.00;10.00;0.32;197,848.00;621,989,790.00
2020-05-15;MINEROS;3,190.00;3,195.00;3,190.02;3,180.00;10.00;0.31;59,374.00;189,404,120.00
2020-05-18;MINEROS;3,190.00;3,190.00;3,187.92;3,180.00;0.00;0.00;37,200.00;118,590,730.00
2020-05-19;MINEROS;3,200.00;3,200.00;3,197.18;3,185.00;10.00;0.31;64,455.00;206,074,160.00
2020-05-20;MINEROS;3,205.00;3,210.00;3,207.80;3,200.00;5.00;0.16;27,910.00;89,529,750.00
2020-05-21;MINEROS;3,290.00;3,290.00;3,221.94;3,180.00;85.00;2.65;97,428.00;313,907,615.00
2020-05-22;MINEROS;3,315.00;3,320.00;3,285.05;3,230.00;25.00;0.76;46,868.00;153,963,695.00
2020-05-26;MINEROS;3,420.00;3,420.00;3,379.86;3,340.00;105.00;3.17;39,768.00;134,410,260.00
2020-05-27;MINEROS;3,400.00;3,465.00;3,437.26;3,400.00;-20.00;-0.58;73,431.00;252,401,605.00
2020-05-28;MINEROS;3,370.00;3,390.00;3,364.19;3,230.00;-30.00;-0.88;26,056.00;87,657,215.00
2020-05-29;MINEROS;3,360.00;3,360.00;3,333.85;3,250.00;-10.00;-0.30;122,406.00;408,082,760.00
2020-06-01;MINEROS;3,400.00;3,400.00;3,373.81;3,360.00;40.00;1.19;55,450.00;187,077,930.00
2020-06-02;MINEROS;3,445.00;3,445.00;3,416.63;3,400.00;45.00;1.32;21,190.00;72,398,290.00
2020-06-03;MINEROS;3,445.00;3,445.00;3,430.86;3,415.00;0.00;0.00;105,511.00;361,993,770.00
2020-06-04;MINEROS;3,430.00;3,450.00;3,435.48;3,420.00;-15.00;-0.44;88,620.00;304,452,190.00
