Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2020/08/26;1,227.31;1,230.56;-3.25;-0.26%;-20.13;-26.17
2020/08/27;1,225.22;1,227.31;-2.09;-0.17%;-20.56;-26.29
2020/08/28;1,226.21;1,225.22;0.99;0.08%;-21.37;-26.23
2020/08/31;1,216.03;1,226.21;-10.18;-0.83%;-22.08;-26.85
2020/09/01;1,255.76;1,216.03;39.73;3.27%;-19.57;-24.46
2020/09/02;1,258.16;1,255.76;2.40;0.19%;-19.65;-24.31
2020/09/03;1,246.82;1,258.16;-11.34;-0.90%;-20.45;-24.99
2020/09/04;1,240.24;1,246.82;-6.58;-0.53%;-20.87;-25.39
2020/09/07;1,242.98;1,240.24;2.74;0.22%;-21.16;-25.23
2020/09/08;1,232.34;1,242.98;-10.64;-0.86%;-21.64;-25.87
2020/09/09;1,239.93;1,232.34;7.59;0.62%;-21.80;-25.41
2020/09/10;1,219.67;1,239.93;-20.26;-1.63%;-23.17;-26.63
2020/09/11;1,212.45;1,219.67;-7.22;-0.59%;-23.29;-27.06
2020/09/14;1,199.65;1,212.45;-12.80;-1.06%;-25.05;-27.83
2020/09/15;1,193.71;1,199.65;-5.94;-0.50%;-25.29;-28.19
2020/09/16;1,195.95;1,193.71;2.24;0.19%;-25.12;-28.05
2020/09/17;1,192.53;1,195.95;-3.42;-0.29%;-25.19;-28.26
2020/09/18;1,206.55;1,192.53;14.02;1.18%;-24.31;-27.42
2020/09/21;1,197.55;1,206.55;-9.00;-0.75%;-25.01;-27.96
2020/09/22;1,187.73;1,197.55;-9.82;-0.82%;-25.35;-28.55
2020/09/23;1,179.38;1,187.73;-8.35;-0.70%;-26.12;-29.05
2020/09/24;1,180.49;1,179.38;1.11;0.09%;-26.28;-28.98
2020/09/25;1,171.35;1,180.49;-9.14;-0.77%;-26.09;-29.53
2020/09/28;1,176.66;1,171.35;5.31;0.45%;-25.43;-29.22
2020/09/29;1,165.75;1,176.66;-10.91;-0.93%;-26.33;-29.87
2020/09/30;1,171.92;1,165.75;6.17;0.53%;-25.58;-29.50
2020/10/01;1,162.36;1,171.92;-9.56;-0.82%;-26.83;-30.08
2020/10/02;1,165.01;1,162.36;2.65;0.23%;-26.86;-29.92
2020/10/05;1,168.04;1,165.01;3.03;0.26%;-26.85;-29.73
2020/10/06;1,168.93;1,168.04;0.89;0.08%;-26.47;-29.68
2020/10/07;1,174.49;1,168.93;5.56;0.48%;-26.10;-29.35
