Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2025/03/17;1,634.64;1,620.36;14.28;0.88%;25.05;18.48
2025/03/18;1,623.35;1,634.64;-11.29;-0.69%;24.22;17.66
2025/03/19;1,616.99;1,623.35;-6.36;-0.39%;23.55;17.20
2025/03/20;1,607.79;1,616.99;-9.20;-0.57%;21.65;16.54
2025/03/21;1,608.85;1,607.79;1.06;0.07%;21.01;16.61
2025/03/25;1,634.99;1,608.85;26.14;1.62%;24.04;18.51
2025/03/26;1,598.67;1,634.99;-36.32;-2.22%;19.93;15.88
2025/03/27;1,599.00;1,598.67;0.33;0.02%;17.99;15.90
2025/03/28;1,603.63;1,599.00;4.63;0.29%;18.33;16.24
2025/03/31;1,602.92;1,603.63;-0.71;-0.04%;18.28;16.18
2025/04/01;1,625.55;1,602.92;22.63;1.41%;18.41;17.82
2025/04/02;1,653.50;1,625.55;27.95;1.72%;19.48;19.85
2025/04/03;1,657.40;1,653.50;3.90;0.24%;17.71;20.13
2025/04/04;1,620.49;1,657.40;-36.91;-2.23%;16.72;17.46
2025/04/07;1,609.66;1,620.49;-10.83;-0.67%;16.07;16.67
2025/04/08;1,552.71;1,609.66;-56.95;-3.54%;10.23;12.54
2025/04/09;1,601.60;1,552.71;48.89;3.15%;14.55;16.09
2025/04/10;1,546.98;1,601.60;-54.62;-3.41%;9.30;12.13
2025/04/11;1,561.52;1,546.98;14.54;0.94%;12.27;13.18
2025/04/14;1,582.31;1,561.52;20.79;1.33%;14.64;14.69
