Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2025/06/17;1,631.46;1,633.17;-1.71;-0.10%;17.40;18.25
2025/06/18;1,650.70;1,631.46;19.24;1.18%;19.56;19.65
2025/06/19;1,653.04;1,650.70;2.34;0.14%;20.13;19.82
2025/06/20;1,647.78;1,653.04;-5.26;-0.32%;20.68;19.44
2025/06/24;1,671.64;1,647.78;23.86;1.45%;22.20;21.17
2025/06/25;1,672.88;1,671.64;1.24;0.07%;22.20;21.26
2025/06/26;1,678.59;1,672.88;5.71;0.34%;21.93;21.67
2025/06/27;1,668.33;1,678.59;-10.26;-0.61%;20.81;20.93
2025/07/01;1,674.79;1,668.33;6.46;0.39%;21.04;21.39
2025/07/02;1,693.94;1,674.79;19.15;1.14%;22.62;22.78
2025/07/03;1,684.07;1,693.94;-9.87;-0.58%;21.61;22.07
2025/07/04;1,686.87;1,684.07;2.80;0.17%;21.92;22.27
2025/07/07;1,684.81;1,686.87;-2.06;-0.12%;21.81;22.12
2025/07/08;1,688.33;1,684.81;3.52;0.21%;22.95;22.37
2025/07/09;1,675.18;1,688.33;-13.15;-0.78%;22.64;21.42
2025/07/10;1,683.16;1,675.18;7.98;0.48%;22.29;22.00
2025/07/11;1,688.47;1,683.16;5.31;0.32%;22.88;22.39
2025/07/14;1,689.69;1,688.47;1.22;0.07%;22.90;22.47
2025/07/15;1,699.41;1,689.69;9.72;0.58%;23.70;23.18
2025/07/16;1,701.62;1,699.41;2.21;0.13%;24.54;23.34
2025/07/17;1,745.28;1,701.62;43.66;2.57%;27.90;26.50
2025/07/18;1,733.54;1,745.28;-11.74;-0.67%;26.74;25.65
2025/07/21;1,742.56;1,733.54;9.02;0.52%;27.50;26.31
2025/07/22;1,727.55;1,742.56;-15.01;-0.86%;26.97;25.22
2025/07/23;1,716.19;1,727.55;-11.36;-0.66%;26.71;24.39
2025/07/24;1,709.73;1,716.19;-6.46;-0.38%;26.30;23.93
2025/07/25;1,709.23;1,709.73;-0.50;-0.03%;27.02;23.89
2025/07/28;1,762.46;1,709.23;53.23;3.11%;31.45;27.75
2025/07/29;1,757.87;1,762.46;-4.59;-0.26%;31.64;27.42
2025/07/30;1,759.90;1,757.87;2.03;0.12%;30.77;27.56
2025/07/31;1,772.88;1,759.90;12.98;0.74%;32.12;28.50
2025/08/01;1,751.56;1,772.88;-21.32;-1.20%;33.00;26.96
2025/08/04;1,751.55;1,751.56;-0.01;0.00%;35.30;26.96
2025/08/05;1,761.81;1,751.55;10.26;0.59%;35.85;27.70
2025/08/06;1,774.53;1,761.81;12.72;0.72%;36.58;28.62
2025/08/08;1,802.78;1,774.53;28.25;1.59%;37.56;30.67
2025/08/11;1,812.81;1,802.78;10.03;0.56%;36.27;31.40
2025/08/12;1,812.19;1,812.81;-0.62;-0.03%;34.84;31.35
2025/08/13;1,826.99;1,824.32;2.67;0.15%;35.26;32.43
2025/08/14;1,845.64;1,826.99;18.65;1.02%;35.70;33.78
2025/08/15;1,856.83;1,845.64;11.19;0.61%;36.43;34.59
2025/08/19;1,853.52;1,856.83;-3.31;-0.18%;37.77;34.35
