Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-03-12;NUTRESA;20,500.00;21,000.00;20,218.61;19,980.00;-1,500.00;-6.82;44,353.00;896,756,040.00
2020-03-13;NUTRESA;20,500.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-16;NUTRESA;19,000.00;20,480.00;19,152.51;19,000.00;-1,500.00;-7.32;76,304.00;1,461,413,300.00
2020-03-17;NUTRESA;19,000.00;19,100.00;18,989.25;18,880.00;0.00;0.00;84,753.00;1,609,661,340.00
2020-03-18;NUTRESA;17,100.00;18,760.00;17,785.69;17,100.00;-1,900.00;-10.00;95,747.00;1,702,926,080.00
2020-03-19;NUTRESA;17,100.00;17,280.00;17,073.88;16,960.00;0.00;0.00;68,943.00;1,177,124,520.00
2020-03-20;NUTRESA;17,000.00;17,860.00;17,151.23;16,800.00;-100.00;-0.58;100,746.00;1,727,918,220.00
2020-03-24;NUTRESA;17,300.00;17,400.00;17,199.20;16,800.00;300.00;1.76;175,235.00;3,013,902,680.00
2020-03-25;NUTRESA;18,480.00;19,560.00;18,018.74;17,300.00;1,180.00;6.82;416,019.00;7,496,138,980.00
2020-03-26;NUTRESA;19,700.00;20,300.00;19,403.11;18,900.00;1,220.00;6.60;1,122,995.00;21,789,590,720.00
2020-03-27;NUTRESA;19,520.00;19,520.00;19,272.03;18,760.00;-180.00;-0.91;148,939.00;2,870,356,840.00
2020-03-30;NUTRESA;19,100.00;20,500.00;19,677.86;19,100.00;-420.00;-2.15;134,766.00;2,651,906,400.00
2020-03-31;NUTRESA;19,100.00;20,460.00;19,075.60;18,660.00;0.00;0.00;242,732.00;4,630,259,160.00
2020-04-01;NUTRESA;18,640.00;19,040.00;18,497.13;18,280.00;-460.00;-2.41;61,361.00;1,135,002,660.00
2020-04-02;NUTRESA;19,460.00;19,460.00;18,816.77;18,020.00;820.00;4.40;144,648.00;2,721,807,760.00
2020-04-03;NUTRESA;19,700.00;19,700.00;19,217.70;19,120.00;240.00;1.23;386,611.00;7,429,773,600.00
2020-04-06;NUTRESA;19,720.00;20,280.00;19,753.67;18,800.00;20.00;0.10;165,464.00;3,268,520,800.00
2020-04-07;NUTRESA;20,020.00;20,200.00;20,044.52;19,840.00;300.00;1.52;311,221.00;6,238,276,440.00
2020-04-08;NUTRESA;20,700.00;20,700.00;20,412.61;20,000.00;680.00;3.40;88,739.00;1,811,394,660.00
2020-04-13;NUTRESA;21,300.00;21,380.00;20,932.23;20,780.00;600.00;2.90;35,028.00;733,214,320.00
2020-04-14;NUTRESA;22,780.00;22,800.00;22,133.90;21,380.00;1,480.00;6.95;242,386.00;5,364,946,660.00
2020-04-15;NUTRESA;22,980.00;22,980.00;22,576.59;22,360.00;200.00;0.88;163,032.00;3,680,706,460.00
2020-04-16;NUTRESA;22,960.00;22,960.00;22,497.00;22,140.00;-20.00;-0.09;162,764.00;3,661,701,680.00
2020-04-17;NUTRESA;22,900.00;23,000.00;22,942.22;22,900.00;-60.00;-0.26;33,980.00;779,576,620.00
2020-04-20;NUTRESA;22,620.00;22,760.00;22,598.19;22,220.00;-280.00;-1.22;62,386.00;1,409,810,980.00
2020-04-21;NUTRESA;22,800.00;22,800.00;22,228.04;21,800.00;180.00;0.80;153,669.00;3,415,761,440.00
2020-04-22;NUTRESA;22,500.00;23,320.00;22,644.66;22,500.00;-300.00;-1.32;176,457.00;3,995,809,140.00
2020-04-23;NUTRESA;23,960.00;24,000.00;23,276.99;22,500.00;1,460.00;6.49;124,973.00;2,908,994,720.00
2020-04-24;NUTRESA;23,100.00;23,960.00;23,311.19;23,100.00;-860.00;-3.59;280,788.00;6,545,503,100.00
2020-04-27;NUTRESA;23,200.00;23,780.00;23,506.31;23,200.00;100.00;0.43;30,420.00;715,061,880.00
2020-04-28;NUTRESA;23,100.00;23,580.00;23,174.61;23,000.00;-100.00;-0.43;359,617.00;8,333,984,940.00
2020-04-29;NUTRESA;22,720.00;23,480.00;23,061.23;22,680.00;-380.00;-1.65;231,121.00;5,329,934,360.00
2020-04-30;NUTRESA;22,060.00;23,260.00;22,536.21;22,060.00;-660.00;-2.90;149,382.00;3,366,504,040.00
2020-05-04;NUTRESA;22,000.00;22,700.00;22,155.93;22,000.00;-60.00;-0.27;32,085.00;710,873,020.00
2020-05-05;NUTRESA;21,800.00;22,060.00;21,922.65;21,760.00;-200.00;-0.91;47,019.00;1,030,781,180.00
2020-05-06;NUTRESA;22,000.00;22,000.00;21,812.60;21,680.00;200.00;0.92;37,533.00;818,692,180.00
2020-05-07;NUTRESA;22,420.00;22,860.00;22,033.25;21,900.00;420.00;1.91;533,949.00;11,764,630,220.00
2020-05-08;NUTRESA;22,720.00;22,780.00;22,689.88;22,500.00;300.00;1.34;26,575.00;602,983,440.00
2020-05-11;NUTRESA;22,840.00;22,840.00;22,715.35;22,620.00;120.00;0.53;25,737.00;584,625,080.00
2020-05-12;NUTRESA;22,800.00;23,000.00;22,717.68;22,500.00;-40.00;-0.18;24,097.00;547,427,960.00
2020-05-13;NUTRESA;22,000.00;22,800.00;21,871.91;21,740.00;-800.00;-3.51;72,232.00;1,579,851,940.00
2020-05-14;NUTRESA;21,940.00;21,960.00;21,853.25;21,840.00;-60.00;-0.27;401,569.00;8,775,588,900.00
2020-05-15;NUTRESA;22,300.00;22,300.00;22,295.33;22,280.00;360.00;1.64;2,567.00;57,232,100.00
2020-05-18;NUTRESA;22,080.00;22,800.00;22,276.19;22,000.00;-220.00;-0.99;138,997.00;3,096,323,620.00
2020-05-19;NUTRESA;22,080.00;22,180.00;22,066.58;21,920.00;0.00;0.00;66,540.00;1,468,310,560.00
2020-05-20;NUTRESA;22,100.00;22,200.00;22,084.20;22,000.00;20.00;0.09;43,537.00;961,479,960.00
2020-05-21;NUTRESA;22,120.00;22,180.00;22,087.20;22,000.00;20.00;0.09;74,273.00;1,640,482,500.00
2020-05-22;NUTRESA;22,100.00;22,200.00;22,096.30;22,020.00;-20.00;-0.09;47,546.00;1,050,590,640.00
2020-05-26;NUTRESA;22,660.00;22,660.00;22,471.10;22,200.00;560.00;2.53;47,777.00;1,073,601,600.00
2020-05-27;NUTRESA;22,480.00;22,760.00;22,582.51;22,420.00;-180.00;-0.79;104,278.00;2,354,858,500.00
2020-05-28;NUTRESA;22,500.00;22,540.00;22,364.11;22,200.00;20.00;0.09;190,065.00;4,250,634,640.00
2020-05-29;NUTRESA;22,160.00;22,500.00;22,173.03;22,100.00;-340.00;-1.51;223,174.00;4,948,444,840.00
2020-06-01;NUTRESA;22,020.00;22,300.00;22,091.32;22,020.00;-140.00;-0.63;44,774.00;989,116,880.00
2020-06-02;NUTRESA;22,500.00;22,500.00;22,252.80;22,100.00;480.00;2.18;74,013.00;1,646,996,300.00
2020-06-03;NUTRESA;22,600.00;22,740.00;22,556.77;22,020.00;100.00;0.44;141,351.00;3,188,422,560.00
2020-06-04;NUTRESA;22,660.00;22,800.00;22,639.14;22,500.00;60.00;0.27;76,907.00;1,741,108,420.00
2020-06-05;NUTRESA;22,800.00;22,800.00;22,695.69;22,600.00;140.00;0.62;176,670.00;4,009,648,400.00
2020-06-08;NUTRESA;22,920.00;23,000.00;22,892.52;22,620.00;120.00;0.53;100,838.00;2,308,435,440.00
2020-06-09;NUTRESA;22,620.00;22,880.00;22,687.16;22,440.00;-300.00;-1.31;366,675.00;8,318,814,700.00
2020-06-10;NUTRESA;22,460.00;22,520.00;22,246.37;22,140.00;-160.00;-0.71;126,249.00;2,808,581,580.00
2020-06-11;NUTRESA;21,300.00;22,100.00;21,553.37;21,200.00;-1,160.00;-5.16;55,159.00;1,188,862,200.00
2020-06-12;NUTRESA;21,300.00;21,960.00;21,362.25;21,200.00;0.00;0.00;125,113.00;2,672,695,780.00
2020-06-16;NUTRESA;20,620.00;21,500.00;21,123.02;20,620.00;-680.00;-3.19;214,295.00;4,526,558,480.00
2020-06-17;NUTRESA;20,240.00;20,600.00;20,336.05;20,180.00;-380.00;-1.84;207,906.00;4,227,986,860.00
2020-06-18;NUTRESA;20,420.00;21,320.00;20,247.11;20,200.00;180.00;0.89;591,482.00;11,975,802,780.00
2020-06-19;NUTRESA;20,600.00;20,800.00;20,590.21;20,500.00;180.00;0.88;922,666.00;18,997,886,480.00
2020-06-23;NUTRESA;21,200.00;21,240.00;21,016.51;20,900.00;600.00;2.91;464,211.00;9,756,093,700.00
2020-06-24;NUTRESA;21,160.00;21,200.00;20,949.81;20,420.00;-40.00;-0.19;52,469.00;1,099,215,700.00
2020-06-25;NUTRESA;21,000.00;21,000.00;21,000.00;21,000.00;-160.00;-0.76;24,788.00;520,548,000.00
2020-06-26;NUTRESA;20,640.00;20,960.00;20,769.36;20,640.00;-360.00;-1.71;7,072.00;146,880,940.00
