Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-05-19;PEI;71,580.00;71,640.00;71,242.89;71,100.00;-80.00;-0.11;7,993.00;569,444,420.00
2025-05-20;PEI;71,000.00;71,120.00;71,123.95;71,000.00;-580.00;-0.81;12,126.00;862,449,060.00
2025-05-21;PEI;70,360.00;70,500.00;70,483.84;70,000.00;-640.00;-0.90;89,352.00;6,297,872,280.00
2025-05-22;PEI;69,380.00;70,000.00;69,913.12;69,380.00;-980.00;-1.39;5,038.00;352,222,300.00
2025-05-23;PEI;69,000.00;69,960.00;69,612.81;69,000.00;-380.00;-0.55;17,890.00;1,245,373,100.00
2025-05-26;PEI;69,620.00;69,620.00;69,529.83;69,620.00;620.00;0.90;1,693.00;117,714,000.00
2025-05-27;PEI;68,720.00;69,060.00;68,941.66;68,720.00;-900.00;-1.29;3,579.00;246,742,200.00
2025-05-28;PEI;70,000.00;70,000.00;69,386.85;69,000.00;1,280.00;1.86;8,089.00;561,270,240.00
2025-05-29;PEI;68,740.00;69,700.00;68,624.56;68,500.00;-1,260.00;-1.80;31,314.00;2,148,909,560.00
2025-05-30;PEI;67,500.00;68,500.00;67,519.68;67,500.00;-1,240.00;-1.80;210,792.00;14,232,608,000.00
2025-06-03;PEI;67,780.00;68,380.00;67,507.97;67,360.00;280.00;0.41;252,707.00;17,059,735,680.00
2025-06-04;PEI;68,000.00;68,000.00;67,903.87;67,780.00;220.00;0.32;5,080.00;344,951,640.00
2025-06-05;PEI;68,020.00;68,300.00;68,078.98;68,000.00;20.00;0.03;3,080.00;209,683,260.00
2025-06-06;PEI;69,500.00;69,500.00;68,985.89;68,500.00;1,480.00;2.18;2,448.00;168,877,460.00
2025-06-09;PEI;69,000.00;69,480.00;68,987.26;68,720.00;-500.00;-0.72;25,251.00;1,741,997,220.00
2025-06-10;PEI;69,280.00;69,300.00;69,005.80;69,000.00;280.00;0.41;107,169.00;7,395,282,240.00
2025-06-11;PEI;69,160.00;69,220.00;69,192.44;69,160.00;-120.00;-0.17;1,154.00;79,848,080.00
2025-06-12;PEI;69,380.00;69,380.00;69,121.21;68,000.00;220.00;0.32;37,309.00;2,578,843,320.00
2025-06-13;PEI;68,740.00;68,740.00;68,882.11;68,740.00;-640.00;-0.92;2,028.00;139,692,920.00
2025-06-16;PEI;69,180.00;69,180.00;68,735.09;68,120.00;440.00;0.64;7,794.00;535,721,300.00
