Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-09-29;PFAVAL;655.00;656.00;654.96;652.00;0.00;0.00;3,067,245.00;2,008,917,672.00
2025-09-30;PFAVAL;655.00;659.00;655.57;647.00;0.00;0.00;3,100,903.00;2,032,858,950.00
2025-10-01;PFAVAL;651.00;655.00;649.89;648.00;-4.00;-0.61;532,039.00;345,764,839.00
2025-10-02;PFAVAL;660.00;660.00;657.86;655.00;9.00;1.38;1,921,589.00;1,264,134,022.00
2025-10-03;PFAVAL;674.00;680.00;672.70;653.00;14.00;2.12;2,465,487.00;1,658,540,011.00
2025-10-06;PFAVAL;674.00;680.00;671.99;650.00;0.00;0.00;1,612,982.00;1,083,915,632.00
2025-10-07;PFAVAL;679.00;679.00;674.37;674.00;5.00;0.74;292,397.00;197,184,481.00
2025-10-08;PFAVAL;675.00;675.00;670.37;670.00;-4.00;-0.59;289,158.00;193,842,145.00
2025-10-09;PFAVAL;695.00;697.00;689.25;675.00;20.00;2.96;2,201,629.00;1,517,467,783.00
2025-10-10;PFAVAL;705.00;710.00;698.48;690.00;10.00;1.44;1,136,860.00;794,075,354.00
2025-10-14;PFAVAL;703.00;715.00;703.63;690.00;-2.00;-0.28;492,922.00;346,832,919.00
2025-10-15;PFAVAL;720.00;720.00;707.74;703.00;17.00;2.42;1,796,758.00;1,271,638,497.00
2025-10-16;PFAVAL;728.00;730.00;723.54;710.00;8.00;1.11;1,657,639.00;1,199,372,379.00
2025-10-17;PFAVAL;732.00;735.00;727.12;720.00;4.00;0.55;1,722,112.00;1,252,186,216.00
2025-10-18;PFAVAL;;655.00;;655.00;-77.00;-10.52;;
2025-10-20;PFAVAL;732.00;742.00;732.02;700.00;0.00;0.00;1,795,591.00;1,314,414,749.00
2025-10-21;PFAVAL;740.00;740.00;731.62;727.00;8.00;1.09;4,680,435.00;3,424,308,523.00
2025-10-22;PFAVAL;753.00;755.00;744.39;735.00;13.00;1.76;10,574,658.00;7,871,652,806.00
2025-10-23;PFAVAL;760.00;772.00;766.14;746.00;7.00;0.93;13,757,050.00;10,539,807,787.00
2025-10-24;PFAVAL;779.00;800.00;780.12;771.00;19.00;2.50;22,293,241.00;17,391,462,774.00
2025-10-27;PFAVAL;778.00;790.00;779.23;769.00;-1.00;-0.13;1,934,294.00;1,507,267,349.00
2025-10-28;PFAVAL;760.00;780.00;776.71;760.00;-18.00;-2.31;4,132,265.00;3,209,562,553.00
2025-10-29;PFAVAL;775.00;777.00;770.27;769.00;15.00;1.97;10,828,068.00;8,340,561,186.00
2025-10-30;PFAVAL;789.00;789.00;783.35;773.00;14.00;1.81;1,397,467.00;1,094,700,108.00
2025-10-31;PFAVAL;777.00;795.00;788.99;769.00;-12.00;-1.52;2,636,578.00;2,080,222,675.00
2025-11-04;PFAVAL;800.00;800.00;796.66;770.00;23.00;2.96;3,233,451.00;2,575,967,229.00
2025-11-05;PFAVAL;795.00;810.00;799.31;789.00;-5.00;-0.62;9,249,154.00;7,392,935,266.00
2025-11-06;PFAVAL;800.00;809.00;799.11;795.00;5.00;0.63;811,793.00;648,709,916.00
2025-11-07;PFAVAL;808.00;809.00;804.81;797.00;8.00;1.00;1,461,564.00;1,176,275,797.00
2025-11-08;PFAVAL;808.00;808.00;;808.00;0.00;;;
