Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2021-08-30;PFBCOLOM;31,440.00;31,620.00;31,418.64;30,970.00;140.00;0.45;327,618.00;10,293,311,400.00
2021-08-31;PFBCOLOM;31,400.00;31,400.00;31,351.93;31,190.00;-40.00;-0.13;1,061,288.00;33,273,424,850.00
2021-09-01;PFBCOLOM;31,600.00;31,800.00;31,592.81;31,200.00;200.00;0.64;465,016.00;14,691,159,950.00
2021-09-02;PFBCOLOM;31,260.00;31,730.00;31,413.52;31,200.00;-340.00;-1.08;475,527.00;14,937,978,940.00
2021-09-03;PFBCOLOM;31,300.00;31,500.00;31,174.32;31,010.00;40.00;0.13;1,212,195.00;37,789,353,270.00
2021-09-06;PFBCOLOM;31,370.00;31,370.00;31,189.21;31,000.00;70.00;0.22;80,667.00;2,515,940,310.00
2021-09-07;PFBCOLOM;31,100.00;31,600.00;31,428.23;31,100.00;-270.00;-0.86;200,596.00;6,304,376,430.00
2021-09-08;PFBCOLOM;31,450.00;31,450.00;31,262.35;30,800.00;350.00;1.13;379,038.00;11,849,618,150.00
2021-09-09;PFBCOLOM;31,470.00;31,470.00;31,201.96;30,940.00;20.00;0.06;486,449.00;15,178,159,970.00
2021-09-10;PFBCOLOM;31,350.00;31,500.00;31,323.06;31,280.00;-120.00;-0.38;814,563.00;25,514,604,850.00
2021-09-13;PFBCOLOM;30,990.00;31,480.00;30,880.75;30,570.00;-360.00;-1.15;441,635.00;13,638,019,210.00
2021-09-14;PFBCOLOM;31,070.00;31,100.00;30,853.82;30,560.00;80.00;0.26;487,878.00;15,052,900,120.00
2021-09-15;PFBCOLOM;31,070.00;31,300.00;31,192.04;31,070.00;0.00;0.00;417,725.00;13,029,695,880.00
2021-09-16;PFBCOLOM;31,030.00;31,300.00;31,098.39;30,880.00;-40.00;-0.13;130,823.00;4,068,384,950.00
2021-09-17;PFBCOLOM;31,100.00;31,200.00;31,093.14;30,750.00;70.00;0.23;2,173,913.00;67,593,783,290.00
2021-09-20;PFBCOLOM;30,960.00;30,980.00;30,886.69;30,700.00;-140.00;-0.45;276,644.00;8,544,618,410.00
2021-09-21;PFBCOLOM;30,500.00;31,000.00;30,668.37;30,500.00;-460.00;-1.49;494,233.00;15,157,320,630.00
2021-09-22;PFBCOLOM;30,620.00;30,860.00;30,748.69;30,620.00;120.00;0.39;396,902.00;12,204,216,240.00
2021-09-23;PFBCOLOM;30,900.00;31,160.00;30,964.77;30,510.00;280.00;0.91;308,126.00;9,541,050,030.00
2021-09-24;PFBCOLOM;31,040.00;31,100.00;31,000.84;30,750.00;140.00;0.45;281,120.00;8,714,955,470.00
2021-09-27;PFBCOLOM;32,580.00;32,710.00;32,104.65;31,150.00;1,540.00;4.96;1,452,415.00;46,629,276,270.00
2021-09-28;PFBCOLOM;32,550.00;32,680.00;32,322.27;31,960.00;-30.00;-0.09;719,238.00;23,247,405,690.00
2021-09-29;PFBCOLOM;33,000.00;33,000.00;32,734.80;32,200.00;450.00;1.38;582,918.00;19,081,704,630.00
2021-09-30;PFBCOLOM;33,000.00;33,000.00;32,869.57;32,450.00;0.00;0.00;339,674.00;11,164,937,860.00
2021-10-01;PFBCOLOM;33,090.00;33,400.00;33,047.71;32,650.00;90.00;0.27;710,124.00;23,467,971,270.00
2021-10-04;PFBCOLOM;33,200.00;33,300.00;33,171.81;32,980.00;110.00;0.33;457,963.00;15,191,461,440.00
2021-10-05;PFBCOLOM;33,400.00;33,460.00;33,297.82;33,030.00;200.00;0.60;781,395.00;26,018,747,640.00
2021-10-06;PFBCOLOM;32,840.00;33,250.00;32,693.65;32,400.00;-560.00;-1.68;675,141.00;22,072,824,820.00
2021-10-07;PFBCOLOM;33,390.00;33,590.00;33,344.95;32,890.00;550.00;1.67;1,192,420.00;39,761,181,310.00
2021-10-08;PFBCOLOM;33,390.00;33,580.00;33,432.79;33,360.00;0.00;0.00;213,301.00;7,131,246,790.00
2021-10-11;PFBCOLOM;33,300.00;33,570.00;33,460.54;33,200.00;-90.00;-0.27;364,965.00;12,211,925,160.00
2021-10-12;PFBCOLOM;32,600.00;33,080.00;32,783.38;32,580.00;-700.00;-2.10;376,043.00;12,327,961,120.00
2021-10-13;PFBCOLOM;33,150.00;33,270.00;32,881.61;32,540.00;550.00;1.69;614,065.00;20,191,447,470.00
2021-10-14;PFBCOLOM;34,200.00;34,200.00;33,847.65;33,150.00;1,050.00;3.17;795,643.00;26,930,645,790.00
2021-10-15;PFBCOLOM;34,600.00;34,900.00;34,621.62;33,510.00;400.00;1.17;364,211.00;12,609,576,270.00
2021-10-19;PFBCOLOM;34,200.00;34,580.00;34,239.36;34,010.00;-400.00;-1.16;530,896.00;18,177,541,260.00
2021-10-20;PFBCOLOM;34,140.00;34,310.00;34,075.69;33,900.00;-60.00;-0.18;255,504.00;8,706,474,890.00
2021-10-21;PFBCOLOM;34,120.00;34,140.00;33,943.53;33,730.00;-20.00;-0.06;541,026.00;18,364,332,470.00
2021-10-22;PFBCOLOM;33,600.00;34,400.00;34,044.30;33,600.00;-520.00;-1.52;320,735.00;10,919,197,530.00
2021-10-25;PFBCOLOM;33,840.00;33,880.00;33,782.05;33,500.00;240.00;0.71;308,378.00;10,417,641,420.00
2021-10-26;PFBCOLOM;34,400.00;34,400.00;34,280.74;33,980.00;560.00;1.65;890,291.00;30,519,832,900.00
2021-10-27;PFBCOLOM;34,310.00;34,480.00;34,380.48;34,200.00;-90.00;-0.26;626,427.00;21,536,861,890.00
2021-10-28;PFBCOLOM;34,100.00;34,270.00;34,139.89;34,000.00;-210.00;-0.61;671,742.00;22,933,198,820.00
2021-10-29;PFBCOLOM;33,800.00;34,140.00;33,633.58;33,390.00;-300.00;-0.88;1,134,236.00;38,148,421,840.00
2021-11-02;PFBCOLOM;34,050.00;34,180.00;34,002.38;33,800.00;250.00;0.74;379,774.00;12,913,220,480.00
2021-11-03;PFBCOLOM;34,390.00;34,460.00;34,091.87;33,700.00;340.00;1.00;767,687.00;26,171,884,740.00
2021-11-04;PFBCOLOM;33,650.00;34,500.00;33,807.14;33,610.00;-740.00;-2.15;360,349.00;12,182,370,310.00
2021-11-05;PFBCOLOM;33,400.00;34,120.00;33,537.93;33,240.00;-250.00;-0.74;559,068.00;18,749,982,450.00
2021-11-08;PFBCOLOM;33,520.00;33,650.00;33,525.08;33,430.00;120.00;0.36;332,452.00;11,145,479,520.00
2021-11-09;PFBCOLOM;33,200.00;33,580.00;33,100.05;32,710.00;-320.00;-0.95;619,136.00;20,493,433,860.00
2021-11-10;PFBCOLOM;32,700.00;33,300.00;32,713.75;32,280.00;-500.00;-1.51;563,379.00;18,430,238,950.00
2021-11-11;PFBCOLOM;32,200.00;33,400.00;32,379.75;32,100.00;-500.00;-1.53;662,837.00;21,462,498,570.00
2021-11-12;PFBCOLOM;32,100.00;32,300.00;31,865.45;31,710.00;-100.00;-0.31;489,365.00;15,593,834,560.00
2021-11-16;PFBCOLOM;31,250.00;31,940.00;31,468.82;31,220.00;-850.00;-2.65;394,898.00;12,426,974,050.00
2021-11-17;PFBCOLOM;30,970.00;31,500.00;30,821.97;30,540.00;-280.00;-0.90;1,133,474.00;34,935,901,950.00
2021-11-18;PFBCOLOM;30,900.00;31,180.00;30,904.74;30,750.00;-70.00;-0.23;525,309.00;16,234,536,570.00
2021-11-19;PFBCOLOM;30,100.00;30,900.00;30,539.56;30,100.00;-800.00;-2.59;455,214.00;13,902,033,480.00
2021-11-22;PFBCOLOM;30,200.00;30,970.00;30,474.26;30,120.00;100.00;0.33;297,034.00;9,051,892,100.00
2021-11-23;PFBCOLOM;30,250.00;30,690.00;30,198.52;30,080.00;50.00;0.17;379,463.00;11,459,220,280.00
2021-11-24;PFBCOLOM;30,600.00;30,600.00;30,458.69;30,170.00;350.00;1.16;373,129.00;11,365,019,930.00
2021-11-25;PFBCOLOM;30,670.00;31,150.00;30,831.83;30,500.00;70.00;0.23;192,299.00;5,928,929,120.00
2021-11-26;PFBCOLOM;30,300.00;30,550.00;30,089.99;29,600.00;-370.00;-1.21;524,257.00;15,774,887,370.00
2021-11-29;PFBCOLOM;30,750.00;31,000.00;30,646.46;30,410.00;450.00;1.49;845,923.00;25,924,546,370.00
2021-11-30;PFBCOLOM;32,400.00;32,400.00;32,164.23;30,500.00;1,650.00;5.37;1,890,304.00;60,800,167,110.00
2021-12-01;PFBCOLOM;34,100.00;34,810.00;34,073.94;33,000.00;1,700.00;5.25;1,605,379.00;54,701,585,020.00
2021-12-02;PFBCOLOM;35,000.00;35,000.00;34,559.84;34,000.00;900.00;2.64;1,085,440.00;37,512,635,310.00
2021-12-03;PFBCOLOM;34,550.00;35,680.00;35,028.21;34,550.00;-450.00;-1.29;991,814.00;34,741,464,840.00
2021-12-06;PFBCOLOM;34,000.00;34,550.00;34,148.00;34,000.00;-550.00;-1.59;396,964.00;13,555,525,990.00
2021-12-07;PFBCOLOM;32,960.00;34,020.00;33,179.76;32,800.00;-1,040.00;-3.06;638,430.00;21,182,951,660.00
2021-12-09;PFBCOLOM;32,500.00;32,840.00;32,215.71;31,900.00;-460.00;-1.40;538,796.00;17,357,695,260.00
2021-12-10;PFBCOLOM;32,200.00;32,470.00;32,031.50;31,820.00;-300.00;-0.92;194,619.00;6,233,937,800.00
2021-12-13;PFBCOLOM;30,890.00;32,200.00;31,289.80;30,890.00;-1,310.00;-4.07;447,433.00;14,000,087,140.00
2021-12-14;PFBCOLOM;31,040.00;31,290.00;31,052.90;30,800.00;150.00;0.49;176,358.00;5,476,427,960.00
2021-12-15;PFBCOLOM;31,660.00;31,970.00;31,527.41;31,130.00;620.00;2.00;651,578.00;20,542,565,120.00
2021-12-16;PFBCOLOM;33,100.00;33,100.00;32,592.72;31,870.00;1,440.00;4.55;450,188.00;14,672,853,150.00
2021-12-17;PFBCOLOM;32,120.00;33,210.00;32,222.93;32,120.00;-980.00;-2.96;1,405,789.00;45,298,647,030.00
2021-12-20;PFBCOLOM;31,570.00;32,120.00;31,425.21;31,000.00;-550.00;-1.71;266,040.00;8,360,363,390.00
2021-12-21;PFBCOLOM;31,220.00;32,570.00;31,622.49;31,220.00;-350.00;-1.11;511,568.00;16,177,055,610.00
2021-12-22;PFBCOLOM;31,400.00;31,490.00;31,276.48;31,130.00;180.00;0.58;237,839.00;7,438,766,180.00
2021-12-23;PFBCOLOM;31,700.00;31,850.00;31,671.61;31,500.00;300.00;0.96;152,796.00;4,839,295,870.00
2021-12-24;PFBCOLOM;31,900.00;31,970.00;31,885.76;31,800.00;200.00;0.63;12,155.00;387,571,390.00
2021-12-27;PFBCOLOM;31,700.00;31,700.00;31,623.38;31,570.00;-200.00;-0.63;69,868.00;2,209,462,490.00
2021-12-28;PFBCOLOM;32,070.00;32,190.00;32,032.71;31,640.00;370.00;1.17;114,171.00;3,657,206,580.00
2021-12-29;PFBCOLOM;32,200.00;32,200.00;32,096.53;31,800.00;130.00;0.41;115,524.00;3,707,919,230.00
2021-12-30;PFBCOLOM;32,000.00;32,480.00;32,035.49;31,700.00;-200.00;-0.62;154,896.00;4,962,168,980.00
2022-01-03;PFBCOLOM;32,120.00;32,780.00;32,305.02;32,000.00;120.00;0.38;138,577.00;4,476,732,490.00
2022-01-04;PFBCOLOM;32,280.00;32,450.00;32,180.81;32,000.00;160.00;0.50;139,342.00;4,484,137,800.00
2022-01-05;PFBCOLOM;31,450.00;32,280.00;31,567.18;31,200.00;-830.00;-2.57;308,068.00;9,724,837,690.00
2022-01-06;PFBCOLOM;31,080.00;31,530.00;30,922.64;30,400.00;-370.00;-1.18;442,994.00;13,698,544,710.00
2022-01-07;PFBCOLOM;30,940.00;31,400.00;31,055.11;30,900.00;-140.00;-0.45;191,869.00;5,958,512,920.00
2022-01-11;PFBCOLOM;31,600.00;31,820.00;31,174.56;30,560.00;660.00;2.13;696,577.00;21,715,478,280.00
2022-01-12;PFBCOLOM;32,650.00;32,900.00;32,588.03;31,720.00;1,050.00;3.32;775,907.00;25,285,281,180.00
2022-01-13;PFBCOLOM;33,480.00;34,170.00;33,243.93;32,200.00;830.00;2.54;1,518,636.00;50,485,428,420.00
2022-01-14;PFBCOLOM;33,200.00;33,560.00;33,288.21;32,850.00;-280.00;-0.84;2,031,444.00;67,623,132,070.00
2022-01-17;PFBCOLOM;35,000.00;35,250.00;34,981.49;33,800.00;1,800.00;5.42;2,084,479.00;72,918,179,440.00
2022-01-18;PFBCOLOM;36,000.00;36,960.00;36,241.68;34,500.00;1,000.00;2.86;2,684,918.00;97,305,937,250.00
2022-01-19;PFBCOLOM;36,180.00;36,480.00;35,939.85;35,010.00;180.00;0.50;2,008,946.00;72,201,208,240.00
2022-01-20;PFBCOLOM;34,900.00;36,200.00;35,375.07;34,900.00;-1,280.00;-3.54;824,434.00;29,164,410,790.00
2022-01-21;PFBCOLOM;34,700.00;34,840.00;34,554.08;34,300.00;-200.00;-0.57;765,873.00;26,464,040,500.00
2022-01-24;PFBCOLOM;34,450.00;34,530.00;34,390.12;34,200.00;-250.00;-0.72;498,920.00;17,157,918,140.00
2022-01-25;PFBCOLOM;34,590.00;34,790.00;34,440.06;34,110.00;140.00;0.41;516,963.00;17,804,234,530.00
2022-01-26;PFBCOLOM;34,380.00;35,000.00;34,573.37;34,380.00;-210.00;-0.61;601,242.00;20,786,962,650.00
2022-01-27;PFBCOLOM;34,200.00;34,740.00;34,240.19;34,030.00;-180.00;-0.52;461,552.00;15,803,626,910.00
2022-01-28;PFBCOLOM;35,200.00;35,220.00;34,995.95;34,280.00;1,000.00;2.92;983,464.00;34,417,252,860.00
2022-01-31;PFBCOLOM;35,240.00;35,400.00;35,108.12;34,640.00;40.00;0.11;340,040.00;11,938,164,110.00
2022-02-01;PFBCOLOM;34,670.00;35,500.00;34,733.80;34,500.00;-570.00;-1.62;420,374.00;14,601,187,590.00
2022-02-02;PFBCOLOM;34,940.00;35,100.00;34,951.14;34,410.00;270.00;0.78;555,812.00;19,426,260,890.00
2022-02-03;PFBCOLOM;34,960.00;35,200.00;34,989.98;34,700.00;20.00;0.06;356,000.00;12,456,433,220.00
2022-02-04;PFBCOLOM;34,710.00;35,100.00;34,970.51;34,710.00;-250.00;-0.72;208,492.00;7,291,072,580.00
2022-02-07;PFBCOLOM;35,500.00;35,600.00;35,421.07;35,100.00;790.00;2.28;313,729.00;11,112,618,360.00
2022-02-08;PFBCOLOM;35,000.00;35,500.00;34,890.11;34,520.00;-500.00;-1.41;411,150.00;14,345,066,690.00
2022-02-09;PFBCOLOM;34,670.00;35,380.00;34,866.24;34,530.00;-330.00;-0.94;310,203.00;10,815,610,780.00
2022-02-10;PFBCOLOM;33,800.00;34,610.00;34,121.62;33,650.00;-870.00;-2.51;656,601.00;22,404,289,310.00
2022-02-11;PFBCOLOM;33,200.00;34,110.00;33,501.47;33,010.00;-600.00;-1.78;805,784.00;26,994,950,570.00
2022-02-14;PFBCOLOM;33,330.00;33,590.00;33,365.05;33,020.00;130.00;0.39;269,161.00;8,980,569,610.00
2022-02-15;PFBCOLOM;33,690.00;33,840.00;33,598.26;33,350.00;360.00;1.08;284,308.00;9,552,253,840.00
2022-02-16;PFBCOLOM;34,290.00;34,700.00;34,219.73;33,750.00;600.00;1.78;500,467.00;17,125,847,580.00
2022-02-17;PFBCOLOM;33,960.00;34,470.00;34,220.79;33,960.00;-330.00;-0.96;192,044.00;6,571,896,960.00
2022-02-18;PFBCOLOM;33,650.00;34,170.00;33,849.87;33,500.00;-310.00;-0.91;437,081.00;14,795,135,810.00
2022-02-21;PFBCOLOM;33,580.00;33,780.00;33,585.45;33,400.00;-70.00;-0.21;159,183.00;5,346,232,590.00
2022-02-22;PFBCOLOM;33,700.00;33,930.00;33,669.48;33,500.00;120.00;0.36;692,011.00;23,299,650,460.00
2022-02-23;PFBCOLOM;34,500.00;35,490.00;34,971.52;34,170.00;800.00;2.37;1,390,587.00;48,630,937,710.00
2022-02-24;PFBCOLOM;34,180.00;34,300.00;34,067.59;33,770.00;-320.00;-0.93;730,115.00;24,873,260,860.00
2022-02-25;PFBCOLOM;34,600.00;34,700.00;34,324.39;34,050.00;420.00;1.23;449,351.00;15,423,698,300.00
2022-02-28;PFBCOLOM;34,800.00;35,690.00;35,092.53;34,090.00;200.00;0.58;2,322,424.00;81,499,727,600.00
