Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-06-17;PFCIBEST;43,120.00;43,700.00;43,369.93;43,120.00;-500.00;-1.15;412,003.00;17,868,539,440.00
2025-06-18;PFCIBEST;43,900.00;44,100.00;43,777.20;43,100.00;780.00;1.81;235,397.00;10,305,020,480.00
2025-06-19;PFCIBEST;44,100.00;44,100.00;44,012.78;43,840.00;200.00;0.46;65,978.00;2,903,875,120.00
2025-06-20;PFCIBEST;43,820.00;44,000.00;43,848.79;43,800.00;-280.00;-0.63;1,015,924.00;44,547,040,420.00
2025-06-24;PFCIBEST;45,760.00;45,900.00;45,162.79;43,840.00;1,940.00;4.43;1,583,877.00;71,532,300,800.00
2025-06-25;PFCIBEST;45,800.00;46,060.00;45,802.76;45,060.00;40.00;0.09;701,463.00;32,128,940,860.00
2025-06-26;PFCIBEST;45,860.00;46,160.00;45,899.62;45,600.00;60.00;0.13;309,524.00;14,207,035,100.00
2025-06-27;PFCIBEST;46,160.00;46,180.00;45,989.42;45,620.00;300.00;0.65;575,840.00;26,482,547,740.00
2025-07-01;PFCIBEST;45,820.00;47,000.00;46,318.76;45,780.00;-340.00;-0.74;644,737.00;29,863,417,040.00
2025-07-02;PFCIBEST;46,300.00;46,500.00;46,119.03;45,800.00;480.00;1.05;579,335.00;26,718,365,680.00
2025-07-03;PFCIBEST;45,540.00;46,580.00;45,830.66;45,500.00;-760.00;-1.64;226,100.00;10,362,311,120.00
2025-07-04;PFCIBEST;45,500.00;45,500.00;45,473.61;45,400.00;-40.00;-0.09;273,225.00;12,424,527,340.00
2025-07-07;PFCIBEST;45,500.00;45,800.00;45,451.80;45,320.00;0.00;0.00;276,374.00;12,561,695,920.00
2025-07-08;PFCIBEST;45,320.00;45,620.00;45,427.31;45,260.00;-180.00;-0.40;327,671.00;14,885,211,300.00
2025-07-09;PFCIBEST;44,800.00;45,380.00;44,976.51;44,800.00;-520.00;-1.15;308,140.00;13,859,060,660.00
2025-07-10;PFCIBEST;45,060.00;45,140.00;44,896.54;44,660.00;260.00;0.58;175,732.00;7,889,759,200.00
2025-07-11;PFCIBEST;44,480.00;45,080.00;44,597.17;44,440.00;-580.00;-1.29;364,488.00;16,255,134,480.00
2025-07-14;PFCIBEST;44,800.00;45,140.00;44,910.34;44,660.00;320.00;0.72;197,531.00;8,871,184,320.00
2025-07-15;PFCIBEST;45,000.00;45,040.00;44,823.98;44,460.00;200.00;0.45;293,510.00;13,156,284,920.00
2025-07-16;PFCIBEST;44,460.00;45,080.00;44,592.26;44,360.00;-540.00;-1.20;497,553.00;22,187,010,760.00
2025-07-17;PFCIBEST;46,600.00;46,600.00;46,179.41;44,900.00;2,140.00;4.81;589,140.00;27,206,136,580.00
2025-07-18;PFCIBEST;46,040.00;46,720.00;46,347.22;46,000.00;-560.00;-1.20;568,857.00;26,364,943,020.00
2025-07-21;PFCIBEST;46,200.00;46,600.00;46,386.98;46,200.00;160.00;0.35;391,791.00;18,174,000,180.00
2025-07-22;PFCIBEST;45,560.00;46,500.00;45,796.30;45,360.00;-640.00;-1.39;332,538.00;15,229,009,560.00
2025-07-23;PFCIBEST;45,300.00;45,740.00;45,450.70;45,300.00;-260.00;-0.57;448,180.00;20,370,093,960.00
2025-07-24;PFCIBEST;45,300.00;45,800.00;45,235.79;44,980.00;0.00;0.00;174,356.00;7,887,131,660.00
2025-07-25;PFCIBEST;45,560.00;45,560.00;45,392.63;45,200.00;260.00;0.57;227,824.00;10,341,531,300.00
2025-07-28;PFCIBEST;46,000.00;46,200.00;45,790.71;45,200.00;440.00;0.97;899,917.00;41,207,834,240.00
2025-07-29;PFCIBEST;45,700.00;46,400.00;46,057.34;45,680.00;-300.00;-0.65;778,771.00;35,868,122,200.00
2025-07-30;PFCIBEST;45,500.00;46,040.00;45,664.43;45,500.00;-200.00;-0.44;222,404.00;10,155,950,880.00
2025-07-31;PFCIBEST;45,800.00;46,000.00;45,677.22;45,300.00;300.00;0.66;301,783.00;13,784,609,320.00
2025-08-01;PFCIBEST;45,600.00;46,040.00;45,317.06;44,940.00;-200.00;-0.44;1,026,550.00;46,520,229,340.00
2025-08-04;PFCIBEST;45,840.00;46,300.00;45,861.79;45,500.00;240.00;0.53;317,787.00;14,574,280,300.00
2025-08-05;PFCIBEST;46,040.00;46,040.00;45,845.51;45,600.00;200.00;0.44;303,187.00;13,899,762,020.00
2025-08-06;PFCIBEST;46,100.00;46,220.00;46,062.25;45,900.00;60.00;0.13;358,494.00;16,513,041,940.00
2025-08-08;PFCIBEST;47,420.00;47,520.00;47,140.95;46,300.00;1,320.00;2.86;1,141,720.00;53,821,763,280.00
2025-08-11;PFCIBEST;48,280.00;48,500.00;48,309.07;47,500.00;860.00;1.81;499,902.00;24,149,799,260.00
2025-08-12;PFCIBEST;48,840.00;49,120.00;48,655.06;48,140.00;560.00;1.16;408,400.00;19,870,725,420.00
2025-08-13;PFCIBEST;48,660.00;49,340.00;49,004.53;48,660.00;-180.00;-0.37;346,189.00;16,964,830,160.00
2025-08-14;PFCIBEST;49,360.00;49,600.00;49,286.55;48,820.00;700.00;1.44;581,395.00;28,654,953,240.00
2025-08-15;PFCIBEST;49,800.00;50,060.00;49,685.08;48,880.00;440.00;0.89;471,668.00;23,434,860,260.00
2025-08-19;PFCIBEST;49,320.00;50,100.00;49,641.01;49,300.00;-480.00;-0.96;589,480.00;29,262,384,600.00
