Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-08-20;PFCEMARGOS;11,320.00;;11,246.38;;;;1,495.00;16,813,340.00
2025-08-21;PFCEMARGOS;10,800.00;11,320.00;11,103.52;10,700.00;-520.00;-4.59;21,532.00;239,080,920.00
2025-08-22;PFCEMARGOS;10,800.00;;10,879.55;;;;4,012.00;43,648,740.00
2025-08-25;PFCEMARGOS;10,800.00;;10,848.83;;;;1,441.00;15,633,160.00
2025-08-26;PFCEMARGOS;10,800.00;;10,863.98;;;;1,790.00;19,446,520.00
2025-08-27;PFCEMARGOS;10,800.00;;10,911.90;;;;1,271.00;13,869,020.00
2025-08-28;PFCEMARGOS;10,820.00;10,820.00;11,003.94;10,820.00;20.00;0.19;2,427.00;26,706,560.00
2025-08-29;PFCEMARGOS;10,900.00;10,900.00;11,173.71;10,900.00;80.00;0.74;3,734.00;41,722,620.00
2025-09-01;PFCEMARGOS;11,400.00;11,400.00;11,375.41;11,400.00;500.00;4.59;3,960.00;45,046,640.00
2025-09-02;PFCEMARGOS;11,400.00;;11,446.31;;;;2,558.00;29,279,660.00
2025-09-03;PFCEMARGOS;11,400.00;;11,295.98;;;;1,522.00;17,192,480.00
2025-09-04;PFCEMARGOS;11,400.00;;11,171.67;;;;2,382.00;26,610,920.00
2025-09-05;PFCEMARGOS;11,400.00;;11,286.29;;;;1,316.00;14,852,760.00
2025-09-08;PFCEMARGOS;11,400.00;;11,207.39;;;;2,038.00;22,840,660.00
2025-09-09;PFCEMARGOS;11,300.00;11,300.00;11,264.91;11,300.00;-100.00;-0.88;3,372.00;37,985,280.00
2025-09-10;PFCEMARGOS;11,300.00;;11,251.40;;;;1,486.00;16,719,580.00
2025-09-11;PFCEMARGOS;11,300.00;;11,384.78;;;;1,881.00;21,414,780.00
2025-09-12;PFCEMARGOS;11,300.00;;11,239.83;;;;1,449.00;16,286,520.00
2025-09-15;PFCEMARGOS;11,400.00;11,400.00;11,594.22;11,400.00;100.00;0.88;9,345.00;108,348,020.00
2025-09-16;PFCEMARGOS;11,400.00;;11,704.54;;;;2,095.00;24,521,020.00
2025-09-17;PFCEMARGOS;11,400.00;;11,917.16;;;;2,320.00;27,647,820.00
2025-09-18;PFCEMARGOS;11,400.00;;12,019.69;;;;2,725.00;32,753,660.00
2025-09-19;PFCEMARGOS;12,380.00;12,380.00;12,394.63;12,380.00;980.00;8.60;13,684.00;169,608,180.00
2025-09-22;PFCEMARGOS;12,380.00;;12,465.56;;;;5,777.00;72,013,560.00
2025-09-23;PFCEMARGOS;12,380.00;;13,193.24;;;;5,378.00;70,953,260.00
2025-09-24;PFCEMARGOS;12,380.00;;12,696.64;;;;1,233.00;15,654,960.00
2025-09-25;PFCEMARGOS;12,380.00;;12,855.48;;;;739.00;9,500,200.00
2025-09-26;PFCEMARGOS;;;12,933.57;;;;2,646.00;34,222,220.00
