Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-08-26;PFCORFICOL;21,760.00;22,000.00;21,823.15;21,600.00;-380.00;-1.72;50,777.00;1,108,113,900.00
2020-08-27;PFCORFICOL;22,000.00;22,160.00;21,992.46;21,780.00;240.00;1.10;36,504.00;802,812,720.00
2020-08-28;PFCORFICOL;21,900.00;22,160.00;21,907.04;21,900.00;-100.00;-0.45;51,961.00;1,138,311,660.00
2020-08-31;PFCORFICOL;21,680.00;21,800.00;21,664.29;21,540.00;-220.00;-1.00;3,000.00;64,992,880.00
2020-09-01;PFCORFICOL;22,200.00;22,200.00;22,090.96;21,780.00;520.00;2.40;56,743.00;1,253,507,520.00
2020-09-02;PFCORFICOL;22,160.00;22,400.00;22,264.59;22,100.00;-40.00;-0.18;31,002.00;690,246,760.00
2020-09-03;PFCORFICOL;22,120.00;22,180.00;22,040.08;21,620.00;-40.00;-0.18;39,618.00;873,184,020.00
2020-09-04;PFCORFICOL;22,000.00;22,100.00;22,056.46;22,000.00;-120.00;-0.54;12,658.00;279,190,700.00
2020-09-07;PFCORFICOL;21,760.00;21,760.00;21,743.58;21,700.00;-240.00;-1.09;3,176.00;69,057,620.00
2020-09-08;PFCORFICOL;21,780.00;21,780.00;21,770.25;21,760.00;20.00;0.09;4,235.00;92,197,020.00
2020-09-09;PFCORFICOL;22,000.00;22,000.00;22,000.00;22,000.00;220.00;1.01;3,972.00;87,384,000.00
2020-09-10;PFCORFICOL;21,700.00;21,980.00;21,773.52;21,560.00;-300.00;-1.36;11,537.00;251,201,120.00
2020-09-11;PFCORFICOL;22,000.00;22,000.00;21,988.99;21,700.00;300.00;1.38;29,110.00;640,099,520.00
2020-09-14;PFCORFICOL;22,000.00;22,000.00;21,966.17;22,000.00;0.00;0.00;1,244.00;27,325,920.00
2020-09-15;PFCORFICOL;22,000.00;0.00;21,757.14;0.00;0.00;0.00;140.00;3,046,000.00
2020-09-16;PFCORFICOL;22,000.00;0.00;21,889.24;0.00;0.00;0.00;1,035.00;22,655,360.00
2020-09-17;PFCORFICOL;21,700.00;21,700.00;21,729.04;21,700.00;-300.00;-1.36;2,362.00;51,324,000.00
2020-09-18;PFCORFICOL;21,600.00;21,620.00;21,608.53;21,600.00;-100.00;-0.46;6,623.00;143,113,280.00
2020-09-21;PFCORFICOL;21,600.00;21,600.00;21,264.13;20,900.00;0.00;0.00;3,120.00;66,344,100.00
2020-09-22;PFCORFICOL;21,600.00;0.00;21,838.18;0.00;0.00;0.00;396.00;8,647,920.00
2020-09-23;PFCORFICOL;21,400.00;21,600.00;21,503.55;21,400.00;-200.00;-0.93;1,634.00;35,136,800.00
2020-09-24;PFCORFICOL;21,220.00;21,460.00;21,268.36;21,200.00;-180.00;-0.84;7,553.00;160,639,960.00
2020-09-25;PFCORFICOL;21,500.00;21,500.00;21,473.16;21,200.00;280.00;1.32;37,636.00;808,163,700.00
2020-09-28;PFCORFICOL;21,660.00;21,660.00;21,613.00;21,500.00;160.00;0.74;1,908.00;41,237,600.00
2020-09-29;PFCORFICOL;21,620.00;21,620.00;21,392.57;21,100.00;-40.00;-0.18;9,512.00;203,486,120.00
2020-09-30;PFCORFICOL;21,400.00;21,580.00;21,498.04;21,400.00;-220.00;-1.02;26,390.00;567,333,240.00
2020-10-01;PFCORFICOL;21,100.00;21,320.00;21,289.09;21,100.00;-300.00;-1.40;3,374.00;71,829,400.00
2020-10-02;PFCORFICOL;21,120.00;21,120.00;21,120.00;21,120.00;20.00;0.09;2,491.00;52,609,920.00
2020-10-05;PFCORFICOL;21,210.00;21,260.00;21,220.69;21,130.00;90.00;0.43;3,689.00;78,283,110.00
2020-10-06;PFCORFICOL;21,210.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-10-07;PFCORFICOL;21,320.00;21,320.00;21,330.71;21,320.00;110.00;0.52;605.00;12,905,080.00
2020-10-08;PFCORFICOL;21,500.00;21,500.00;21,509.11;21,500.00;180.00;0.84;9,875.00;212,402,500.00
2020-10-09;PFCORFICOL;21,500.00;0.00;21,700.00;0.00;0.00;0.00;162.00;3,515,400.00
2020-10-13;PFCORFICOL;21,320.00;21,370.00;21,335.37;21,320.00;-180.00;-0.84;11,157.00;238,038,730.00
2020-10-14;PFCORFICOL;21,200.00;21,320.00;21,274.42;21,200.00;-120.00;-0.56;2,322.00;49,399,210.00
2020-10-15;PFCORFICOL;21,200.00;21,250.00;21,166.51;21,120.00;0.00;0.00;7,584.00;160,526,780.00
2020-10-16;PFCORFICOL;21,130.00;21,130.00;21,170.91;21,130.00;-70.00;-0.33;1,182.00;25,024,020.00
2020-10-19;PFCORFICOL;21,500.00;21,500.00;21,500.00;21,500.00;370.00;1.75;33,276.00;715,434,000.00
2020-10-20;PFCORFICOL;21,800.00;21,800.00;21,681.84;21,500.00;300.00;1.40;11,735.00;254,436,430.00
2020-10-21;PFCORFICOL;21,800.00;21,800.00;21,754.53;21,500.00;0.00;0.00;12,958.00;281,895,140.00
2020-10-22;PFCORFICOL;21,700.00;21,700.00;21,700.00;21,700.00;-100.00;-0.46;455.00;9,873,500.00
2020-10-23;PFCORFICOL;21,700.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-10-26;PFCORFICOL;21,700.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-10-27;PFCORFICOL;21,500.00;21,500.00;21,500.00;21,500.00;-200.00;-0.92;9,862.00;212,033,000.00
2020-10-28;PFCORFICOL;21,500.00;21,500.00;21,118.78;21,000.00;0.00;0.00;7,211.00;152,287,500.00
2020-10-29;PFCORFICOL;21,440.00;21,440.00;20,985.98;20,450.00;-60.00;-0.28;3,763.00;78,970,250.00
2020-10-30;PFCORFICOL;20,520.00;20,520.00;20,527.04;20,520.00;-920.00;-4.29;35,361.00;725,856,600.00
2020-11-03;PFCORFICOL;20,520.00;20,880.00;20,699.08;20,500.00;0.00;0.00;11,939.00;247,126,350.00
2020-11-04;PFCORFICOL;20,520.00;0.00;20,863.55;0.00;0.00;0.00;555.00;11,579,270.00
2020-11-05;PFCORFICOL;21,080.00;21,080.00;21,076.39;20,880.00;560.00;2.73;51,241.00;1,079,975,130.00
2020-11-06;PFCORFICOL;21,200.00;21,200.00;21,148.99;21,200.00;120.00;0.57;4,674.00;98,850,400.00
2020-11-09;PFCORFICOL;21,800.00;22,000.00;21,932.54;21,400.00;600.00;2.83;28,655.00;628,476,850.00
2020-11-10;PFCORFICOL;21,800.00;21,800.00;21,692.87;21,210.00;0.00;0.00;61,625.00;1,336,822,820.00
2020-11-11;PFCORFICOL;22,000.00;22,000.00;21,971.31;21,880.00;200.00;0.92;28,546.00;627,192,990.00
2020-11-12;PFCORFICOL;21,980.00;22,000.00;21,993.52;21,610.00;-20.00;-0.09;55,224.00;1,214,570,000.00
2020-11-13;PFCORFICOL;22,000.00;22,300.00;22,138.61;21,700.00;20.00;0.09;14,749.00;326,522,390.00
