Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-09-29;PFDAVVNDA;24,300.00;24,500.00;24,493.93;24,300.00;-260.00;-1.06;207,532.00;5,083,274,040.00
2025-09-30;PFDAVVNDA;24,520.00;24,900.00;24,727.05;24,500.00;220.00;0.91;48,454.00;1,198,124,420.00
2025-10-01;PFDAVVNDA;24,500.00;24,700.00;24,554.05;24,500.00;-20.00;-0.08;59,967.00;1,472,432,640.00
2025-10-02;PFDAVVNDA;24,660.00;24,660.00;24,499.37;24,400.00;160.00;0.65;77,435.00;1,897,108,960.00
2025-10-03;PFDAVVNDA;24,420.00;24,680.00;24,594.26;24,420.00;-240.00;-0.97;19,391.00;476,907,200.00
2025-10-06;PFDAVVNDA;24,700.00;24,700.00;24,606.44;24,500.00;280.00;1.15;11,582.00;284,991,820.00
2025-10-07;PFDAVVNDA;24,780.00;24,780.00;24,664.21;24,540.00;80.00;0.32;37,236.00;918,396,500.00
2025-10-08;PFDAVVNDA;24,800.00;24,800.00;24,664.79;24,540.00;20.00;0.08;19,132.00;471,886,800.00
2025-10-09;PFDAVVNDA;25,100.00;25,300.00;25,043.77;24,780.00;300.00;1.21;101,068.00;2,531,123,800.00
2025-10-10;PFDAVVNDA;25,200.00;25,200.00;25,052.06;25,000.00;100.00;0.40;135,755.00;3,400,942,540.00
2025-10-14;PFDAVVNDA;25,340.00;25,500.00;25,353.48;25,140.00;140.00;0.56;421,693.00;10,691,383,460.00
2025-10-15;PFDAVVNDA;25,540.00;25,560.00;25,449.57;25,340.00;200.00;0.79;127,247.00;3,238,381,800.00
2025-10-16;PFDAVVNDA;26,760.00;26,900.00;25,824.27;25,540.00;1,220.00;4.78;465,971.00;12,033,362,160.00
2025-10-17;PFDAVVNDA;27,300.00;27,380.00;27,100.54;26,300.00;540.00;2.02;260,049.00;7,047,469,240.00
2025-10-18;PFDAVVNDA;;27,300.00;;27,300.00;0.00;;;
2025-10-20;PFDAVVNDA;27,420.00;28,000.00;27,580.88;26,900.00;120.00;0.44;118,639.00;3,272,168,200.00
2025-10-21;PFDAVVNDA;27,720.00;27,800.00;27,549.06;27,300.00;300.00;1.09;681,388.00;18,771,597,100.00
2025-10-22;PFDAVVNDA;28,040.00;28,660.00;28,227.09;27,760.00;320.00;1.15;145,727.00;4,113,448,640.00
2025-10-23;PFDAVVNDA;28,400.00;28,420.00;28,196.81;28,000.00;360.00;1.28;56,196.00;1,584,547,880.00
2025-10-24;PFDAVVNDA;29,100.00;29,460.00;29,143.38;28,460.00;700.00;2.46;347,299.00;10,121,467,560.00
2025-10-27;PFDAVVNDA;29,700.00;29,900.00;29,493.63;29,100.00;600.00;2.06;101,169.00;2,983,841,100.00
2025-10-28;PFDAVVNDA;30,100.00;31,480.00;30,780.37;29,980.00;400.00;1.35;189,750.00;5,840,574,360.00
2025-10-29;PFDAVVNDA;29,600.00;30,900.00;29,886.77;29,400.00;-500.00;-1.66;404,728.00;12,096,013,460.00
2025-10-30;PFDAVVNDA;28,600.00;29,520.00;29,003.23;28,500.00;-1,000.00;-3.38;144,445.00;4,189,371,400.00
2025-10-31;PFDAVVNDA;27,820.00;28,600.00;28,092.35;27,800.00;-780.00;-2.73;307,182.00;8,629,465,180.00
2025-11-04;PFDAVVNDA;28,020.00;28,480.00;28,151.44;28,000.00;200.00;0.72;130,729.00;3,680,209,560.00
2025-11-05;PFDAVVNDA;27,840.00;28,480.00;28,120.87;27,840.00;-180.00;-0.64;232,610.00;6,541,196,500.00
2025-11-06;PFDAVVNDA;27,800.00;28,360.00;28,009.55;27,800.00;-40.00;-0.14;275,603.00;7,719,516,840.00
2025-11-07;PFDAVVNDA;28,240.00;28,340.00;28,051.53;27,780.00;440.00;1.58;183,750.00;5,154,469,420.00
2025-11-08;PFDAVVNDA;28,240.00;28,240.00;;28,240.00;0.00;;;
