Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2025-04-22;PFGRUPOARG;16,700.00;16,780.00;16,682.14;16,600.00;60.00;0.36;79,235.00;1,321,809,160.00
2025-04-23;PFGRUPOARG;16,700.00;16,800.00;16,658.94;16,520.00;0.00;0.00;35,032.00;583,595,980.00
2025-04-24;PFGRUPOARG;16,460.00;16,520.00;16,454.65;16,280.00;-240.00;-1.44;924,977.00;15,220,175,020.00
2025-04-25;PFGRUPOARG;16,600.00;16,620.00;16,533.66;16,320.00;140.00;0.85;99,599.00;1,646,736,160.00
2025-04-28;PFGRUPOARG;16,500.00;16,700.00;16,558.94;16,480.00;-100.00;-0.60;93,049.00;1,540,793,140.00
2025-04-29;PFGRUPOARG;16,500.00;16,520.00;16,500.25;16,500.00;0.00;0.00;72,660.00;1,198,908,480.00
2025-04-30;PFGRUPOARG;16,500.00;16,500.00;16,499.32;16,500.00;0.00;;95,839.00;1,581,278,140.00
2025-05-02;PFGRUPOARG;16,520.00;16,580.00;16,507.16;16,460.00;20.00;0.12;302,191.00;4,988,313,980.00
2025-05-05;PFGRUPOARG;16,800.00;16,880.00;16,733.25;16,800.00;280.00;1.69;5,739.00;96,032,120.00
2025-05-06;PFGRUPOARG;16,800.00;16,800.00;16,689.11;16,500.00;0.00;0.00;18,002.00;300,437,320.00
2025-05-07;PFGRUPOARG;16,580.00;16,800.00;16,523.35;16,440.00;-220.00;-1.31;124,247.00;2,052,976,580.00
