Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2022-03-01;PFGRUPSURA;23,000.00;24,500.00;23,349.86;22,840.00;-50.00;-0.22;355,624.00;8,303,770,630.00
2022-03-02;PFGRUPSURA;22,500.00;23,000.00;22,710.52;22,500.00;-500.00;-2.17;48,437.00;1,100,029,660.00
2022-03-03;PFGRUPSURA;22,700.00;22,830.00;22,687.21;22,480.00;200.00;0.89;19,904.00;451,566,220.00
2022-03-04;PFGRUPSURA;22,600.00;22,850.00;22,644.57;22,310.00;-100.00;-0.44;92,313.00;2,090,387,810.00
2022-03-07;PFGRUPSURA;22,620.00;23,000.00;22,617.14;22,610.00;20.00;0.09;844,818.00;19,107,366,780.00
2022-03-08;PFGRUPSURA;22,780.00;22,800.00;22,683.78;22,630.00;160.00;0.71;96,591.00;2,191,048,770.00
2022-03-09;PFGRUPSURA;22,730.00;22,980.00;22,717.06;22,610.00;-50.00;-0.22;254,823.00;5,788,829,590.00
2022-03-10;PFGRUPSURA;22,900.00;23,000.00;22,572.40;22,300.00;170.00;0.75;210,371.00;4,748,578,450.00
2022-03-11;PFGRUPSURA;22,560.00;22,870.00;22,633.50;22,420.00;-340.00;-1.48;33,611.00;760,734,410.00
2022-03-14;PFGRUPSURA;22,610.00;22,740.00;22,597.06;22,560.00;50.00;0.22;40,252.00;909,576,740.00
2022-03-15;PFGRUPSURA;22,690.00;22,690.00;22,501.38;22,360.00;80.00;0.35;43,967.00;989,318,010.00
2022-03-16;PFGRUPSURA;22,650.00;22,780.00;22,574.26;22,420.00;-40.00;-0.18;23,123.00;521,984,650.00
2022-03-17;PFGRUPSURA;22,680.00;22,680.00;22,542.91;22,470.00;30.00;0.13;25,482.00;574,438,360.00
2022-03-18;PFGRUPSURA;21,900.00;22,510.00;21,943.94;21,900.00;-780.00;-3.44;221,154.00;4,852,990,290.00
2022-03-22;PFGRUPSURA;22,360.00;22,470.00;22,227.04;22,030.00;460.00;2.10;85,083.00;1,891,143,350.00
2022-03-23;PFGRUPSURA;22,800.00;22,990.00;22,626.36;22,360.00;440.00;1.97;36,628.00;828,758,470.00
2022-03-24;PFGRUPSURA;23,300.00;23,370.00;23,036.92;22,700.00;500.00;2.19;231,793.00;5,339,797,690.00
2022-03-25;PFGRUPSURA;23,090.00;23,740.00;23,259.32;23,040.00;-210.00;-0.90;472,635.00;10,993,167,970.00
2022-03-28;PFGRUPSURA;23,140.00;23,200.00;23,080.53;22,920.00;50.00;0.22;79,964.00;1,845,611,230.00
2022-03-29;PFGRUPSURA;23,280.00;23,500.00;23,303.19;23,190.00;140.00;0.61;203,155.00;4,734,159,820.00
2022-03-30;PFGRUPSURA;22,900.00;23,560.00;22,998.62;22,680.00;-380.00;-1.63;162,769.00;3,743,462,630.00
2022-03-31;PFGRUPSURA;22,300.00;22,980.00;22,412.33;22,120.00;-600.00;-2.62;79,815.00;1,788,839,940.00
2022-04-01;PFGRUPSURA;22,400.00;22,900.00;22,491.64;22,360.00;100.00;0.45;68,737.00;1,546,007,950.00
2022-04-04;PFGRUPSURA;22,100.00;22,600.00;22,241.15;22,100.00;-300.00;-1.34;62,881.00;1,398,545,620.00
2022-04-05;PFGRUPSURA;22,100.00;22,400.00;22,090.23;21,900.00;0.00;0.00;59,071.00;1,304,892,180.00
2022-04-06;PFGRUPSURA;21,790.00;22,100.00;21,815.80;21,310.00;-310.00;-1.40;63,394.00;1,382,990,680.00
2022-04-07;PFGRUPSURA;21,650.00;21,740.00;21,665.82;21,610.00;-140.00;-0.64;44,770.00;969,978,700.00
