Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2022-03-01;PROMIGAS;7,150.00;7,170.00;7,138.86;7,100.00;-60.00;-0.83;27,886.00;199,074,225.00
2022-03-02;PROMIGAS;7,060.00;7,150.00;7,066.22;7,050.00;-90.00;-1.26;21,340.00;150,793,080.00
2022-03-03;PROMIGAS;7,090.00;7,130.00;7,085.12;7,060.00;30.00;0.42;13,895.00;98,447,730.00
2022-03-04;PROMIGAS;7,050.00;7,100.00;7,078.48;7,045.00;-40.00;-0.56;293,263.00;2,075,857,525.00
2022-03-07;PROMIGAS;7,050.00;7,195.00;7,076.94;7,050.00;0.00;0.00;40,431.00;286,127,770.00
2022-03-08;PROMIGAS;7,000.00;7,200.00;7,048.81;7,000.00;-50.00;-0.71;69,995.00;493,381,245.00
2022-03-09;PROMIGAS;7,025.00;7,150.00;7,030.43;7,000.00;25.00;0.36;35,216.00;247,583,640.00
2022-03-10;PROMIGAS;7,005.00;7,110.00;7,028.60;7,005.00;-20.00;-0.28;29,100.00;204,532,245.00
2022-03-11;PROMIGAS;7,005.00;7,100.00;7,051.90;7,005.00;0.00;0.00;93,989.00;662,800,995.00
2022-03-14;PROMIGAS;7,000.00;7,005.00;7,006.10;7,000.00;-5.00;-0.07;19,181.00;134,384,055.00
2022-03-15;PROMIGAS;7,100.00;7,100.00;7,087.05;7,005.00;100.00;1.43;11,487.00;81,408,980.00
2022-03-16;PROMIGAS;7,100.00;7,100.00;7,100.27;7,100.00;0.00;;11,631.00;82,583,215.00
2022-03-17;PROMIGAS;7,150.00;7,150.00;7,148.62;7,150.00;50.00;0.70;11,442.00;81,794,560.00
2022-03-18;PROMIGAS;7,230.00;7,230.00;7,209.09;7,190.00;80.00;1.12;20,848.00;150,295,065.00
2022-03-22;PROMIGAS;7,200.00;7,320.00;7,216.17;7,200.00;-30.00;-0.41;13,232.00;95,484,355.00
2022-03-23;PROMIGAS;7,200.00;7,200.00;7,048.48;7,200.00;0.00;;2,746.00;19,355,120.00
2022-03-24;PROMIGAS;7,355.00;7,355.00;7,308.50;7,200.00;155.00;2.15;29,572.00;216,127,100.00
2022-03-25;PROMIGAS;7,375.00;7,400.00;7,375.18;7,345.00;20.00;0.27;61,377.00;452,666,400.00
2022-03-28;PROMIGAS;7,200.00;7,375.00;7,302.50;7,200.00;-175.00;-2.37;16,077.00;117,402,310.00
2022-03-29;PROMIGAS;7,205.00;7,205.00;7,207.95;7,205.00;5.00;0.07;5,448.00;39,268,930.00
2022-03-30;PROMIGAS;7,200.00;7,200.00;7,219.19;7,200.00;-5.00;-0.07;14,976.00;108,114,535.00
2022-03-31;PROMIGAS;7,200.00;7,200.00;7,224.43;7,200.00;0.00;;9,612.00;69,441,245.00
2022-04-01;PROMIGAS;7,200.00;7,200.00;7,221.37;7,200.00;0.00;;6,332.00;45,725,720.00
2022-04-04;PROMIGAS;7,050.00;7,220.00;7,089.39;7,050.00;-150.00;-2.08;189,134.00;1,340,844,070.00
2022-04-05;PROMIGAS;7,090.00;7,150.00;7,096.46;7,050.00;40.00;0.57;38,404.00;272,532,610.00
2022-04-06;PROMIGAS;7,050.00;7,090.00;7,040.64;7,000.00;-40.00;-0.56;33,769.00;237,755,510.00
2022-04-07;PROMIGAS;6,960.00;7,015.00;7,004.70;6,960.00;-90.00;-1.28;40,840.00;286,072,015.00
2022-04-08;PROMIGAS;6,460.00;7,080.00;6,477.59;6,460.00;-500.00;-7.18;1,522,792.00;9,864,015,995.00
2022-04-11;PROMIGAS;6,970.00;7,100.00;6,927.11;6,850.00;510.00;7.89;227,922.00;1,578,840,770.00
2022-04-12;PROMIGAS;6,965.00;7,045.00;6,970.37;6,940.00;-5.00;-0.07;168,060.00;1,171,441,035.00
2022-04-13;PROMIGAS;6,990.00;6,990.00;6,957.48;6,950.00;25.00;0.36;103,178.00;717,858,875.00
2022-04-18;PROMIGAS;6,980.00;7,030.00;6,990.38;6,960.00;-10.00;-0.14;39,276.00;274,554,120.00
2022-04-19;PROMIGAS;7,000.00;7,000.00;6,984.09;6,950.00;20.00;0.29;104,382.00;729,013,480.00
2022-04-20;PROMIGAS;6,920.00;7,005.00;6,957.38;6,910.00;-80.00;-1.14;30,797.00;214,266,325.00
2022-04-21;PROMIGAS;6,930.00;6,950.00;6,943.53;6,930.00;10.00;0.14;19,606.00;136,134,765.00
2022-04-22;PROMIGAS;6,970.00;6,970.00;6,942.13;6,935.00;40.00;0.58;161,997.00;1,124,604,800.00
2022-04-25;PROMIGAS;6,980.00;6,980.00;6,940.72;6,905.00;10.00;0.14;18,962.00;131,609,840.00
2022-04-26;PROMIGAS;6,910.00;6,970.00;6,936.52;6,910.00;-70.00;-1.00;30,757.00;213,346,430.00
2022-04-27;PROMIGAS;6,910.00;6,950.00;6,927.52;6,910.00;0.00;0.00;15,430.00;106,891,630.00
2022-04-28;PROMIGAS;6,905.00;6,910.00;6,908.88;6,905.00;-5.00;-0.07;8,604.00;59,444,015.00
2022-04-29;PROMIGAS;6,965.00;6,965.00;6,962.56;6,950.00;60.00;0.87;14,257.00;99,265,180.00
2022-05-02;PROMIGAS;6,845.00;6,960.00;6,929.32;6,845.00;-120.00;-1.72;34,108.00;236,345,385.00
2022-05-03;PROMIGAS;6,800.00;6,850.00;6,833.97;6,800.00;-45.00;-0.66;35,278.00;241,088,805.00
2022-05-04;PROMIGAS;6,800.00;6,950.00;6,880.77;6,800.00;0.00;0.00;29,806.00;205,088,270.00
2022-05-05;PROMIGAS;6,860.00;6,950.00;6,938.19;6,860.00;60.00;0.88;21,345.00;148,095,730.00
2022-05-06;PROMIGAS;6,850.00;6,900.00;6,894.58;6,850.00;-10.00;-0.15;49,209.00;339,275,440.00
2022-05-09;PROMIGAS;6,800.00;6,850.00;6,823.79;6,800.00;-50.00;-0.73;21,433.00;146,254,380.00
2022-05-10;PROMIGAS;6,825.00;6,900.00;6,831.11;6,800.00;25.00;0.37;49,917.00;340,988,435.00
2022-05-11;PROMIGAS;6,850.00;6,850.00;6,849.66;6,840.00;25.00;0.37;107,584.00;736,914,020.00
