,5 days,30 days,90 days,180 days,252 days
BBVA_Precio cierre,,-0.061898445782213034,0.2832830109867061,0.3059502376314209,-0.43169825934034856
BCOLOMBIA_Precio cierre,inf,-0.09228957848579676,0.9707395897956662,0.9827119124803088,0.9884197063449306
BHI_Precio cierre,,-0.6587471100792849,0.8363144445059861,0.8663387578369051,0.825277337517799
BMC_Precio cierre,,-0.11186592711427983,0.28749381227345255,0.48969523617114696,0.5589053854058904
BOGOTA_Precio cierre,,-0.21293628956795785,0.815082609329252,0.9413961801801682,0.9557238410183216
BVC_Precio cierre,,-0.16021364236700048,0.6699936734767963,0.5710199767116237,0.841010250495982
CELSIA_Precio cierre,,0.26244724765529776,0.7256931085549585,0.8469440890455443,0.8226639275301564
CEMARGOS_Precio cierre,-inf,0.16190464606626773,-0.30841130354040436,0.011174855339312858,0.6460056530139235
CNEC_Precio cierre,-inf,-0.26489124804684966,-0.5131624361801826,-0.7915466553798695,-0.74778911816933
CONCONCRETO_Precio cierre,,0.19031177824834863,-0.8958833248659058,-0.7820896674464639,0.3692853173524975
CORFICOL_Precio cierre,-inf,0.0213512567667268,-0.15008655565744192,0.5100436614901546,0.800147036156053
ECOPETROL_Precio cierre,,-0.10762374203266604,-0.2112633721734277,-0.2996727998193396,0.1313691264470233
ENKA_Precio cierre,,-0.320302004256308,0.8096954166874477,0.9193287887197696,0.9276552362956778
ETB_Precio cierre,,-0.5570860123590532,-0.9414473156875033,-0.7461772559817612,-0.9084342136428992
EXITO_Precio cierre,,-0.038365100570245544,0.8303116167920357,0.8206599558867497,0.6386552390316164
FABRICATO_Precio cierre,,-0.06857075555500727,0.6375957696928296,0.8137328647667316,0.5461211507462471
GEB_Precio cierre,-inf,0.2548492921169776,-0.23704097608231042,0.7467438269474631,0.8930050484253794
GRUBOLIVAR_Precio cierre,,-0.23817512983433786,0.857122484100514,0.7994410234159987,0.8942597373502837
GRUPOARGOS_Precio cierre,inf,0.10180515193529256,-0.8124690937525055,-0.3694041610310618,0.03311272407709061
GRUPOAVAL_Precio cierre,,,,-inf,-inf
GRUPOSURA_Precio cierre,,0.2628352637699847,-0.3126022376623806,0.6518359128520749,0.8475707769626776
GXTESCOL_Precio cierre,,-0.15835690809625314,0.9116865634418045,0.8734999107544621,0.5169067589354354
HCOLSEL_Precio cierre,,-0.1252832383077538,0.9889644784636964,0.9864539045500045,0.9934331955558979
ICOLCAP_Precio cierre,inf,0.016595701690740414,0.992181665390044,0.9857415998411126,0.994319686392278
ISA_Precio cierre,,0.21982662875902337,0.9235090456546035,0.9050696249485096,0.9255166140581225
MINEROS_Precio cierre,,-0.36575651476435767,0.828628320762048,0.8901756130765345,0.9268624054300657
NUTRESA_Precio cierre,,-0.3389118338823697,0.8117519120186477,0.9272694411732907,0.9708135357796259
PEI_Precio cierre,,-0.23183155871759428,0.6838480273272289,0.47102734037050104,0.5458712958981878
PFAVAL_Precio cierre,,,,-inf,-inf
PFBCOLOMBIA_Precio cierre,inf,-0.18461320509311535,0.9545026757807717,0.972866151507304,0.9886534989788167
PFCEMARGOS_Precio cierre,,-0.042243662961513405,0.6800920805529429,0.35438624937459723,0.7265733747788438
PFCORFICOL_Precio cierre,,-0.04416500457099843,0.7548962627553188,0.535143543542997,0.8187724675004829
PFDAVVNDA_Precio cierre,,0.35500045174678746,0.6853153015974374,0.8800660364389723,0.9208684223474147
PFGRUPARG_Precio cierre,,0.10262785332367376,-0.8776332468220782,-0.5000981233632706,0.029937300150194513
PFGRUPOSURA_Precio cierre,inf,0.18039483175905244,-0.5680074631391302,0.571684118892187,0.858281759286641
PROMIGAS_Precio cierre,,0.3001879347615292,-0.5625625681350909,-0.7160623547302917,-0.8816091277935728
TERPEL_Precio cierre,,-0.1832643343147505,0.8918786746007428,0.7230618311392522,0.8431032138060799
