Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-03-12;TERPEL;9,000.00;9,160.00;9,021.19;9,000.00;-950.00;-9.55;48,282.00;435,560,980.00
2020-03-13;TERPEL;9,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-16;TERPEL;9,000.00;0.00;9,000.00;0.00;0.00;0.00;333.00;2,997,000.00
2020-03-17;TERPEL;9,000.00;9,000.00;9,000.00;9,000.00;0.00;0.00;5,555.00;49,995,000.00
2020-03-18;TERPEL;8,800.00;8,800.00;8,800.00;8,800.00;-200.00;-2.22;5,681.00;49,992,800.00
2020-03-19;TERPEL;8,800.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-20;TERPEL;8,000.00;8,000.00;8,039.43;8,000.00;-800.00;-9.09;5,986.00;48,124,000.00
2020-03-24;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-25;TERPEL;8,000.00;8,000.00;8,000.00;8,000.00;0.00;0.00;3,958.00;31,664,000.00
2020-03-26;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-27;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-30;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-03-31;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-04-01;TERPEL;8,000.00;8,000.00;8,000.00;8,000.00;0.00;0.00;35,643.00;285,144,000.00
2020-04-02;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-04-03;TERPEL;8,000.00;8,020.00;8,021.39;8,000.00;0.00;0.00;8,355.00;67,018,700.00
2020-04-06;TERPEL;8,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-04-07;TERPEL;8,300.00;8,300.00;8,300.00;8,300.00;300.00;3.75;12,400.00;102,920,000.00
2020-04-08;TERPEL;8,250.00;8,300.00;8,347.21;8,250.00;-50.00;-0.60;8,025.00;66,986,400.00
2020-04-13;TERPEL;8,310.00;8,310.00;8,307.02;8,310.00;60.00;0.73;2,850.00;23,675,000.00
2020-04-14;TERPEL;8,310.00;8,310.00;8,310.00;8,310.00;0.00;0.00;8,983.00;74,648,730.00
2020-04-15;TERPEL;8,100.00;8,100.00;8,100.00;8,100.00;-210.00;-2.53;1,750.00;14,175,000.00
2020-04-16;TERPEL;8,100.00;8,100.00;8,100.00;8,100.00;0.00;0.00;5,000.00;40,500,000.00
2020-04-17;TERPEL;8,100.00;8,100.00;8,100.00;8,100.00;0.00;0.00;5,000.00;40,500,000.00
2020-04-20;TERPEL;8,100.00;8,100.00;8,100.00;8,100.00;0.00;0.00;4,000.00;32,400,000.00
2020-04-21;TERPEL;7,510.00;7,510.00;7,510.00;7,510.00;-590.00;-7.28;1,000.00;7,510,000.00
2020-04-22;TERPEL;7,500.00;7,700.00;7,517.84;7,500.00;-10.00;-0.13;38,162.00;286,895,660.00
2020-04-23;TERPEL;7,500.00;7,500.00;7,500.00;7,500.00;0.00;0.00;13,221.00;99,157,500.00
2020-04-24;TERPEL;7,500.00;7,500.00;7,488.59;7,310.00;0.00;0.00;25,534.00;191,213,540.00
2020-04-27;TERPEL;7,600.00;7,600.00;7,592.37;7,600.00;100.00;1.33;2,100.00;15,943,980.00
2020-04-28;TERPEL;7,400.00;7,500.00;7,457.66;7,400.00;-200.00;-2.63;10,510.00;78,380,000.00
2020-04-29;TERPEL;7,500.00;7,600.00;7,474.59;7,400.00;100.00;1.35;53,393.00;399,091,050.00
2020-04-30;TERPEL;7,400.00;7,420.00;7,408.78;7,400.00;-100.00;-1.33;10,024.00;74,265,600.00
2020-05-04;TERPEL;7,400.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-05-05;TERPEL;7,500.00;7,500.00;7,461.35;7,500.00;100.00;1.35;4,010.00;29,920,000.00
2020-05-06;TERPEL;7,500.00;0.00;7,337.28;0.00;0.00;0.00;1,101.00;8,078,350.00
2020-05-07;TERPEL;7,500.00;7,500.00;7,500.00;7,500.00;0.00;0.00;1,450.00;10,875,000.00
2020-05-08;TERPEL;7,500.00;7,500.00;7,500.00;7,500.00;0.00;0.00;21,394.00;160,455,000.00
2020-05-11;TERPEL;7,500.00;7,500.00;7,500.00;7,500.00;0.00;0.00;1,998.00;14,985,000.00
2020-05-12;TERPEL;7,500.00;0.00;7,456.16;0.00;0.00;0.00;1,057.00;7,881,160.00
2020-05-13;TERPEL;7,480.00;7,480.00;7,431.72;7,480.00;-20.00;-0.27;1,353.00;10,055,120.00
2020-05-14;TERPEL;7,480.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-05-15;TERPEL;7,300.00;7,300.00;7,262.66;7,300.00;-180.00;-2.41;2,563.00;18,614,200.00
2020-05-18;TERPEL;7,300.00;7,300.00;7,251.07;7,100.00;0.00;0.00;5,990.00;43,433,900.00
2020-05-19;TERPEL;7,000.00;7,040.00;7,025.78;7,000.00;-300.00;-4.11;6,438.00;45,232,000.00
2020-05-20;TERPEL;7,210.00;7,210.00;7,178.80;7,210.00;210.00;3.00;4,287.00;30,775,500.00
2020-05-21;TERPEL;7,000.00;7,000.00;6,995.23;7,000.00;-210.00;-2.91;5,282.00;36,948,800.00
2020-05-22;TERPEL;6,800.00;7,000.00;6,940.85;6,800.00;-200.00;-2.86;3,550.00;24,640,000.00
2020-05-26;TERPEL;7,000.00;7,000.00;7,000.00;7,000.00;200.00;2.94;19,467.00;136,269,000.00
2020-05-27;TERPEL;7,000.00;7,000.00;6,962.70;6,900.00;0.00;0.00;17,304.00;120,482,630.00
2020-05-28;TERPEL;7,000.00;7,220.00;7,039.49;7,000.00;0.00;0.00;5,571.00;39,217,000.00
2020-05-29;TERPEL;6,700.00;6,700.00;6,700.51;6,660.00;-300.00;-4.29;2,771.00;18,567,120.00
2020-06-01;TERPEL;7,000.00;7,000.00;7,000.00;7,000.00;300.00;4.48;3,307.00;23,149,000.00
2020-06-02;TERPEL;7,000.00;7,000.00;6,867.98;6,800.00;0.00;0.00;15,648.00;107,470,100.00
2020-06-03;TERPEL;6,990.00;6,990.00;6,810.04;6,800.00;-10.00;-0.14;33,473.00;227,952,630.00
2020-06-04;TERPEL;6,800.00;7,000.00;6,889.58;6,800.00;-190.00;-2.72;22,872.00;157,578,370.00
2020-06-05;TERPEL;6,980.00;6,980.00;6,713.18;6,650.00;180.00;2.65;260,562.00;1,749,198,670.00
2020-06-08;TERPEL;7,000.00;7,290.00;6,997.97;6,980.00;20.00;0.29;56,841.00;397,771,460.00
2020-06-09;TERPEL;6,800.00;6,900.00;6,804.66;6,780.00;-200.00;-2.86;71,816.00;488,683,550.00
2020-06-10;TERPEL;6,700.00;6,800.00;6,753.10;6,700.00;-100.00;-1.47;16,781.00;113,323,800.00
2020-06-11;TERPEL;6,560.00;6,800.00;6,571.51;6,550.00;-140.00;-2.09;82,117.00;539,632,600.00
2020-06-12;TERPEL;6,500.00;6,770.00;6,416.46;6,350.00;-60.00;-0.91;92,534.00;593,740,880.00
2020-06-16;TERPEL;6,500.00;6,700.00;6,517.51;6,350.00;0.00;0.00;31,517.00;205,412,500.00
2020-06-17;TERPEL;6,460.00;6,490.00;6,391.17;6,350.00;-40.00;-0.62;16,043.00;102,533,550.00
2020-06-18;TERPEL;6,500.00;6,500.00;6,494.11;6,500.00;40.00;0.62;3,915.00;25,424,440.00
2020-06-19;TERPEL;6,300.00;6,500.00;6,457.56;6,300.00;-200.00;-3.08;29,481.00;190,375,180.00
2020-06-23;TERPEL;6,390.00;6,690.00;6,521.14;6,390.00;90.00;1.43;6,346.00;41,383,140.00
2020-06-24;TERPEL;6,400.00;6,400.00;6,393.87;6,390.00;10.00;0.16;8,261.00;52,819,800.00
2020-06-25;TERPEL;6,380.00;6,400.00;6,371.82;6,360.00;-20.00;-0.31;9,218.00;58,735,480.00
2020-06-26;TERPEL;6,550.00;6,550.00;6,550.00;6,550.00;170.00;2.66;1,094.00;7,165,700.00
2020-06-30;TERPEL;6,550.00;0.00;6,380.00;0.00;0.00;0.00;1,734.00;11,062,920.00
2020-07-01;TERPEL;6,540.00;6,540.00;6,540.00;6,540.00;-10.00;-0.15;1,751.00;11,451,540.00
2020-07-02;TERPEL;6,540.00;0.00;6,374.99;0.00;0.00;0.00;1,450.00;9,243,740.00
2020-07-03;TERPEL;6,520.00;6,520.00;6,381.99;6,350.00;-20.00;-0.31;11,464.00;73,163,140.00
2020-07-06;TERPEL;6,590.00;6,590.00;6,503.85;6,450.00;70.00;1.07;2,600.00;16,910,000.00
2020-07-07;TERPEL;6,600.00;6,600.00;6,576.71;6,600.00;10.00;0.15;3,907.00;25,695,200.00
2020-07-08;TERPEL;6,700.00;6,700.00;6,687.54;6,660.00;100.00;1.52;6,513.00;43,555,930.00
2020-07-09;TERPEL;6,730.00;6,740.00;6,726.02;6,720.00;30.00;0.45;6,980.00;46,947,620.00
2020-07-10;TERPEL;6,750.00;6,750.00;6,741.76;6,730.00;20.00;0.30;6,545.00;44,124,850.00
2020-07-13;TERPEL;6,980.00;6,980.00;6,856.65;6,770.00;230.00;3.41;51,503.00;353,138,150.00
2020-07-14;TERPEL;7,100.00;7,240.00;7,108.18;6,980.00;120.00;1.72;90,947.00;646,467,600.00
2020-07-15;TERPEL;7,170.00;7,240.00;7,139.89;7,100.00;70.00;0.99;36,059.00;257,457,400.00
2020-07-16;TERPEL;7,160.00;7,200.00;7,097.54;7,000.00;-10.00;-0.14;23,726.00;168,396,310.00
2020-07-17;TERPEL;7,020.00;7,020.00;7,020.00;7,020.00;-140.00;-1.96;4,285.00;30,080,700.00
2020-07-21;TERPEL;7,040.00;7,040.00;7,029.32;7,020.00;20.00;0.28;4,140.00;29,101,400.00
2020-07-22;TERPEL;7,100.00;7,100.00;7,068.07;7,060.00;60.00;0.85;7,664.00;54,169,720.00
2020-07-23;TERPEL;7,100.00;7,200.00;7,143.30;7,100.00;0.00;0.00;11,335.00;80,969,300.00
2020-07-24;TERPEL;7,050.00;7,060.00;7,072.42;7,050.00;-50.00;-0.70;3,800.00;26,875,200.00
2020-07-27;TERPEL;7,100.00;7,100.00;7,050.14;7,000.00;50.00;0.71;20,533.00;144,760,600.00
2020-07-28;TERPEL;7,000.00;7,050.00;7,026.64;7,000.00;-100.00;-1.41;15,299.00;107,500,520.00
2020-07-29;TERPEL;7,090.00;7,130.00;7,096.19;7,080.00;90.00;1.29;10,299.00;73,083,680.00
2020-07-30;TERPEL;7,070.00;7,070.00;7,070.00;7,070.00;-20.00;-0.28;950.00;6,716,500.00
2020-07-31;TERPEL;6,990.00;7,010.00;7,005.92;6,990.00;-80.00;-1.13;12,000.00;84,071,000.00
2020-08-03;TERPEL;7,000.00;7,000.00;6,990.81;7,000.00;10.00;0.14;2,045.00;14,296,200.00
2020-08-04;TERPEL;7,000.00;0.00;7,032.62;0.00;0.00;0.00;1,128.00;7,932,790.00
2020-08-05;TERPEL;6,960.00;6,960.00;6,960.00;6,960.00;-40.00;-0.57;1,030.00;7,168,800.00
2020-08-06;TERPEL;7,000.00;7,000.00;7,000.00;7,000.00;40.00;0.57;1,400.00;9,800,000.00
2020-08-10;TERPEL;7,000.00;0.00;7,050.00;0.00;0.00;0.00;145.00;1,022,250.00
2020-08-11;TERPEL;7,000.00;7,000.00;7,000.00;7,000.00;0.00;0.00;2,800.00;19,600,000.00
2020-08-12;TERPEL;7,000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-08-13;TERPEL;7,000.00;0.00;7,040.00;0.00;0.00;0.00;200.00;1,408,000.00
2020-08-14;TERPEL;7,000.00;7,000.00;7,000.00;7,000.00;0.00;0.00;3,513.00;24,591,000.00
2020-08-18;TERPEL;6,830.00;6,830.00;6,828.06;6,830.00;-170.00;-2.43;3,100.00;21,167,000.00
2020-08-19;TERPEL;6,830.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-08-20;TERPEL;6,840.00;7,020.00;6,885.53;6,840.00;10.00;0.15;10,018.00;68,979,260.00
2020-08-21;TERPEL;6,950.00;6,950.00;6,836.30;6,800.00;110.00;1.61;24,920.00;170,360,640.00
2020-08-24;TERPEL;6,950.00;6,950.00;6,947.76;6,940.00;0.00;0.00;23,745.00;164,974,590.00
2020-08-25;TERPEL;6,980.00;6,980.00;6,968.22;6,950.00;30.00;0.43;33,088.00;230,564,300.00
2020-08-26;TERPEL;7,240.00;7,350.00;7,183.15;7,040.00;260.00;3.72;122,628.00;880,855,440.00
2020-08-27;TERPEL;7,330.00;7,330.00;7,249.27;7,220.00;90.00;1.24;17,406.00;126,180,780.00
